scope,link,from_area,to_area,segment,direction,survey: bus (calibrated),survey: rail,survey: taxi-type,ticketing: bus (RavKav × OnBoard),ticketing: train (station),step: survey bus 2018 (raw),"step: bus, all-RavKav volumes",survey: total (car + bus + taxi + rail),survey transit,ticketing transit,ratio survey / ticketing,transit share (survey set)
T3,5,EinHayam,BatGalim-KiryatEliezer,trunk,up,1666.14,0.00,0.00,1552.89,24.81,2226.88,1652.70,5744.68,1666.14,1577.71,1.06,0.29
T3,5,EinHayam,BatGalim-KiryatEliezer,trunk,down,722.46,7.65,0.00,1326.75,74.84,577.09,598.90,2797.06,730.12,1401.59,0.52,0.26
T3,6,BatGalim-KiryatEliezer,Hamoshava,trunk,up,1324.88,0.00,0.00,1198.88,30.60,1408.05,1376.05,5310.16,1324.88,1229.48,1.08,0.25
T3,6,BatGalim-KiryatEliezer,Hamoshava,trunk,down,509.60,7.65,160.71,1471.29,174.33,278.53,414.86,4159.53,517.26,1645.62,0.31,0.12
T3,7,Hamoshava,LowerCity,trunk,up,1448.09,0.00,0.00,1127.24,30.60,1606.38,1439.28,4300.52,1448.09,1157.84,1.25,0.34
T3,7,Hamoshava,LowerCity,trunk,down,494.82,7.65,175.18,1371.09,174.33,278.53,467.32,2625.34,502.47,1545.41,0.33,0.19
T3,8,LowerCity,Namal-Giborim,trunk,up,902.24,0.00,0.00,801.84,25.53,1009.23,859.26,3064.86,902.24,827.37,1.09,0.29
T3,8,LowerCity,Namal-Giborim,trunk,down,723.81,7.65,169.39,1720.08,199.69,395.19,792.39,2995.91,731.46,1919.78,0.38,0.24
T3,9,Namal-Giborim,Hamifrats,trunk,up,609.52,0.00,0.00,701.44,25.53,530.28,588.65,2498.93,609.52,726.97,0.84,0.24
T3,9,Namal-Giborim,Hamifrats,trunk,down,573.68,9.27,160.71,1266.33,199.69,452.78,622.32,2670.95,582.95,1466.03,0.40,0.22
T3,10,Hamifrats,Bazan-Hutsot,trunk,up,452.43,0.00,0.00,541.04,16.33,356.80,481.60,1501.75,452.43,557.37,0.81,0.30
T3,10,Hamifrats,Bazan-Hutsot,trunk,down,761.22,12.13,160.71,771.32,166.80,398.26,725.52,2940.17,773.35,938.12,0.82,0.26
T3,11,Bazan-Hutsot,TsometKiryatAta,trunk,up,300.85,0.00,0.00,414.58,5.15,248.21,359.16,1460.68,300.85,419.73,0.72,0.21
T3,11,Bazan-Hutsot,TsometKiryatAta,trunk,down,1015.70,12.13,160.71,798.69,146.74,640.04,940.57,3823.15,1027.82,945.43,1.09,0.27
T3,12,TsometKiryatAta,KiryatHaim West,branch,up,152.84,0.00,0.00,405.50,5.15,102.26,232.22,539.75,152.84,410.65,0.37,0.28
T3,12,TsometKiryatAta,KiryatHaim West,branch,down,1270.37,12.13,160.71,1108.31,146.74,1185.91,1167.92,4493.23,1282.50,1255.04,1.02,0.29
T3,13,KiryatHaim West,KiryatYam B+C,branch,up,299.36,0.00,0.00,300.65,0.00,171.08,399.99,1191.79,299.36,300.65,1.00,0.25
T3,13,KiryatHaim West,KiryatYam B+C,branch,down,888.16,0.00,160.71,1017.59,0.00,875.65,846.39,3631.11,888.16,1017.59,0.87,0.24
T3,14,KiryatYam B+C,KiryatYam A,branch,up,74.23,0.00,0.00,198.99,0.00,91.83,98.25,695.94,74.23,198.99,0.37,0.11
T3,14,KiryatYam B+C,KiryatYam A,branch,down,843.83,0.00,0.00,490.05,0.00,1239.62,985.84,3076.37,843.83,490.05,1.72,0.27
T3,15,KiryatYam A,SavyoneyYam,branch,up,32.65,0.00,0.00,135.73,0.00,6.42,48.08,422.45,32.65,135.73,0.24,0.08
T3,15,KiryatYam A,SavyoneyYam,branch,down,556.47,0.00,0.00,240.63,0.00,811.08,675.69,2205.86,556.47,240.63,2.31,0.25
network,1,TiratCarmel,Matam-NeotPeres,trunk,up,828.59,0.00,0.00,696.58,0.00,970.16,953.00,4841.28,828.59,696.58,1.19,0.17
network,1,TiratCarmel,Matam-NeotPeres,trunk,down,414.89,0.00,0.00,239.09,0.00,452.21,302.64,1607.07,414.89,239.09,1.74,0.26
network,2,Matam-NeotPeres,HofCarmel-NeveDavid,trunk,up,826.88,0.00,0.00,916.26,24.81,767.56,904.18,3448.43,826.88,941.08,0.88,0.24
network,2,Matam-NeotPeres,HofCarmel-NeveDavid,trunk,down,1622.35,39.73,96.02,1334.32,74.84,1126.00,1270.06,5798.88,1662.08,1409.15,1.18,0.29
network,3,HofCarmel-NeveDavid,Hecht-Shprintzak,trunk,up,942.90,0.00,0.00,1239.48,24.81,891.32,1009.99,3580.84,942.90,1264.29,0.75,0.26
network,3,HofCarmel-NeveDavid,Hecht-Shprintzak,trunk,down,1646.31,39.73,61.36,1583.69,74.84,1261.60,1286.07,5784.98,1686.04,1658.53,1.02,0.29
network,4,Hecht-Shprintzak,EinHayam,trunk,up,1550.04,0.00,0.00,1607.63,24.81,2169.89,1580.06,4831.80,1550.04,1632.44,0.95,0.32
network,4,Hecht-Shprintzak,EinHayam,trunk,down,1416.88,39.73,39.52,2188.90,74.84,1177.76,1083.97,5453.39,1456.61,2263.74,0.64,0.27
network,5,EinHayam,BatGalim-KiryatEliezer,trunk,up,1896.86,0.00,0.00,1657.84,24.81,2540.86,1910.33,5975.40,1896.86,1682.65,1.13,0.32
network,5,EinHayam,BatGalim-KiryatEliezer,trunk,down,1199.98,39.73,0.00,2259.68,74.84,972.37,898.91,4911.63,1239.70,2334.52,0.53,0.25
network,6,BatGalim-KiryatEliezer,Hamoshava,trunk,up,1616.89,0.00,0.00,1321.70,30.60,1722.03,1703.00,5774.79,1616.89,1352.31,1.20,0.28
network,6,BatGalim-KiryatEliezer,Hamoshava,trunk,down,1211.59,39.73,506.45,3040.26,174.33,673.81,881.36,8479.77,1251.32,3214.59,0.39,0.15
network,7,Hamoshava,LowerCity,trunk,up,1749.24,0.00,0.00,1262.70,30.60,1920.36,1773.51,4807.13,1749.24,1293.30,1.35,0.36
network,7,Hamoshava,LowerCity,trunk,down,1414.48,39.73,520.92,3013.09,174.33,673.81,1064.53,7163.25,1454.20,3187.42,0.46,0.20
network,8,LowerCity,Namal-Giborim,trunk,up,1209.56,0.00,0.00,966.81,25.53,1327.26,1198.40,3861.33,1209.56,992.34,1.22,0.31
network,8,LowerCity,Namal-Giborim,trunk,down,2337.45,39.73,515.13,4085.00,199.69,1519.15,1806.34,9317.53,2377.18,4284.69,0.55,0.26
network,9,Namal-Giborim,Hamifrats,trunk,up,938.75,0.00,0.00,927.05,25.53,871.58,962.14,3331.43,938.75,952.57,0.99,0.28
network,9,Namal-Giborim,Hamifrats,trunk,down,2618.11,43.70,506.45,4001.57,199.69,1814.26,1894.74,9923.60,2661.81,4201.26,0.63,0.27
network,10,Hamifrats,Bazan-Hutsot,trunk,up,793.03,0.00,0.00,922.25,16.33,698.10,876.56,2395.25,793.03,938.58,0.84,0.33
network,10,Hamifrats,Bazan-Hutsot,trunk,down,3213.54,50.75,506.45,4028.72,166.80,1776.13,2242.94,12737.35,3264.29,4195.52,0.78,0.26
network,11,Bazan-Hutsot,TsometKiryatAta,trunk,up,644.61,0.00,0.00,813.66,5.15,589.51,760.08,2473.65,644.61,818.82,0.79,0.26
network,11,Bazan-Hutsot,TsometKiryatAta,trunk,down,3835.72,50.75,506.45,4329.63,146.74,2146.00,2678.85,15627.48,3886.47,4476.37,0.87,0.25
network,12,TsometKiryatAta,KiryatAta North,branch,up,244.04,0.00,0.00,113.59,0.00,191.43,233.94,1562.69,244.04,113.59,2.15,0.16
network,12,TsometKiryatAta,KiryatAta North,branch,down,1899.21,0.00,345.74,3021.65,0.00,697.12,1216.22,8073.94,1899.21,3021.65,0.63,0.24
network,13,KiryatAta North,KiryatAta North-East,branch,up,93.56,0.00,0.00,70.35,0.00,0.00,97.24,1280.29,93.56,70.35,1.33,0.07
network,13,KiryatAta North,KiryatAta North-East,branch,down,1713.24,0.00,345.74,2635.77,0.00,712.98,1101.30,7643.00,1713.24,2635.77,0.65,0.22
network,14,KiryatAta North-East,Shefaram,branch,up,5.31,0.00,0.00,63.66,0.00,0.00,5.96,1172.23,5.31,63.66,0.08,0.00
network,14,KiryatAta North-East,Shefaram,branch,down,1236.05,0.00,345.74,2490.74,0.00,585.56,677.13,6031.77,1236.05,2490.74,0.50,0.20
network,15,Shefaram,Hamovil,branch,up,4.19,0.00,22.80,50.94,0.00,0.00,4.03,1310.10,4.19,50.94,0.08,0.00
network,15,Shefaram,Hamovil,branch,down,961.56,0.00,345.74,2421.81,0.00,487.34,559.59,3631.45,961.56,2421.81,0.40,0.26
network,16,Hamovil,Nazareth,branch,up,3.51,0.00,22.80,24.72,0.00,0.00,3.43,1369.12,3.51,24.72,0.14,0.00
network,16,Hamovil,Nazareth,branch,down,961.58,0.00,345.74,2401.73,0.00,487.34,558.69,3088.66,961.58,2401.73,0.40,0.31
network,17,TsometKiryatAta,KiryatHaim,branch,up,1552.48,0.00,40.45,1729.74,0.00,1330.48,1295.51,9450.25,1552.48,1729.74,0.90,0.16
network,17,TsometKiryatAta,KiryatHaim,branch,down,2454.93,38.62,0.00,1846.66,0.00,2066.17,1732.47,13986.19,2493.55,1846.66,1.35,0.18
network,18,KiryatHaim,KiryatBialik Center,branch,up,1225.72,0.00,16.39,1595.79,0.00,1057.80,943.02,8488.73,1225.72,1595.79,0.77,0.14
network,18,KiryatHaim,KiryatBialik Center,branch,down,2179.74,20.71,0.00,1589.37,0.00,2250.87,1269.02,12950.77,2200.45,1589.37,1.38,0.17
network,19,KiryatBialik Center,Kiryon,branch,up,956.69,0.00,0.00,906.04,0.00,880.53,649.50,5297.26,956.69,906.04,1.06,0.18
network,19,KiryatBialik Center,Kiryon,branch,down,1126.73,0.00,0.00,1152.27,0.00,1386.58,607.74,6631.24,1126.73,1152.27,0.98,0.17
network,20,Kiryon,TsurShalom,branch,up,248.95,0.00,0.00,269.51,0.00,295.50,218.16,2695.59,248.95,269.51,0.92,0.09
network,20,Kiryon,TsurShalom,branch,down,620.19,0.00,0.00,642.25,0.00,640.75,284.15,4007.14,620.19,642.25,0.97,0.15
network,21,TsometKiryatAta,KiryatHaim West,branch,up,598.82,0.00,0.00,924.94,5.15,528.81,658.04,5473.33,598.82,930.10,0.64,0.11
network,21,TsometKiryatAta,KiryatHaim West,branch,down,2006.47,12.13,201.16,1941.30,146.74,2016.51,1783.23,11157.70,2018.60,2088.04,0.97,0.18
network,22,KiryatHaim West,KiryatYam B+C,branch,up,634.92,0.00,0.00,703.65,0.00,495.92,716.73,4533.79,634.92,703.65,0.90,0.14
network,22,KiryatHaim West,KiryatYam B+C,branch,down,1419.47,0.00,201.16,1776.19,0.00,1526.62,1243.56,8816.56,1419.47,1776.19,0.80,0.16
network,23,KiryatYam B+C,KiryatYam A,branch,up,118.97,0.00,0.00,414.45,0.00,196.55,136.61,1300.19,118.97,414.45,0.29,0.09
network,23,KiryatYam B+C,KiryatYam A,branch,down,1220.72,0.00,0.00,852.09,0.00,1656.10,1256.75,5279.42,1220.72,852.09,1.43,0.23
network,24,KiryatYam A,SavyoneyYam,branch,up,45.46,0.00,0.00,213.86,0.00,22.65,59.07,775.29,45.46,213.86,0.21,0.06
network,24,KiryatYam A,SavyoneyYam,branch,down,785.42,0.00,0.00,421.62,0.00,1036.14,840.26,3814.83,785.42,421.62,1.86,0.21
