origin,destination,origin segment,destination segment,links crossed,links down,survey trips,ticketing trips,diff trips,diff link-trips
Matam-NeotPeres,LowerCity,trunk,trunk,6,0,36.3,25.2,11.0,66.1
Matam-NeotPeres,Namal-Giborim,trunk,trunk,7,0,18.6,0.0,18.6,129.9
Matam-NeotPeres,Hamifrats,trunk,trunk,8,0,7.7,35.2,-27.5,-219.9
Matam-NeotPeres,Bazan-Hutsot,trunk,trunk,9,0,6.9,15.0,-8.1,-72.8
Matam-NeotPeres,TsometKiryatAta,trunk,trunk,10,0,7.9,0.0,7.9,79.3
Matam-NeotPeres,KiryatAta North,trunk,T1,11,0,4.8,0.0,4.8,52.8
Matam-NeotPeres,KiryatAta North-East,trunk,T1,12,0,2.0,0.0,2.0,23.6
Matam-NeotPeres,Shefaram,trunk,T1,13,0,0.0,0.0,0.0,0.0
Matam-NeotPeres,Hamovil,trunk,T1,14,0,0.0,0.0,0.0,0.0
Matam-NeotPeres,Nazareth,trunk,T1,15,0,0.0,0.0,0.0,0.2
Matam-NeotPeres,TsurShalom,trunk,T2,14,0,1.3,0.0,1.3,17.7
Matam-NeotPeres,Kiryon,trunk,T2,13,0,1.3,19.5,-18.2,-237.0
Matam-NeotPeres,KiryatBialik Center,trunk,T2,12,0,3.4,0.0,3.4,41.2
Matam-NeotPeres,KiryatHaim,trunk,T2,11,0,6.1,0.0,6.1,66.8
Matam-NeotPeres,SavyoneyYam,trunk,T3,14,0,0.0,0.0,0.0,0.1
Matam-NeotPeres,KiryatYam A,trunk,T3,13,0,0.0,0.0,0.0,0.1
Matam-NeotPeres,KiryatYam B+C,trunk,T3,12,0,6.1,6.8,-0.7,-8.4
Matam-NeotPeres,KiryatHaim West,trunk,T3,11,0,3.5,1.8,1.6,18.1
HofCarmel-NeveDavid,TiratCarmel,trunk,trunk,2,2,14.9,0.0,14.9,29.9
HofCarmel-NeveDavid,Matam-NeotPeres,trunk,trunk,1,1,55.7,89.1,-33.4,-33.4
HofCarmel-NeveDavid,Hecht-Shprintzak,trunk,trunk,1,0,10.0,87.0,-77.0,-77.0
HofCarmel-NeveDavid,EinHayam,trunk,trunk,2,0,3.2,0.0,3.2,6.4
HofCarmel-NeveDavid,BatGalim-KiryatEliezer,trunk,trunk,3,0,46.0,103.6,-57.6,-172.8
HofCarmel-NeveDavid,Hamoshava,trunk,trunk,4,0,7.9,5.5,2.4,9.5
HofCarmel-NeveDavid,LowerCity,trunk,trunk,5,0,24.8,119.2,-94.4,-471.8
HofCarmel-NeveDavid,Namal-Giborim,trunk,trunk,6,0,12.7,8.6,4.1,24.7
HofCarmel-NeveDavid,Hamifrats,trunk,trunk,7,0,5.3,57.8,-52.5,-367.7
HofCarmel-NeveDavid,Bazan-Hutsot,trunk,trunk,8,0,4.8,10.8,-6.1,-48.7
HofCarmel-NeveDavid,TsometKiryatAta,trunk,trunk,9,0,5.5,0.0,5.5,49.1
HofCarmel-NeveDavid,KiryatAta North,trunk,T1,10,0,3.3,0.0,3.3,33.0
HofCarmel-NeveDavid,KiryatAta North-East,trunk,T1,11,0,1.4,0.0,1.4,14.9
HofCarmel-NeveDavid,Shefaram,trunk,T1,12,0,0.0,0.0,0.0,0.0
HofCarmel-NeveDavid,Hamovil,trunk,T1,13,0,0.0,0.0,0.0,0.0
HofCarmel-NeveDavid,Nazareth,trunk,T1,14,0,0.0,0.0,0.0,0.1
HofCarmel-NeveDavid,TsurShalom,trunk,T2,13,0,0.9,0.0,0.9,11.1
HofCarmel-NeveDavid,Kiryon,trunk,T2,12,0,0.9,0.0,0.9,10.4
HofCarmel-NeveDavid,KiryatBialik Center,trunk,T2,11,0,2.3,0.0,2.3,25.6
HofCarmel-NeveDavid,KiryatHaim,trunk,T2,10,0,4.2,0.0,4.2,41.6
HofCarmel-NeveDavid,SavyoneyYam,trunk,T3,13,0,0.0,0.0,0.0,0.0
HofCarmel-NeveDavid,KiryatYam A,trunk,T3,12,0,0.0,0.0,0.0,0.1
HofCarmel-NeveDavid,KiryatYam B+C,trunk,T3,11,0,4.2,0.0,4.2,46.5
HofCarmel-NeveDavid,KiryatHaim West,trunk,T3,10,0,2.4,0.0,2.4,23.9
Hecht-Shprintzak,TiratCarmel,trunk,trunk,3,3,77.2,31.0,46.2,138.5
Hecht-Shprintzak,Matam-NeotPeres,trunk,trunk,2,2,287.6,54.1,233.5,467.0
Hecht-Shprintzak,HofCarmel-NeveDavid,trunk,trunk,1,1,23.2,38.4,-15.2,-15.2
Hecht-Shprintzak,EinHayam,trunk,trunk,1,0,16.5,0.0,16.5,16.5
Hecht-Shprintzak,BatGalim-KiryatEliezer,trunk,trunk,2,0,237.6,373.1,-135.5,-271.0
Hecht-Shprintzak,Hamoshava,trunk,trunk,3,0,40.6,20.2,20.3,61.0
Hecht-Shprintzak,LowerCity,trunk,trunk,4,0,128.3,85.9,42.3,169.3
Hecht-Shprintzak,Namal-Giborim,trunk,trunk,5,0,65.7,35.6,30.1,150.5
Hecht-Shprintzak,Hamifrats,trunk,trunk,6,0,27.3,80.0,-52.8,-316.6
Hecht-Shprintzak,Bazan-Hutsot,trunk,trunk,7,0,24.6,12.6,12.0,83.7
