route,link,from_area,to_area,segment,3h bus down,3h bus up,3h car down,3h car up,3h rail down,3h rail up,3h taxi down,3h taxi up,3h total down,3h total up,3h transit down,3h transit up,peak_hour bus down,peak_hour bus up,peak_hour car down,peak_hour car up,peak_hour rail down,peak_hour rail up,peak_hour taxi down,peak_hour taxi up,peak_hour total down,peak_hour total up,peak_hour transit down,peak_hour transit up
T1,1,TiratCarmel,Matam-NeotPeres,trunk,188.7,535.6,1004.2,4012.7,0.0,0.0,122.2,578.7,1315.0,5127.0,188.7,535.6,111.4,316.2,628.2,2651.2,0.0,0.0,70.9,335.6,810.5,3302.9,111.4,316.2
T1,2,Matam-NeotPeres,HofCarmel-NeveDavid,trunk,1488.9,510.4,3190.6,2621.5,0.0,0.0,429.9,578.7,5109.4,3710.6,1488.9,510.4,879.0,301.3,1996.1,1732.1,0.0,0.0,249.2,335.6,3124.4,2368.9,879.0,301.3
T1,3,HofCarmel-NeveDavid,Hecht-Shprintzak,trunk,1464.1,655.0,3163.1,2637.9,0.0,0.0,465.9,660.1,5093.1,3953.0,1464.1,655.0,864.4,386.7,1978.8,1742.9,0.0,0.0,270.1,382.7,3113.4,2512.3,864.4,386.7
T1,4,Hecht-Shprintzak,EinHayam,trunk,1196.9,1200.4,3082.8,3281.8,0.0,0.0,471.9,1091.9,4751.6,5574.0,1196.9,1200.4,706.7,708.7,1928.6,2168.3,0.0,0.0,273.6,633.1,2908.9,3510.0,706.7,708.7
T1,5,EinHayam,BatGalim-KiryatEliezer,trunk,1058.7,1378.7,2797.4,4058.8,0.0,0.0,308.9,1440.2,4164.9,6877.7,1058.7,1378.7,625.0,814.0,1750.1,2681.7,0.0,0.0,179.1,835.0,2554.2,4330.7,625.0,814.0
T1,6,BatGalim-KiryatEliezer,Hamoshava,trunk,963.3,1106.0,4406.7,4071.9,0.0,0.0,367.3,762.9,5737.3,5940.8,963.3,1106.0,568.7,653.0,2756.8,2690.3,0.0,0.0,213.0,442.4,3538.5,3785.6,568.7,653.0
T1,7,Hamoshava,LowerCity,trunk,1063.9,1015.5,2872.8,2971.9,0.0,0.0,382.7,992.1,4319.4,4979.5,1063.9,1015.5,628.1,599.5,1797.2,1963.5,0.0,0.0,221.9,575.2,2647.2,3138.3,628.1,599.5
T1,8,LowerCity,Namal-Giborim,trunk,1322.2,713.3,3111.5,2511.2,0.0,0.0,431.7,647.2,4865.4,3871.7,1322.2,713.3,780.6,421.1,1946.6,1659.1,0.0,0.0,250.3,375.3,2977.5,2455.5,780.6,421.1
T1,9,Namal-Giborim,Hamifrats,trunk,1160.9,509.2,3076.9,2221.4,0.0,0.0,422.5,256.7,4660.3,2987.2,1160.9,509.2,685.4,300.6,1924.9,1467.6,0.0,0.0,245.0,148.8,2855.3,1917.1,685.4,300.6
T1,10,Hamifrats,Bazan-Hutsot,trunk,975.0,319.3,3496.6,1360.4,0.0,0.0,422.5,234.1,4894.1,1913.9,975.0,319.3,575.6,188.5,2187.5,898.8,0.0,0.0,245.0,135.7,3008.1,1223.1,575.6,188.5
