route,link,from_code,to_code,from_area,to_area,segment,direction,layer,flow_3h,PHF3h,flow_peak_hour
T1,15,215,216,Shefaram,Hamovil,branch,down,rail,0.0,0.6,0.0
T1,16,216,217,Hamovil,Nazareth,branch,down,rail,0.0,0.6,0.0
T1,1,201,202,TiratCarmel,Matam-NeotPeres,trunk,up,rail,0.0,0.6,0.0
T1,2,202,203,Matam-NeotPeres,HofCarmel-NeveDavid,trunk,up,rail,0.0,0.6,0.0
T1,3,203,204,HofCarmel-NeveDavid,Hecht-Shprintzak,trunk,up,rail,0.0,0.6,0.0
T1,4,204,205,Hecht-Shprintzak,EinHayam,trunk,up,rail,0.0,0.6,0.0
T1,5,205,206,EinHayam,BatGalim-KiryatEliezer,trunk,up,rail,0.0,0.6,0.0
T1,6,206,207,BatGalim-KiryatEliezer,Hamoshava,trunk,up,rail,0.0,0.6,0.0
T1,7,207,208,Hamoshava,LowerCity,trunk,up,rail,0.0,0.6,0.0
T1,8,208,209,LowerCity,Namal-Giborim,trunk,up,rail,0.0,0.6,0.0
T1,9,209,210,Namal-Giborim,Hamifrats,trunk,up,rail,0.0,0.6,0.0
T1,10,210,211,Hamifrats,Bazan-Hutsot,trunk,up,rail,0.0,0.6,0.0
T1,11,211,212,Bazan-Hutsot,TsometKiryatAta,trunk,up,rail,0.0,0.6,0.0
T1,12,212,213,TsometKiryatAta,KiryatAta North,branch,up,rail,0.0,0.6,0.0
T1,13,213,214,KiryatAta North,KiryatAta North-East,branch,up,rail,0.0,0.6,0.0
T1,14,214,215,KiryatAta North-East,Shefaram,branch,up,rail,0.0,0.6,0.0
T1,15,215,216,Shefaram,Hamovil,branch,up,rail,0.0,0.6,0.0
T1,16,216,217,Hamovil,Nazareth,branch,up,rail,0.0,0.6,0.0
T1,1,201,202,TiratCarmel,Matam-NeotPeres,trunk,down,taxi,122.2,0.6,70.9
T1,2,202,203,Matam-NeotPeres,HofCarmel-NeveDavid,trunk,down,taxi,429.9,0.6,249.2
T1,3,203,204,HofCarmel-NeveDavid,Hecht-Shprintzak,trunk,down,taxi,465.9,0.6,270.1
T1,4,204,205,Hecht-Shprintzak,EinHayam,trunk,down,taxi,471.9,0.6,273.6
T1,5,205,206,EinHayam,BatGalim-KiryatEliezer,trunk,down,taxi,308.9,0.6,179.1
T1,6,206,207,BatGalim-KiryatEliezer,Hamoshava,trunk,down,taxi,367.3,0.6,213.0
T1,7,207,208,Hamoshava,LowerCity,trunk,down,taxi,382.7,0.6,221.9
T1,8,208,209,LowerCity,Namal-Giborim,trunk,down,taxi,431.7,0.6,250.3
T1,9,209,210,Namal-Giborim,Hamifrats,trunk,down,taxi,422.5,0.6,245.0
T1,10,210,211,Hamifrats,Bazan-Hutsot,trunk,down,taxi,422.5,0.6,245.0
T1,11,211,212,Bazan-Hutsot,TsometKiryatAta,trunk,down,taxi,367.3,0.6,213.0
T1,12,212,213,TsometKiryatAta,KiryatAta North,branch,down,taxi,367.3,0.6,213.0
T1,13,213,214,KiryatAta North,KiryatAta North-East,branch,down,taxi,367.3,0.6,213.0
