origin_sz,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,30,31,32,33,34,35,36,37,38,39,40
1,1504.59,324.286,4.22438,0.237616,0,2.8654,153.72,6.66848,1.89687,0,2.32905,9.19099,1.22287,6.5279,1.08639,52.5471,1.11002,0.779793,0.129608,0.138249,0.197862,0.508136,0.392899,0.314965,0,0,144.175,2.1707,130.608,69.8405,0.844948,0.0972054,0,0,0,0
2,429.263,1156.87,36.5818,2.7094,158.464,16.6853,8.11164,11.8538,1.32666,0.00989868,0,346.418,6.54469,7.63798,5.97055,55.6599,6.7692,2.26622,0.756274,0,209.994,0,0,0,0,0.648219,0,0.405502,8.68744,6.31065,260.919,10.3094,0,0,0,0.112732
3,12.4413,44.9483,2556.31,0.025412,1.0711,2.25955,100.027,1.33469,10.3441,0,2.0062,33.9513,23.3781,9.50789,3.95479,35.1433,14.462,6.54466,5.73021,0,1.34355,1.4182,0.322628,23.7041,0,0,0.232063,83.335,4.01285,11.996,0.21241,0,0,2.04741,0,0
4,0,87.0504,5.56351,396.026,0,0.838852,4.03432,0,17.6808,0,0.425795,757.996,62.2696,16.5826,9.17764,382.423,64.289,84.8305,4.41448,0,4.65021,0.29382,0.788169,1.51998,0,34.3201,0,0.120898,0,0,0,82.829,0,0,0,0.133199
5,10.8802,8.62725,2.83377,0,520.783,785.427,97.7294,39.4717,899.848,0,0,512.804,40.682,22.736,42.5513,26.4446,19.2116,32.49,0.301531,0.148063,0.443968,3.21957,2.83525,6.48973,0,0.175762,0,0,0,0.789069,0.911218,3.66686,0,0,0,0
6,3.92926,724.548,153.142,0,62.6005,820.085,431.214,21.1891,538.839,0,0,449.514,102.486,104.762,574.168,92.0419,17.5558,17.2615,7.66833,0,0.0593689,3.58642,0,0.28097,0,0,0,0,0.081328,0.464122,1.90886,0.0643767,0,0,2.29826,0
7,5.11828,132.586,2.45306,0.392959,87.2111,103.87,552.44,141.182,8.67448,0,0,294.32,29.5432,11.2075,77.6585,16.3522,2.22638,15.0135,0,0.321613,1.36537,1.373,0,0.172577,0,0,0,0.254083,0.41081,0,0.251578,0.166779,0,0,0,0
8,1.50394,6.69951,0.207011,0,280.975,150.565,321.26,529.542,120.782,0,321.463,865.553,11.4512,54.2686,71.1623,132.615,40.1861,63.4165,1.86934,0,0.997041,1.5437,0,6.39397,0,0,0,1.47622,0,1.78195,0,0.122865,0,0,0,0
9,0,38.4292,0.218272,0.982336,8.13334,180.819,288.076,487.738,1887.64,0.0327445,106.759,538.898,37.124,122.802,25.2523,11.9361,557.353,115.328,1.2222,0.0654891,0.290061,3.9333,0.918049,2.17067,0,0,0,1.14866,0,0,0,0.761567,0,0,1.22295,0
10,0,0.879031,16.6086,0,0,0.482038,0,0,0,74.2153,0,0,0,0,0,5.59206,0,0,0,0,0,0,0,0,0,43.7496,0,0,0.633992,0,1.76763,0.0716724,0,0,0,0
11,0,1.20704,0,0.354924,0,0.144388,47.0156,0,8.97454,0,638.963,8.64601,86.2633,172.338,0.292873,57.916,0.790788,255.807,0.156509,0.175887,0,32.3407,0,14.4983,0,0.0767759,0,0.0647239,0,0,112.003,0.470328,0,0,0,0
12,0,0,0,12.445,0,0,61.4422,0,5.02487,8.81937,29.161,0,601.503,957.73,295.455,0,153.547,39.4941,1.6654,0.358919,13.1787,0,0,2.81061,0,0,0,0,0,0,0,0,0,0,0,0
13,1.42887,4.7292,0,0.476265,0,34.3516,18.3352,7.70872,3.59423,1.16678,12.3989,209.251,172.104,189.948,420.913,579.34,347.949,38.9715,0.254041,0,4.79754,18.3827,0,25.4316,0,0,0,0.0609023,1.00522,0,1.20231,0,0,0,0,0
14,0.246331,24.771,45.8366,0.0341473,4.46681,13.3947,24.0054,27.6527,2.91446,0,44.2272,510.655,374.873,1430.7,733.236,1092.5,513.641,161.638,0.0106236,10.7828,0.0876505,73.5109,0.0609047,18.4755,0.0691073,0,0,0,0.0817528,0.376316,0.0171078,0.355838,0,0,0.0466942,0.140044
15,0.805971,0,0.890174,0,1.7655,0.154184,4.77312,205.519,200.813,0.0470698,36.8178,374.789,701.804,742.352,1979.17,1353.28,414.454,4.45523,0.492181,0,0,4.53998,0.415605,186.826,0,0,0,0.301298,0.155716,0.0422397,0.328031,0.351842,0,0.054624,1.34762,0
16,0.594893,1.43797,0.00754188,0.334762,1.25104,0.168411,28.2204,1.89315,1.31096,0.133262,1.3447,469.286,487.645,837.854,786.776,4409.89,369.807,92.3847,0.307602,0,0.683488,0.690211,0.101803,155.267,0,0,0,0,0.10094,0.318926,43.5287,43.6183,0,0,0.141779,30.7696
17,0.288448,7.2795,0.565752,0.191299,1.81974,13.1006,43.6435,65.1452,108.125,0.0262679,22.6851,363.629,553.249,1670.47,294.563,1192.19,1905.27,79.5758,0.19326,0,0.793434,0.843817,12.3853,614.918,15.577,0,0,0.138893,0,0.0229334,0.121401,0.910804,0,0,0.146959,0
18,12.3251,0,0,0,0,7.55101,4.40421,1.35591,2.89382,0,0.699642,7.57436,82.2667,241.313,266.369,329.619,285.747,340.246,7.27677,0,0.151759,13.7349,3.83389,3.60101,0,0,0,0.125666,0.817292,0,4.73528,0,0,1.60805,0,0
19,0,384.843,1.7247,13.9313,0,17.1698,0.052107,10.29,39.5763,0,0,23.9835,354.752,2.06303,29.9909,1238.42,185.383,36.6631,6581.01,777.923,78.2636,31.9025,0,0,0,1961.04,0,0.513468,0.896846,0,1003.34,365.85,0,0.689881,0,0.137976
20,0,0,0,0.189147,0,21.6383,529.002,0,11.2227,0,0,133.725,72.3051,40.098,222.867,54.2735,31.7953,2.26976,971.168,1382.35,32.7732,2.27577,0,0,0,0,0,1.51554,0,0,0.646771,90.7654,0,0,0,0
21,0,0,0,0,1.98985,0,0,0.630561,0.528149,0,0.379982,6.39246,2.68159,14.905,6.44977,2.05062,10.5825,5.44245,7.29343,19.2653,2892.33,25.5645,0,2.6627,0,1.83087,0.0326314,0.386675,0.416794,0,0,0.575407,0.142329,0,0.183523,0
22,0,0,2.20142,0,0,12.1581,6.9906,0.316879,1.81375,0,6.26647,255.013,8.94639,35.6941,123.389,259.361,9.39567,350.788,4.56045,0,135.312,1182.33,96.949,4.01489,0,0.695126,0,6.53968,20.8538,0,1.0234,2.44947,0,0,4.72989,0
23,0,0.155414,0,0.929471,0,0,1.92161,0,0,0,0,76.1366,34.2804,38.9252,19.4478,349.643,2.00521,1.86371,0,0,0,0.729065,876.082,1.22341,0,0,0,0,0,0,0,57.6296,0,0,0,0
24,0,303.944,1.27598,0,5.95828,7.26865,7.47896,6.67145,5.39535,0,0,29.6461,109.424,485.542,523.639,435.656,46.3019,22.099,2.47837,0,0,11.113,3.20819,316.64,1.55534,0,0.922549,12.1434,0,0,0.326393,1.0367,0,0,11.959,3.5923
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1802,0,0,0,0,0,11.3234,0,0,930.227,0,0,0.139122,0,0,0,4.71088,0,0.278245,21.4153,75.8015
30,0,29.54,38.4846,7.58491,0,0,0,1.28608,0.842768,0,0.561845,15.9113,0,4.63815,6.95824,33.5123,10.6751,108.2,10.6751,0,1.98184,0,0,0,0,540.452,0,122.036,125.672,0,21.212,0.303028,0,0,0,0
31,0,0,0.67743,0,0,90.3484,0,0,0,0,0,0,0,0,0,117.401,0,0,0,0,0,0.45162,0,0,0,0,441.055,30.936,0.903239,0,82.4206,1.12905,0.67743,0,0,0
32,4.64422,0.436603,25.8857,0,0,0.922197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0151,0,0,0,0,69.1649,1575.89,0.889634,0,7.54833,4.32019,0,0,0,2.38845
33,1.60053,7.8081,65.1747,0,0,0.187075,0,0,0,0,0,0,0,0,0,92.1973,0,0,0,0,0,0.37415,0,0,0,1.02891,0.187075,114.967,2860.41,32.3895,99.1477,0,0.187075,17.8423,13.6828,0
34,1028.01,112.994,100.166,0,0,1.0304,15.3731,0.214832,0,0,0,7.08594,6.16965,1.90118,4.24024,6.99318,4.97418,0.17976,0,0,2.0454,1.13644,28.1509,0.981042,0,0,0,2.65671,24.5379,1480.3,0,0.430725,1.85428,0,0,1.12085
35,1.48487,7.49816,572.081,0,31.4916,0,1.88817,561.692,0,0.233066,4.05399,2.29064,1.23148,1.22178,1.94782,87.5476,0.249591,0.396911,1.65954,0.00510371,1.02822,13.6264,0,0.233066,15.646,0,0.19621,18.4092,6.92051,0,8522.29,221.562,1.14456,0.915986,0,0.19621
36,1.2114,0,0.0379424,16.548,0,0.0379424,12.6527,0,0,0,20.6061,78.4917,48.5119,101.258,20.5199,27.0909,276.537,41.1914,69.9755,502.912,1714.07,45.0198,0,30.2643,0,0.303539,19.5074,0.265597,0.170741,1.26969,189.172,3488.09,0.493251,0.0948561,2.61741,0.113827
37,25.8972,0.729376,0,0,0,0,0,1.45875,0,0,0,43.0051,6.09461,27.6631,50.9623,25.3216,0,0,39.126,0,5.0887,13.9985,0,4.92148,0,0,157.785,0,0,0,282.268,629.218,699.447,0,1.21563,0.972501
38,0,0,0,0,0,1.98217,0,135.178,0,0,0,0,0,0,0,241.975,0,0,0,0,0,226.29,1.32144,0,25.9254,0,0,0.660722,0,0,0.660722,33.0361,0,0,1120.72,231.253
39,3.60855,0.871048,0.55996,0,37.9192,0.124435,0,4.58557,0,0,0,0,0,0,0,8.97434,0,0,0,0,0,5.06778,0.124435,0,1022.96,0,0,0,0,0,0.186653,1.30657,0,2.86202,3813.49,793.602
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388.888,0,0,0,0,0,68.6992,0,0,780.68,0.310673,0,0.414231,0,0,0.103558,23.1263,0.155337,7.76683,550.002,4641.48
