TAZ,SZ,corridor,pop_2020,pop_2025,empl_2020,empl_2025,g_origin,origin basis,g_dest,dest basis
101,1,False,9102,8487,6613,6613,0.9456,TAZ population,1.0000,TAZ employment
102,1,False,2498,2319,1500,1457,0.9423,TAZ population,0.9770,TAZ employment
103,1,False,0,0,275,0,1.0679,superzone population,1.1695,superzone employment
104,1,False,2876,3338,170,250,1.1266,TAZ population,1.1695,superzone employment
106,1,False,7604,8821,10826,16346,1.1261,TAZ population,1.3904,TAZ employment
107,1,False,5633,5944,2414,2769,1.0439,TAZ population,1.1160,TAZ employment
108,1,False,3562,3306,3238,3244,0.9421,TAZ population,1.0015,TAZ employment
109,1,False,4118,3818,3049,3049,0.9413,TAZ population,1.0000,TAZ employment
110,1,False,6289,6390,1455,1585,1.0128,TAZ population,1.0709,TAZ employment
111,1,False,5702,6636,1439,1936,1.1290,TAZ population,1.2679,TAZ employment
112,1,False,4629,5396,1172,1482,1.1305,TAZ population,1.2065,TAZ employment
113,1,False,0,0,2973,2973,1.0000,TAZ employment (pure-employment zone),1.0000,TAZ employment
114,1,False,1696,1967,49,64,1.1259,TAZ population,1.1695,superzone employment
115,1,False,9003,10445,2345,3194,1.1262,TAZ population,1.2804,TAZ employment
116,1,False,5803,6732,1460,2006,1.1261,TAZ population,1.2894,TAZ employment
117,1,False,7077,8209,3119,4178,1.1260,TAZ population,1.2635,TAZ employment
118,1,False,3433,3982,293,409,1.1260,TAZ population,1.1695,superzone employment
201,2,False,1943,1802,1199,1322,0.9415,TAZ population,1.0813,TAZ employment
202,2,False,2142,2285,817,1000,1.0531,TAZ population,1.1755,TAZ employment
203,2,False,2834,3016,600,681,1.0511,TAZ population,1.1066,TAZ employment
204,2,False,1314,1423,1388,2482,1.0658,TAZ population,1.5920,TAZ employment
205,2,False,1794,1665,846,824,0.9420,TAZ population,0.9791,TAZ employment
206,2,False,1258,1167,2129,2110,0.9417,TAZ population,0.9929,TAZ employment
207,2,False,4578,5068,1118,1197,1.0847,TAZ population,1.0561,TAZ employment
208,2,False,6147,6806,2903,3784,1.0849,TAZ population,1.2362,TAZ employment
209,2,False,6045,6693,744,914,1.0849,TAZ population,1.1790,TAZ employment
210,2,False,5398,5973,533,824,1.0843,TAZ population,1.4170,TAZ employment
211,2,False,0,0,0,0,1.0665,superzone population,1.1639,superzone employment
212,2,False,0,0,0,0,1.0665,superzone population,1.1639,superzone employment
213,2,False,0,0,1201,1201,1.0000,TAZ employment (pure-employment zone),1.0000,TAZ employment
214,2,False,4231,4454,824,1045,1.0419,TAZ population,1.2093,TAZ employment
215,2,False,5467,5784,470,603,1.0461,TAZ population,1.1639,superzone employment
216,2,False,6718,7143,960,1318,1.0503,TAZ population,1.2886,TAZ employment
217,2,False,1748,1843,1960,1960,1.0432,TAZ population,1.0000,TAZ employment
218,2,False,0,0,170,170,1.0665,superzone population,1.1639,superzone employment
219,2,False,2673,2850,306,381,1.0526,TAZ population,1.1639,superzone employment
220,2,False,3249,3440,595,728,1.0468,TAZ population,1.1751,TAZ employment
221,2,False,2852,3084,389,508,1.0646,TAZ population,1.1639,superzone employment
222,2,False,3971,4297,525,674,1.0652,TAZ population,1.2212,TAZ employment
223,2,False,2888,3155,540,648,1.0733,TAZ population,1.1570,TAZ employment
224,2,False,0,0,918,918,1.0000,TAZ employment (pure-employment zone),1.0000,TAZ employment
225,2,False,9409,10334,6232,8045,1.0779,TAZ population,1.2266,TAZ employment
226,2,False,0,0,1107,1107,1.0000,TAZ employment (pure-employment zone),1.0000,TAZ employment
227,2,False,0,0,1409,1409,1.0000,TAZ employment (pure-employment zone),1.0000,TAZ employment
228,2,False,0,0,1409,1409,1.0000,TAZ employment (pure-employment zone),1.0000,TAZ employment
229,2,False,868,806,262,250,0.9424,TAZ population,1.1639,superzone employment
230,2,False,4436,4911,775,1869,1.0848,TAZ population,2.0223,TAZ employment
231,2,False,5291,5859,692,799,1.0850,TAZ population,1.1219,TAZ employment
232,2,False,4098,4538,1248,1551,1.0850,TAZ population,1.1899,TAZ employment
233,2,False,3913,4332,729,996,1.0848,TAZ population,1.2836,TAZ employment
234,2,False,0,0,0,0,1.0665,superzone population,1.1639,superzone employment
235,2,False,6164,6824,1945,2657,1.0848,TAZ population,1.2834,TAZ employment
236,2,False,5214,5775,250,303,1.0852,TAZ population,1.1639,superzone employment
237,2,False,0,0,0,0,1.0665,superzone population,1.1639,superzone employment
238,2,False,0,0,0,0,1.0665,superzone population,1.1639,superzone employment
239,2,False,5398,5973,1875,2118,1.0843,TAZ population,1.1024,TAZ employment
240,2,False,5395,5974,1528,1673,1.0850,TAZ population,1.0752,TAZ employment
241,2,False,1218,1349,2017,2017,1.0852,TAZ population,1.0000,TAZ employment
242,2,False,7766,8385,1507,1845,1.0633,TAZ population,1.1757,TAZ employment
243,2,False,0,0,0,0,1.0665,superzone population,1.1639,superzone employment
