TAZ,SZ,corridor,pop_2020,pop_2025,empl_2020,empl_2025,g_origin,origin basis,g_dest,dest basis
244,2,False,0,0,0,0,1.0665,superzone population,1.1639,superzone employment
245,2,False,0,0,0,0,1.0665,superzone population,1.1639,superzone employment
301,3,False,9743,10149,1629,1884,1.0332,TAZ population,1.1234,TAZ employment
302,3,False,0,0,4756,4756,1.0000,TAZ employment (pure-employment zone),1.0000,TAZ employment
303,3,False,3968,4182,2476,3159,1.0429,TAZ population,1.2152,TAZ employment
304,3,False,3828,3968,405,492,1.0292,TAZ population,1.0880,superzone employment
305,3,False,3558,3451,1275,1275,0.9759,TAZ population,1.0000,TAZ employment
306,3,False,2910,2698,3314,3314,0.9413,TAZ population,1.0000,TAZ employment
307,3,False,1063,987,327,343,0.9424,TAZ population,1.0880,superzone employment
308,3,False,0,0,0,0,1.0477,superzone population,1.0880,superzone employment
309,3,False,2016,1869,463,458,0.9412,TAZ population,1.0880,superzone employment
310,3,False,8706,8735,4829,5079,1.0027,TAZ population,1.0412,TAZ employment
311,3,False,838,779,317,320,0.9433,TAZ population,1.0880,superzone employment
312,3,False,1255,1164,661,607,0.9416,TAZ population,0.9341,TAZ employment
313,3,False,5252,5814,1019,1235,1.0847,TAZ population,1.1663,TAZ employment
314,3,False,6490,7190,826,1113,1.0854,TAZ population,1.2694,TAZ employment
315,3,False,8433,9338,1932,2400,1.0850,TAZ population,1.1895,TAZ employment
316,3,False,4399,4872,558,682,1.0851,TAZ population,1.1741,TAZ employment
317,3,False,4683,5128,688,827,1.0753,TAZ population,1.1586,TAZ employment
318,3,False,7796,8627,1845,2417,1.0844,TAZ population,1.2411,TAZ employment
319,3,False,0,0,5741,5741,1.0000,TAZ employment (pure-employment zone),1.0000,TAZ employment
320,3,False,0,0,7024,7024,1.0000,TAZ employment (pure-employment zone),1.0000,TAZ employment
321,3,False,0,0,0,0,1.0477,superzone population,1.0880,superzone employment
322,3,False,0,0,0,0,1.0477,superzone population,1.0880,superzone employment
323,3,False,3784,3990,1467,1751,1.0433,TAZ population,1.1521,TAZ employment
324,3,False,3595,3742,353,460,1.0326,TAZ population,1.0880,superzone employment
325,3,False,2670,2768,328,387,1.0293,TAZ population,1.0880,superzone employment
326,3,False,2926,3035,653,876,1.0297,TAZ population,1.2649,TAZ employment
327,3,False,4179,4405,3376,4144,1.0430,TAZ population,1.1782,TAZ employment
328,3,False,4203,4358,1498,1671,1.0294,TAZ population,1.0914,TAZ employment
329,3,False,2051,2127,144,186,1.0295,TAZ population,1.0880,superzone employment
330,3,False,4488,4654,306,415,1.0295,TAZ population,1.0880,superzone employment
331,3,False,4891,5100,887,992,1.0340,TAZ population,1.0936,TAZ employment
332,3,False,5536,5742,762,902,1.0297,TAZ population,1.1445,TAZ employment
333,3,False,0,0,0,0,1.0477,superzone population,1.0880,superzone employment
334,3,False,6026,6669,1290,1577,1.0845,TAZ population,1.1743,TAZ employment
335,3,False,4170,4617,939,1179,1.0849,TAZ population,1.1997,TAZ employment
336,3,False,6242,6907,1165,1301,1.0844,TAZ population,1.0923,TAZ employment
337,3,False,3599,3984,464,652,1.0847,TAZ population,1.0880,superzone employment
338,3,False,5335,5905,683,826,1.0846,TAZ population,1.1643,TAZ employment
401,4,False,7229,8002,665,873,1.0847,TAZ population,1.2432,TAZ employment
402,4,False,7123,7885,504,629,1.0847,TAZ population,1.1939,TAZ employment
403,4,False,6972,7391,470,413,1.0478,TAZ population,1.1847,superzone employment
404,4,False,5035,5575,1296,1460,1.0849,TAZ population,1.1000,TAZ employment
405,4,False,7265,7502,1176,1222,1.0260,TAZ population,1.0312,TAZ employment
406,4,False,7264,7501,1176,1528,1.0260,TAZ population,1.2330,TAZ employment
407,4,False,7623,7873,2352,3127,1.0262,TAZ population,1.2559,TAZ employment
408,4,True,2975,3075,1890,2167,1.0268,TAZ population,1.1156,TAZ employment
409,4,True,4286,4427,1554,2058,1.0262,TAZ population,1.2520,TAZ employment
410,4,False,1087,1008,127,140,0.9414,TAZ population,1.1847,superzone employment
411,4,False,7123,7885,703,1028,1.0847,TAZ population,1.3553,TAZ employment
412,4,False,4996,5296,591,782,1.0478,TAZ population,1.2511,TAZ employment
413,4,False,5111,5418,2301,3040,1.0478,TAZ population,1.2496,TAZ employment
414,4,False,4180,4434,671,887,1.0483,TAZ population,1.2501,TAZ employment
415,4,False,9992,10593,1314,1737,1.0478,TAZ population,1.2502,TAZ employment
416,4,False,0,0,825,825,1.0000,TAZ employment (pure-employment zone),1.0000,TAZ employment
417,4,False,3625,3843,1284,1695,1.0478,TAZ population,1.2488,TAZ employment
418,4,False,4196,4645,877,1217,1.0847,TAZ population,1.2997,TAZ employment
419,4,False,4316,4777,902,1252,1.0846,TAZ population,1.2999,TAZ employment
420,4,True,0,0,77,77,1.0502,superzone population,1.1847,superzone employment
421,4,False,5833,6026,588,764,1.0264,TAZ population,1.2330,TAZ employment
422,4,True,4883,5043,1131,764,1.0261,TAZ population,0.7306,TAZ employment
423,4,True,2380,2459,1176,1546,1.0265,TAZ population,1.2446,TAZ employment
501,5,False,4728,5004,125,134,1.0464,TAZ population,1.0056,superzone employment
502,5,False,0,0,0,0,1.0470,superzone population,1.0056,superzone employment
503,5,False,3165,3350,1036,1026,1.0465,TAZ population,0.9923,TAZ employment
504,5,False,3953,4186,701,714,1.0469,TAZ population,1.0148,TAZ employment
505,5,False,4265,4513,561,597,1.0463,TAZ population,1.0510,TAZ employment
506,5,False,2049,2170,231,231,1.0470,TAZ population,1.0056,superzone employment
507,5,False,1818,1946,384,394,1.0559,TAZ population,1.0056,superzone employment
508,5,False,1670,1767,322,313,1.0462,TAZ population,1.0056,superzone employment
509,5,False,2325,2461,308,317,1.0465,TAZ population,1.0056,superzone employment
510,5,False,3231,3420,1554,1532,1.0465,TAZ population,0.9887,TAZ employment
511,5,False,3170,3356,241,234,1.0467,TAZ population,1.0056,superzone employment
512,5,False,2770,2934,174,172,1.0471,TAZ population,1.0056,superzone employment
513,5,False,5003,5297,756,776,1.0467,TAZ population,1.0211,TAZ employment
514,5,False,1310,1386,74,72,1.0461,TAZ population,1.0056,superzone employment
601,6,False,7439,8355,1459,1799,1.0974,TAZ population,1.1824,TAZ employment
602,6,False,3022,3394,222,366,1.0973,TAZ population,1.0994,superzone employment
603,6,False,3189,3581,1549,1631,1.0972,TAZ population,1.0421,TAZ employment
604,6,False,4533,5092,41,311,1.0975,TAZ population,1.0994,superzone employment
605,6,False,3615,4058,1193,1347,1.0969,TAZ population,1.1020,TAZ employment
606,6,False,4271,4795,226,235,1.0970,TAZ population,1.0994,superzone employment
607,6,False,5141,5774,616,644,1.0973,TAZ population,1.0362,TAZ employment
608,6,False,3309,3716,397,426,1.0972,TAZ population,1.0994,superzone employment
609,6,False,2129,2392,358,382,1.0977,TAZ population,1.0994,superzone employment
610,6,False,2330,2616,1548,1778,1.0970,TAZ population,1.1172,TAZ employment
611,6,False,2097,2363,566,648,1.1003,TAZ population,1.1143,TAZ employment
612,6,False,4389,4928,2860,3265,1.0971,TAZ population,1.1118,TAZ employment
613,6,False,0,0,3290,3295,1.0012,TAZ employment (pure-employment zone),1.0012,TAZ employment
701,7,False,0,0,3352,3362,1.0024,TAZ employment (pure-employment zone),1.0024,TAZ employment
702,7,False,4990,5579,1900,1947,1.0934,TAZ population,1.0197,TAZ employment
703,7,False,5077,5666,354,561,1.0918,TAZ population,1.0616,superzone employment
704,7,False,2534,2828,5006,5568,1.0918,TAZ population,1.0888,TAZ employment
705,7,False,4728,5276,991,1047,1.0917,TAZ population,1.0450,TAZ employment
706,7,False,2008,2242,729,772,1.0922,TAZ population,1.0469,TAZ employment
707,7,False,4269,4767,1399,1562,1.0923,TAZ population,1.0922,TAZ employment
708,7,False,4304,4804,686,721,1.0919,TAZ population,1.0406,TAZ employment
709,7,True,5973,6667,2772,3071,1.0919,TAZ population,1.0854,TAZ employment
710,7,False,0,0,0,0,1.0884,superzone population,1.0616,superzone employment
711,7,False,4559,5088,414,543,1.0918,TAZ population,1.0616,superzone employment
712,7,False,0,0,0,0,1.0884,superzone population,1.0616,superzone employment
713,7,False,226,254,0,0,1.0884,superzone population,1.0616,superzone employment
714,7,True,845,876,506,534,1.0292,TAZ population,1.0440,TAZ employment
715,7,True,0,0,0,0,1.0884,superzone population,1.0616,superzone employment
716,7,False,0,0,0,0,1.0884,superzone population,1.0616,superzone employment
717,7,False,0,0,0,0,1.0884,superzone population,1.0616,superzone employment
718,7,False,0,0,0,0,1.0884,superzone population,1.0616,superzone employment
719,7,False,0,0,0,0,1.0884,superzone population,1.0616,superzone employment
720,7,False,0,0,0,0,1.0884,superzone population,1.0616,superzone employment
721,7,False,0,0,2235,2241,1.0021,TAZ employment (pure-employment zone),1.0021,TAZ employment
722,7,True,0,0,0,0,1.0884,superzone population,1.0616,superzone employment
723,7,False,0,0,0,0,1.0884,superzone population,1.0616,superzone employment
724,7,False,0,0,0,0,1.0884,superzone population,1.0616,superzone employment
725,7,False,0,0,0,0,1.0884,superzone population,1.0616,superzone employment
726,7,False,3240,3616,338,363,1.0918,TAZ population,1.0616,superzone employment
727,7,False,729,676,72,72,0.9414,TAZ population,1.0616,superzone employment
801,8,False,2440,2931,424,530,1.1580,TAZ population,1.0455,superzone employment
802,8,False,5875,7112,2968,3598,1.1652,TAZ population,1.1665,TAZ employment
803,8,False,4689,4677,553,517,0.9980,TAZ population,0.9476,TAZ employment
804,8,False,4871,4855,1131,1075,0.9974,TAZ population,0.9602,TAZ employment
805,8,False,3204,3191,415,398,0.9968,TAZ population,1.0455,superzone employment
806,8,False,4715,4697,1164,1104,0.9969,TAZ population,0.9585,TAZ employment
807,8,False,3220,3209,738,710,0.9973,TAZ population,0.9695,TAZ employment
808,8,False,3210,3203,625,616,0.9983,TAZ population,0.9885,TAZ employment
809,8,False,4764,4752,734,705,0.9980,TAZ population,0.9683,TAZ employment
901,9,False,2610,2649,470,445,1.0119,TAZ population,1.0397,superzone employment
902,9,True,4056,4140,853,820,1.0165,TAZ population,0.9689,TAZ employment
903,9,True,6079,6199,1600,1682,1.0158,TAZ population,1.0408,TAZ employment
904,9,True,3471,3539,737,692,1.0156,TAZ population,0.9508,TAZ employment
905,9,True,0,0,3780,4562,1.1623,TAZ employment (pure-employment zone),1.1623,TAZ employment
906,9,False,6483,6580,1680,1683,1.0120,TAZ population,1.0014,TAZ employment
907,9,False,3892,3949,742,720,1.0117,TAZ population,0.9762,TAZ employment
908,9,False,5496,5658,1708,1793,1.0235,TAZ population,1.0396,TAZ employment
909,9,False,4439,4506,613,617,1.0121,TAZ population,1.0052,TAZ employment
910,9,False,8814,8966,1841,2061,1.0138,TAZ population,1.0945,TAZ employment
911,9,True,0,0,0,0,1.0153,superzone population,1.0397,superzone employment
912,9,True,2610,2649,376,357,1.0119,TAZ population,1.0397,superzone employment
913,9,True,6437,6533,2468,2397,1.0119,TAZ population,0.9769,TAZ employment
914,9,True,0,0,0,0,1.0153,superzone population,1.0397,superzone employment
915,9,False,0,0,0,0,1.0153,superzone population,1.0397,superzone employment
916,9,False,0,0,0,0,1.0153,superzone population,1.0397,superzone employment
917,9,True,0,0,0,0,1.0153,superzone population,1.0397,superzone employment
918,9,True,0,0,0,0,1.0153,superzone population,1.0397,superzone employment
919,9,True,0,0,0,0,1.0153,superzone population,1.0397,superzone employment
920,9,True,0,0,0,0,1.0153,superzone population,1.0397,superzone employment
921,9,False,4977,5134,1000,1008,1.0252,TAZ population,1.0064,TAZ employment
922,9,True,0,0,0,0,1.0153,superzone population,1.0397,superzone employment
923,9,True,0,0,0,0,1.0153,superzone population,1.0397,superzone employment
924,9,False,0,0,0,0,1.0153,superzone population,1.0397,superzone employment
925,9,False,0,0,1563,1564,1.0005,TAZ employment (pure-employment zone),1.0005,TAZ employment
1001,10,False,537,594,41,41,1.0841,TAZ population,1.2140,superzone employment
1002,10,True,9732,10774,804,1060,1.0848,TAZ population,1.2475,TAZ employment
1003,10,False,8562,9478,1451,1828,1.0847,TAZ population,1.2029,TAZ employment
1004,10,False,2856,3159,667,722,1.0840,TAZ population,1.0654,TAZ employment
1005,10,True,2136,2306,475,567,1.0632,TAZ population,1.2140,superzone employment
1006,10,False,9210,10197,1439,1997,1.0849,TAZ population,1.2997,TAZ employment
1101,11,False,1975,2046,1576,1683,1.0287,TAZ population,1.0540,TAZ employment
1102,11,True,4519,5028,475,500,1.0891,TAZ population,1.0904,superzone employment
1103,11,False,2887,3426,191,218,1.1468,TAZ population,1.0904,superzone employment
1104,11,False,6635,7660,1600,1899,1.1218,TAZ population,1.1469,TAZ employment
1105,11,False,1635,1695,2186,2112,1.0293,TAZ population,0.9728,TAZ employment
1106,11,False,1517,1572,619,680,1.0289,TAZ population,1.0781,TAZ employment
1107,11,False,6635,7660,901,1318,1.1218,TAZ population,1.3557,TAZ employment
1201,12,False,0,0,55,55,1.0000,superzone population,1.0258,superzone employment
1202,12,False,0,0,543,547,1.0059,TAZ employment (pure-employment zone),1.0059,TAZ employment
1203,12,True,0,0,5591,5863,1.0387,TAZ employment (pure-employment zone),1.0387,TAZ employment
1204,12,False,0,0,1085,1112,1.0199,TAZ employment (pure-employment zone),1.0199,TAZ employment
1205,12,True,0,0,147,150,1.0000,superzone population,1.0258,superzone employment
1206,12,False,0,0,147,150,1.0000,superzone population,1.0258,superzone employment
1207,12,False,0,0,1162,1166,1.0028,TAZ employment (pure-employment zone),1.0028,TAZ employment
1208,12,True,0,0,6360,6512,1.0191,TAZ employment (pure-employment zone),1.0191,TAZ employment
1209,12,True,0,0,1750,1792,1.0192,TAZ employment (pure-employment zone),1.0192,TAZ employment
1210,12,True,0,0,875,896,1.0192,TAZ employment (pure-employment zone),1.0192,TAZ employment
1211,12,True,0,0,313,320,1.0000,superzone population,1.0258,superzone employment
1212,12,True,0,0,280,282,1.0000,superzone population,1.0258,superzone employment
1213,12,True,0,0,141,140,1.0000,superzone population,1.0258,superzone employment
1214,12,True,0,0,2592,2654,1.0191,TAZ employment (pure-employment zone),1.0191,TAZ employment
1215,12,True,0,0,116,116,1.0000,superzone population,1.0258,superzone employment
1216,12,True,0,0,2380,2436,1.0188,TAZ employment (pure-employment zone),1.0188,TAZ employment
1217,12,True,0,0,2777,2842,1.0187,TAZ employment (pure-employment zone),1.0187,TAZ employment
1218,12,True,14,14,966,991,1.0207,TAZ employment (pure-employment zone),1.0207,TAZ employment
1219,12,True,4,4,1933,1979,1.0190,TAZ employment (pure-employment zone),1.0190,TAZ employment
1220,12,True,27,27,4834,4949,1.0190,TAZ employment (pure-employment zone),1.0190,TAZ employment
1221,12,True,0,0,3136,3592,1.1147,TAZ employment (pure-employment zone),1.1147,TAZ employment
1222,12,True,0,0,2508,2515,1.0022,TAZ employment (pure-employment zone),1.0022,TAZ employment
1223,12,False,5,5,1862,1869,1.0030,TAZ employment (pure-employment zone),1.0030,TAZ employment
1224,12,True,0,0,158,158,1.0000,superzone population,1.0258,superzone employment
1225,12,True,0,0,304,305,1.0000,superzone population,1.0258,superzone employment
1226,12,False,0,0,509,512,1.0047,TAZ employment (pure-employment zone),1.0047,TAZ employment
1227,12,False,0,0,158,158,1.0000,superzone population,1.0258,superzone employment
1302,13,True,2168,2395,2454,2513,1.0829,TAZ population,1.0192,TAZ employment
1303,13,True,1229,1397,1193,1333,1.1079,TAZ population,1.0928,TAZ employment
1304,13,True,1445,1596,2326,2259,1.0828,TAZ population,0.9769,TAZ employment
1305,13,True,2155,2534,873,985,1.1384,TAZ population,1.1014,TAZ employment
1306,13,True,1302,1528,569,659,1.1366,TAZ population,1.1247,TAZ employment
1307,13,True,0,0,4229,4330,1.0191,TAZ employment (pure-employment zone),1.0191,TAZ employment
1308,13,True,0,0,4243,4343,1.0188,TAZ employment (pure-employment zone),1.0188,TAZ employment
1309,13,True,570,637,728,808,1.0930,TAZ population,1.0870,TAZ employment
1310,13,True,853,955,1132,1258,1.0946,TAZ population,1.0881,TAZ employment
1311,13,True,736,824,383,396,1.0946,TAZ population,1.0284,superzone employment
1312,13,True,1292,1399,5019,5140,1.0657,TAZ population,1.0192,TAZ employment
1313,13,True,57,68,4243,4343,1.0188,TAZ employment (pure-employment zone),1.0188,TAZ employment
1401,14,True,765,843,5047,5589,1.0808,TAZ population,1.0850,TAZ employment
1402,14,False,1299,1422,616,647,1.0751,TAZ population,1.0401,TAZ employment
1403,14,False,1836,2103,945,1055,1.1147,TAZ population,1.0921,TAZ employment
1404,14,False,3103,3634,405,483,1.1347,TAZ population,1.0889,superzone employment
1405,14,False,3119,3558,589,674,1.1111,TAZ population,1.1139,TAZ employment
1406,14,False,2912,3117,339,373,1.0559,TAZ population,1.0889,superzone employment
1407,14,False,1299,1422,1436,1500,1.0751,TAZ population,1.0355,TAZ employment
1408,14,True,909,953,2722,2726,1.0385,TAZ population,1.0012,TAZ employment
1409,14,True,1623,1913,570,723,1.1406,TAZ population,1.2095,TAZ employment
1410,14,False,2435,2869,856,1085,1.1402,TAZ population,1.2088,TAZ employment
1411,14,False,4502,5438,2703,3067,1.1631,TAZ population,1.1064,TAZ employment
1412,14,False,2543,2594,3131,3953,1.0160,TAZ population,1.2050,TAZ employment
1413,14,False,1090,1112,348,272,1.0161,TAZ population,1.0889,superzone employment
1414,14,False,3192,3817,321,383,1.1538,TAZ population,1.0889,superzone employment
1415,14,False,4571,5198,1134,1286,1.1083,TAZ population,1.1059,TAZ employment
1416,14,False,765,843,3366,3613,1.0808,TAZ population,1.0583,TAZ employment
1417,14,True,607,636,1466,1460,1.0380,TAZ population,0.9967,TAZ employment
1418,14,False,3551,4275,634,729,1.1600,TAZ population,1.1182,TAZ employment
1501,15,True,3377,3392,1633,1597,1.0036,TAZ population,0.9823,TAZ employment
1502,15,True,0,0,4607,4717,1.0191,TAZ employment (pure-employment zone),1.0191,TAZ employment
1503,15,True,0,0,2061,2076,1.0058,TAZ employment (pure-employment zone),1.0058,TAZ employment
1504,15,True,1419,1462,1555,1564,1.0242,TAZ population,1.0046,TAZ employment
1505,15,True,3570,3614,429,711,1.0098,TAZ population,1.0276,superzone employment
1506,15,True,3102,3151,613,557,1.0126,TAZ population,0.9262,TAZ employment
1507,15,True,2128,2193,695,683,1.0244,TAZ population,0.9862,TAZ employment
1508,15,True,630,638,428,313,1.0101,TAZ population,1.0276,superzone employment
1509,15,True,3709,4129,272,284,1.0896,TAZ population,1.0276,superzone employment
1510,15,True,2048,2287,139,158,1.0923,TAZ population,1.0276,superzone employment
1511,15,True,3973,3985,623,623,1.0024,TAZ population,1.0000,TAZ employment
1512,15,True,3513,3507,430,452,0.9986,TAZ population,1.0276,superzone employment
1513,15,True,4588,4584,661,631,0.9993,TAZ population,0.9635,TAZ employment
1514,15,True,3823,3816,553,530,0.9985,TAZ population,0.9666,TAZ employment
1515,15,True,0,0,0,0,1.0187,superzone population,1.0276,superzone employment
1516,15,True,0,0,0,0,1.0187,superzone population,1.0276,superzone employment
1517,15,True,0,0,11001,11534,1.0386,TAZ employment (pure-employment zone),1.0386,TAZ employment
1518,15,True,4211,4243,5960,6381,1.0061,TAZ population,1.0561,TAZ employment
1519,15,True,0,0,818,904,1.0833,TAZ employment (pure-employment zone),1.0833,TAZ employment
1520,15,True,390,405,1309,1280,0.9822,TAZ employment (pure-employment zone),0.9822,TAZ employment
1521,15,True,0,0,0,0,1.0187,superzone population,1.0276,superzone employment
1522,15,True,1352,1408,194,188,1.0330,TAZ population,1.0276,superzone employment
1523,15,True,2654,2715,516,508,1.0183,TAZ population,0.9876,TAZ employment
1524,15,True,0,0,0,0,1.0187,superzone population,1.0276,superzone employment
1601,16,False,3155,3377,693,688,1.0559,TAZ population,0.9942,TAZ employment
1602,16,False,4285,4358,1405,1386,1.0136,TAZ population,0.9892,TAZ employment
1603,16,False,2120,2167,533,485,1.0177,TAZ population,0.9273,TAZ employment
1604,16,False,3798,3813,574,591,1.0032,TAZ population,1.0236,TAZ employment
1605,16,False,3722,3730,1165,1174,1.0017,TAZ population,1.0062,TAZ employment
1606,16,False,2120,2167,814,873,1.0177,TAZ population,1.0576,TAZ employment
1607,16,False,6283,6671,1374,1394,1.0491,TAZ population,1.0116,TAZ employment
1608,16,False,1693,1700,3782,3402,1.0033,TAZ population,0.9188,TAZ employment
1609,16,False,1138,1135,727,695,0.9979,TAZ population,0.9646,TAZ employment
1610,16,False,4550,4541,326,307,0.9984,TAZ population,1.0091,superzone employment
1611,16,False,3603,3599,1939,1860,0.9991,TAZ population,0.9673,TAZ employment
1612,16,False,3084,3080,329,305,0.9990,TAZ population,1.0091,superzone employment
1613,16,False,2807,2801,272,277,0.9983,TAZ population,1.0091,superzone employment
1614,16,False,3776,3766,488,483,0.9979,TAZ population,1.0091,superzone employment
1615,16,False,2559,2554,1411,2178,0.9984,TAZ population,1.4152,TAZ employment
1616,16,False,3743,3736,3611,3631,0.9985,TAZ population,1.0044,TAZ employment
1617,16,False,3301,3291,3640,3648,0.9976,TAZ population,1.0018,TAZ employment
1618,16,False,3721,3716,812,804,0.9989,TAZ population,0.9921,TAZ employment
1619,16,False,3625,3618,1237,834,0.9985,TAZ population,0.7295,TAZ employment
1620,16,False,3056,3054,373,394,0.9995,TAZ population,1.0091,superzone employment
1621,16,False,1060,1057,210,186,0.9977,TAZ population,1.0091,superzone employment
1622,16,False,3654,3644,515,524,0.9978,TAZ population,1.0140,TAZ employment
1623,16,False,4957,4952,1074,1049,0.9992,TAZ population,0.9813,TAZ employment
1624,16,False,659,741,5993,6341,1.0984,TAZ population,1.0462,TAZ employment
1625,16,False,1922,1918,141,146,0.9983,TAZ population,1.0091,superzone employment
1626,16,False,0,0,0,0,1.0074,superzone population,1.0091,superzone employment
1627,16,False,0,0,0,0,1.0074,superzone population,1.0091,superzone employment
1628,16,False,0,0,0,0,1.0074,superzone population,1.0091,superzone employment
1629,16,False,0,0,0,0,1.0074,superzone population,1.0091,superzone employment
1630,16,False,2517,2512,3045,2970,0.9984,TAZ population,0.9802,TAZ employment
1631,16,False,1111,1127,630,632,1.0115,TAZ population,1.0025,TAZ employment
1632,16,False,1717,1718,235,243,1.0005,TAZ population,1.0091,superzone employment
1633,16,False,742,752,301,335,1.0108,TAZ population,1.0091,superzone employment
1634,16,False,556,596,77,76,1.0572,TAZ population,1.0091,superzone employment
1635,16,False,1603,1599,116,134,0.9980,TAZ population,1.0091,superzone employment
1636,16,False,1603,1599,116,207,0.9980,TAZ population,1.0091,superzone employment
1637,16,False,0,0,0,0,1.0074,superzone population,1.0091,superzone employment
1638,16,False,0,0,0,0,1.0074,superzone population,1.0091,superzone employment
1639,16,False,1060,1057,210,238,0.9977,TAZ population,1.0091,superzone employment
1640,16,False,0,0,0,0,1.0074,superzone population,1.0091,superzone employment
1641,16,False,1603,1599,472,589,0.9980,TAZ population,1.0091,superzone employment
1701,17,False,555,636,112,118,1.1151,TAZ population,1.0259,superzone employment
