OriginTAZ,105,216,242,326,611,807,1208,1212,1225,1503,1517,2112,2209,2410,3615,3705,3904,3919,4010
105,0,60.5664,0.317101,4.75652,70.4758,8.64101,53.9865,200.725,136.75,116.693,128.664,0.713478,1.42696,2.53681,3.64667,1.42696,11.0986,4.20159,3.96377
216,41.6196,0,0.237826,0.792754,25.7645,7.37261,27.7464,99.4906,93.5449,90.0568,57.3954,0.554928,1.58551,1.42696,1.74406,0.792754,5.86638,2.69536,1.66478
242,0.0792754,0.396377,0,2.61609,1.98188,1.98188,3.09174,16.1722,31.4723,27.2707,28.5391,0,0,0.0792754,0.237826,0.0792754,0.634203,0.158551,0.951304
326,4.5187,2.45754,1.98188,0,21.4043,3.25029,34.6433,130.884,105.912,104.961,96.161,0.634203,0.0792754,2.21971,1.26841,0.475652,7.21406,2.85391,5.94565
611,33.4542,18.3919,3.09174,27.1122,0,1.82333,4.20159,32.3443,97.9051,194.542,110.748,0,0.237826,2.53681,1.58551,0.951304,12.367,10.3058,6.02493
807,5.62855,2.45754,0.475652,4.67725,0.951304,0,3.88449,12.8426,33.2164,54.6207,42.1745,0,0,0.396377,0.317101,0.158551,2.77464,2.14043,0.237826
1208,2.45754,1.98188,0,1.58551,0.792754,0.158551,0,2.14043,4.99435,13.0012,3.80522,0.0792754,0,0.634203,0.0792754,0,1.50623,2.06116,0.475652
1212,21.7214,12.367,1.18913,20.9287,2.93319,0.475652,3.25029,0,6.73841,33.692,7.45188,2.21971,9.9887,2.45754,24.6546,6.57986,8.87884,6.18348,4.28087
1225,9.67159,9.11667,1.42696,9.43377,2.06116,1.03058,0.634203,2.45754,0,12.6048,6.97623,0.634203,3.09174,3.56739,8.48246,2.93319,8.32391,5.23217,4.99435
1503,11.6535,10.4643,1.26841,11.8913,5.47,1.66478,4.12232,6.26275,3.64667,0,14.4281,1.82333,6.73841,3.48812,9.67159,0.951304,9.59232,6.18348,3.40884
1517,7.76899,6.57986,1.03058,13.5561,7.68971,1.82333,3.32957,4.20159,5.54928,9.90942,0,1.82333,3.56739,2.29899,8.64101,2.14043,22.9106,13.7939,4.67725
2112,0.951304,0.951304,0,0.237826,1.18913,0,0.475652,8.64101,23.2277,35.4361,33.9299,0,0.872029,1.90261,1.03058,6.57986,0.554928,0,0.0792754
2209,0.634203,0.554928,0,0.554928,0,0,0.237826,11.8913,36.0703,65.5607,30.1246,0.554928,0,1.10986,4.75652,3.09174,0.634203,0.0792754,0.0792754
2410,0.317101,2.06116,0,0.317101,5.23217,0.713478,1.03058,6.34203,11.3364,13.7939,6.97623,3.56739,0.792754,0,1.10986,0.237826,5.47,0.158551,1.18913
3615,2.61609,1.98188,0,0.475652,2.21971,0.317101,1.82333,66.3535,76.3422,55.0964,78.2448,0.872029,7.84826,1.66478,0,6.97623,1.26841,0.237826,0.158551
3705,1.42696,1.42696,0,0.475652,3.88449,0.0792754,0.951304,27.2707,20.3738,13.0012,21.4043,3.25029,8.08609,1.10986,8.72029,0,1.66478,0.396377,0.554928
3904,6.97623,8.95812,0.237826,5.07362,6.81768,0.951304,10.5436,23.7033,45.0284,75.708,59.8529,0.158551,0.158551,4.28087,1.10986,1.10986,0,7.92754,5.23217
3919,1.03058,1.18913,0,0.951304,1.82333,0.0792754,1.58551,5.1529,7.61043,13.3183,14.4281,0,0,1.82333,0,0.0792754,3.32957,0,2.29899
4010,2.29899,3.64667,0.237826,3.32957,5.86638,0.713478,8.16536,15.1416,17.0442,36.9423,24.4168,0,0.237826,2.06116,0.0792754,0.317101,7.21406,13.8732,0
