TAZ_NUMBER,avg_boardings,avg_alightings
1741,37.75,4.5
1742,368.25,553.75
1743,14.75,1.5
1744,268.5,197
1745,414.25,116.25
1746,78.25,33.5
1747,33.25,74.5
1748,122.75,48.25
1749,100,34.5
1750,41,90.5
1803,468,847.75
1804,361.5,83.25
1805,303.75,190.25
1806,288.25,184.25
1807,141.25,24.25
1808,8.25,5.25
1809,131.5,90.25
1810,9.5,121.75
1811,10.75,76.5
1812,19.5,161.5
1813,23.75,59.25
1814,43,74.5
1815,23.75,14.5
1816,128,542
1817,112.5,21.75
1902,41.75,3.75
1903,58.25,76.25
1904,15.5,4.75
1905,64,0.5
1906,32.5,13.75
1907,63.5,15.5
1908,62.25,76.25
1909,291,427
1910,52,17.5
1913,55.5,14.25
1914,81.75,38.75
1915,9.25,14
1916,107.25,76.25
1917,187,63
1918,26,4.75
1919,79.75,2.75
1921,58.25,25.5
1922,186.5,27.5
1923,102.75,77.75
1924,183,193.75
1925,188.75,203.25
1926,269.25,354.25
1927,96.5,109.5
1928,234.75,441.25
1929,113.25,132.25
1930,111.75,41.75
1931,138.5,106.75
1932,121.5,209.75
1933,183.75,109
1934,120.75,95
1936,22.75,9.75
1937,6.75,15.5
1938,31.5,6.5
2001,259.5,528.5
2002,345.25,244
2003,548,677
2004,183.25,145.25
2005,201.25,131.25
2006,12.5,35.75
2007,543,470.25
2008,90.25,112
2009,578.5,525.75
2010,252.75,299.25
2011,337,435
2012,692.5,372
2013,13.5,19.25
2101,69.25,73
2102,142.25,57.75
2104,6.75,102.5
2105,609.25,520.5
2106,398,189
2107,264.25,392.5
2108,200,385.75
2109,204,159.75
2110,309.25,139.5
2111,67,53.75
2112,470.75,358
2201,74.25,40.5
2202,124.75,9.5
2203,172,355.5
2204,292.5,156.75
2205,298.25,154.25
2206,166,162.75
2207,68.5,186
2208,116.25,130.25
2209,405.25,189.5
2210,120.25,305.25
2211,82,137.75
2212,12.75,5.75
2213,45.5,27.5
2214,336.75,144
2215,301,557.5
2216,168.5,49.5
2217,20,7.75
2218,180,54.75
2219,5,3.75
2221,322.75,239.25
2222,151.25,38
2301,422.25,180
2302,43.5,3.5
2303,196.75,105.5
2304,23.5,24.75
2305,502.5,409.25
2306,24.5,22.75
2307,160.25,152.75
2401,51.75,263
2402,236,172.25
2403,458,79
2404,254.5,102
2405,64.5,54.25
2406,279,308.75
2407,424.75,190.5
2409,10.5,41
2410,366.5,112
2411,34.5,8.75
2412,177,58.75
2413,63.75,35.75
2415,78.25,10.5
2417,27.5,5.5
2418,0.25,0
2419,30.25,41.25
2420,54.75,661.75
2421,57.5,17.25
2422,102.5,29
2423,72,79.25
2425,11.75,10.5
2426,68,25
2427,6.5,1.75
2501,35.75,22.25
2502,4.5,6
2503,225.25,151
2504,161.5,243.5
2505,234.5,177.75
2506,10,0.5
2507,10.25,4.25
3001,20,102.75
3002,13.25,6
3006,41.75,16.25
3009,76.75,161.25
3010,14.75,6.75
3013,73,23.25
3101,6.25,5.25
3102,1.25,0
3103,5.75,2.75
