stop_code,lat,lon,TAZ_NUMBER
25245.000000,32.040295,34.762819,
21454.000000,32.062878,34.792016,
33816.000000,32.025814,34.750723,
37609.000000,32.019269,34.803092,
33326.000000,31.957388,34.802287,
22921.000000,32.075105,34.805560,
22273.000000,32.093343,34.822094,
38530.000000,32.052133,34.948273,
31597.000000,32.088363,34.886985,
15861.000000,31.609009,34.770283,
19988.000000,31.664030,34.566652,
2364.000000,31.784041,35.224269,
2893.000000,31.819056,35.244258,
3108.000000,31.781861,35.202407,
31610.000000,31.980484,34.775576,
37506.000000,31.969914,34.805183,
37520.000000,31.965992,34.840270,
36050.000000,31.971693,34.798335,
36048.000000,31.967880,34.799514,
26693.000000,32.124679,34.802192,
20597.000000,32.113008,34.798492,
26605.000000,32.111191,34.835061,
63717.000000,31.879159,35.248042,
9855.000000,31.817420,35.194919,
33762.000000,32.017834,34.786912,
21518.000000,32.067602,34.792921,
25336.000000,32.063276,34.763649,
25302.000000,32.054967,34.756352,
25619.000000,32.077639,34.778033,
21188.000000,32.095376,34.794137,
9863.000000,31.784483,35.214106,
34113.000000,31.913932,35.000664,
34095.000000,31.900343,35.013805,
32380.000000,32.085959,34.887656,
38265.000000,32.106011,34.890254,
32378.000000,32.088088,34.886827,
31203.000000,32.048301,34.860287,
39222.000000,32.317684,34.854885,
39180.000000,32.277657,34.859914,
39148.000000,32.280743,34.851721,
36258.000000,32.023359,34.757170,
22946.000000,32.064921,34.786054,
36268.000000,32.018878,34.759282,
34795.000000,32.036636,34.761227,
21486.000000,32.048689,34.813804,
38159.000000,32.026011,34.857006,
21572.000000,32.045785,34.805717,
41609.000000,32.850522,35.093666,601.000000
57881.000000,32.909999,35.279795,332.000000
42556.000000,32.844955,35.091496,704.000000
5057.000000,31.790164,35.207487,
4014.000000,31.792289,35.211015,
25424.000000,32.049436,34.776098,
36305.000000,32.036288,34.763276,
25639.000000,32.047314,34.790168,
25614.000000,32.074359,34.778231,
32404.000000,32.094824,34.892085,
32269.000000,32.091161,34.867870,
38286.000000,32.078468,34.898544,
31291.000000,32.089927,34.882758,
36203.000000,32.017508,34.745392,
31585.000000,31.990447,34.772670,
21377.000000,32.090518,34.825597,
20091.000000,32.094626,34.833020,
21373.000000,32.085774,34.839150,
17062.000000,31.966977,34.878790,
17038.000000,32.083715,34.798247,
35336.000000,32.091159,34.885384,
21277.000000,32.051417,34.800000,
26018.000000,32.054703,34.800345,
21173.000000,32.080094,34.788557,
17020.000000,32.793600,34.957404,1517.000000
17114.000000,32.278832,34.865175,
36246.000000,32.015565,34.755262,
31612.000000,32.086933,34.881634,
31674.000000,32.080041,34.884194,
36209.000000,32.016564,34.746645,
17052.000000,32.014588,34.762082,
17036.000000,32.103516,34.804499,
36207.000000,32.020498,34.745431,
20698.000000,32.088644,34.782306,
21022.000000,32.072957,34.793439,
35585.000000,32.047724,34.960156,
23014.000000,32.074910,34.791286,
21644.000000,32.083114,34.805050,
39163.000000,32.286557,34.855052,
14697.000000,31.782897,34.651211,
10112.000000,31.813077,34.667319,
15209.000000,31.618159,34.767113,
10091.000000,31.607959,34.773732,
21566.000000,32.070380,34.825556,
21666.000000,32.098809,34.827472,
35450.000000,32.077066,34.898372,
32237.000000,32.081701,34.876424,
38284.000000,32.076062,34.898480,
20647.000000,32.098633,34.833401,
21366.000000,32.078936,34.773907,
21119.000000,32.071418,34.797494,
199.000000,31.769614,35.182558,
5942.000000,31.786077,35.186807,
168.000000,31.809557,35.218799,
6132.000000,31.805532,35.234309,
26260.000000,32.081474,34.809175,
25609.000000,32.075295,34.775342,
21530.000000,32.049334,34.799322,
32481.000000,32.086005,34.895774,
13034.000000,31.251753,34.808067,
16090.000000,31.244751,34.810918,
21282.000000,32.046202,34.813526,
20699.000000,32.084806,34.781547,
26806.000000,32.114226,34.841355,
21165.000000,32.094143,34.822193,
26030.000000,32.057897,34.800537,
21318.000000,32.060644,34.791891,
63594.000000,31.793305,35.334629,
5988.000000,31.750171,35.215654,
1494.000000,31.768465,35.178701,
3855.000000,31.781537,35.216372,
3045.000000,31.755635,35.197993,
33160.000000,31.929567,34.860410,
21711.000000,32.082661,34.845048,
60586.000000,31.783503,35.297605,
60885.000000,31.768491,35.295532,
13322.000000,31.798666,34.662781,
10118.000000,31.770949,34.639661,
11044.000000,31.774391,34.643036,
21701.000000,32.109860,34.797792,
21265.000000,32.044958,34.811400,
25660.000000,32.048019,34.793353,
25394.000000,32.059065,34.773499,
25070.000000,32.056509,34.780027,
36227.000000,32.027912,34.748983,
43047.000000,32.802917,35.086555,904.000000
42096.000000,32.812298,35.107017,906.000000
36273.000000,32.020160,34.765070,
37659.000000,32.016556,34.764993,
21574.000000,32.046839,34.800032,
25693.000000,32.059086,34.798466,
32292.000000,32.090774,34.902530,
26714.000000,32.121512,34.821577,
32244.000000,32.086301,34.888401,
1323.000000,31.704448,34.976028,
14705.000000,31.811036,34.640600,
13166.000000,31.789900,34.646469,
17070.000000,31.774061,34.666059,
17058.000000,31.947694,34.879159,
11038.000000,31.774720,34.666143,
4174.000000,31.783551,35.218004,
9974.000000,31.775531,35.218196,
33432.000000,32.038296,34.831105,
31213.000000,32.048024,34.842623,
17118.000000,31.788062,35.202545,
21139.000000,32.082475,34.795453,
17028.000000,32.438199,34.899321,4010.000000
21487.000000,32.071549,34.794118,
17046.000000,32.073346,34.793256,
51656.000000,32.706919,35.172572,2208.000000
21179.000000,32.061549,34.773660,
31470.000000,32.067259,34.863109,
33891.000000,32.016697,34.744904,
36402.000000,32.021133,34.798741,
37602.000000,31.962267,34.819914,
36119.000000,32.005034,34.748377,
32451.000000,32.070167,34.913654,
38129.000000,32.065377,34.845842,
26569.000000,32.084773,34.843127,
20094.000000,32.087716,34.838781,
21560.000000,32.080979,34.840267,
21109.000000,32.054798,34.833799,
39233.000000,32.320496,34.855573,
21140.000000,32.082240,34.795351,
21356.000000,32.110701,34.837899,
5892.000000,31.723331,35.223654,
1369.000000,31.794619,35.242026,
32386.000000,32.071712,34.917147,
39107.000000,32.276837,34.847509,
21042.000000,32.059076,34.827320,
21004.000000,32.058774,34.817616,
32402.000000,32.091657,34.887920,
30913.000000,31.940933,34.884179,
31654.000000,31.899922,35.006593,
36491.000000,31.944458,34.877613,
38162.000000,32.089186,34.880773,
31693.000000,32.076819,34.885320,
30954.000000,31.958999,34.884252,
17040.000000,32.102938,34.830131,
31029.000000,31.966837,34.878459,
30945.000000,31.961218,34.878899,
37571.000000,32.003560,34.753570,
36168.000000,32.008405,34.754931,
31336.000000,32.028117,34.889739,
35090.000000,31.928850,34.871156,
33179.000000,31.934251,34.859743,
31636.000000,32.024834,34.907089,
38315.000000,32.088538,34.868576,
36764.000000,32.089899,34.882979,
32267.000000,32.092078,34.858020,
32403.000000,32.094107,34.891330,
39188.000000,32.294922,34.852932,
20004.000000,32.061286,34.784846,
39269.000000,32.328953,34.858496,
26967.000000,32.057814,34.779970,
36221.000000,32.027348,34.745339,
30975.000000,31.946704,34.898845,
36212.000000,32.022110,34.749758,
27228.000000,32.067978,34.770974,
36247.000000,32.021858,34.755397,
20727.000000,32.069627,34.787954,
32331.000000,32.074573,34.882833,
20047.000000,32.111697,34.792204,
10953.000000,31.268353,34.767311,
17084.000000,31.242886,34.798546,
20001.000000,32.083157,34.796091,
13059.000000,31.258457,34.794354,
36400.000000,32.014323,34.786116,
35788.000000,32.004598,34.772704,
26241.000000,32.082614,34.800225,
32116.000000,31.897757,34.810693,
38150.000000,31.964472,34.799939,
60878.000000,31.767998,35.291749,
25638.000000,32.054622,34.784803,
20902.000000,32.046386,34.780691,
17104.000000,32.053978,34.784839,
61414.000000,31.933158,35.053047,
60299.000000,31.936258,35.039119,
5645.000000,31.770871,35.181443,
33719.000000,32.020751,34.745520,
25308.000000,32.049740,34.761319,
17082.000000,31.262089,34.809287,
20464.000000,32.034240,34.751143,
25636.000000,32.055238,34.783503,
21244.000000,32.063415,34.780084,
21714.000000,32.056807,34.776639,
20062.000000,32.082796,34.826186,
25632.000000,32.076684,34.781314,
32800.000000,32.093484,34.885421,
39662.000000,32.107606,34.962074,
9884.000000,31.750298,35.185087,
20036.000000,32.088918,34.815651,
23055.000000,32.076564,34.836184,
25114.000000,32.091267,34.845151,
26520.000000,32.084589,34.836367,
23017.000000,32.066502,34.786817,
25764.000000,32.076216,34.798903,
21370.000000,32.091484,34.831208,
20340.000000,32.082575,34.835422,
40200.000000,32.436167,34.922872,4015.000000
26222.000000,32.069979,34.831939,
40104.000000,32.436232,34.913680,4015.000000
27059.000000,32.092819,34.837720,
27058.000000,32.090489,34.838820,
31458.000000,32.086035,34.885385,
36743.000000,32.105015,34.878734,
25900.000000,32.093734,34.788230,
10745.000000,31.074032,35.043962,
13907.000000,31.243017,34.796743,
14331.000000,31.244436,34.811008,
13106.000000,31.257665,34.798444,
11225.000000,31.269125,34.799607,
13462.000000,31.242040,34.798035,
26912.000000,32.175416,34.851399,
20000.000000,32.164239,34.818785,
21571.000000,32.167168,34.849355,
37034.000000,32.175091,34.909718,
37058.000000,32.179890,34.877759,
21150.000000,32.075664,34.782893,
37018.000000,32.177906,34.894049,
39817.000000,32.182884,34.914328,
37064.000000,32.178298,34.926906,
41250.000000,32.805373,34.998293,1414.000000
41078.000000,32.806409,34.991486,1413.000000
47481.000000,32.817890,35.077712,806.000000
25420.000000,32.062920,34.773130,
36130.000000,32.014112,34.742583,
25287.000000,32.046892,34.785506,
39736.000000,32.026569,34.748079,
36866.000000,32.093566,34.904374,
35621.000000,32.089896,34.885932,
36222.000000,32.026735,34.745833,
21472.000000,32.074592,34.790584,
25746.000000,32.068221,34.798780,
