k,household-split,cross-day
0.0,0.33593746042762207,0.10111973045596545
1.0,0.31123068380046726,0.11199199678970254
2.0,0.30150112030280074,0.11927013624676869
5.0,0.28753827629678075,0.13320437256992718
10.0,0.27802790915134484,0.14700863403653752
20.0,0.27101464126190555,0.16288563695378977
50.0,0.2662598347225718,0.18421224652115492
100.0,0.26523968460431535,0.1980991940318317
200.0,0.26534952872214845,0.2087246565017986
500.0,0.26600053394042733,0.21768190639060905
inf,0.2670502650757221,0.22593597412567862
