o,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,101,102,103,104,301,302,303,304
201,4.42,12.27,17.08,19.39,27.94,21.73,19.98,21.02,24.48,21.85,24.62,25.46,32.97,37.73,43.27,54.20,67.17,36.30,34.90,32.20,29.48,34.38,32.43,30.32,28.13
202,11.12,8.06,11.50,13.48,22.69,16.47,15.33,17.00,16.54,20.06,22.51,25.86,32.42,37.72,43.57,55.49,69.59,33.80,32.73,30.29,28.01,31.60,29.77,27.79,26.21
203,17.60,11.52,6.01,8.50,10.47,12.93,12.83,14.15,16.39,20.51,23.87,25.78,32.36,37.89,43.84,56.31,71.10,32.26,31.48,29.30,27.45,29.90,28.23,26.42,25.39
204,18.79,12.77,7.84,7.19,6.62,9.89,12.16,14.54,17.52,21.59,24.09,25.84,32.32,37.93,43.91,56.63,71.78,31.36,30.75,28.77,27.20,28.93,27.38,25.70,25.02
205,20.60,14.29,9.72,7.37,5.88,10.29,16.99,12.18,16.70,22.05,24.02,25.63,32.00,37.64,43.62,56.50,71.90,30.44,29.96,28.11,26.76,27.98,26.51,24.94,24.72
206,22.19,17.68,13.60,8.36,10.22,6.01,7.88,10.57,14.80,20.53,21.52,22.57,28.86,34.52,40.48,53.43,62.20,27.31,26.78,24.91,23.25,24.87,23.36,21.75,21.40
207,19.98,15.41,12.83,12.16,11.89,10.11,3.96,8.58,12.31,15.92,19.15,20.78,27.21,32.84,37.34,51.64,67.04,26.47,25.74,23.66,22.06,24.10,22.45,20.67,19.89
208,19.90,16.10,14.15,13.85,13.83,12.15,7.07,6.47,9.62,17.96,17.45,18.57,25.50,31.11,34.32,49.85,60.88,25.24,24.37,22.18,18.63,22.94,21.20,19.32,18.30
209,30.73,16.55,16.39,16.81,17.13,14.51,12.35,10.20,7.66,11.70,14.84,16.31,23.09,28.56,34.50,46.95,62.00,24.57,23.34,20.81,18.39,22.54,20.62,18.54,16.54
210,20.28,22.09,20.97,21.94,22.05,20.07,17.39,15.35,12.05,11.15,11.97,13.62,19.76,25.28,30.89,42.52,57.16,23.85,22.18,19.30,16.17,22.37,20.39,18.30,15.33
211,24.62,25.34,23.87,24.09,24.02,21.06,19.15,17.50,14.43,10.28,5.73,8.44,15.70,21.08,27.01,39.56,54.97,19.64,17.45,15.04,12.12,18.40,16.48,13.19,11.64
212,26.83,24.61,25.78,25.84,25.63,24.77,20.78,19.02,16.49,13.62,9.24,6.62,13.13,19.14,26.37,46.68,51.77,17.79,15.92,11.61,9.77,16.84,14.12,13.32,10.20
213,32.97,32.42,32.36,32.32,32.00,28.86,27.21,25.14,21.32,19.03,15.57,14.05,4.52,13.93,18.64,31.76,48.07,16.42,14.42,13.77,13.57,17.11,16.30,16.02,14.77
214,37.73,35.87,37.89,37.93,37.64,34.52,32.84,31.22,28.58,24.79,21.23,20.37,12.51,4.82,15.80,26.15,43.96,19.86,17.04,17.07,18.08,21.36,21.10,20.26,20.39
215,43.27,43.57,43.84,43.91,43.62,41.95,38.82,35.62,33.22,34.03,25.84,27.55,21.45,15.22,7.49,20.33,49.24,26.21,22.93,25.69,23.99,26.52,26.46,26.94,26.29
216,50.14,55.49,56.31,56.63,56.50,53.43,51.64,49.85,43.39,41.16,34.55,37.14,31.76,26.15,17.20,4.99,22.94,37.75,36.68,36.98,39.72,39.76,39.90,40.35,41.36
217,67.17,64.71,71.10,71.78,71.90,62.15,67.04,62.05,61.95,55.39,54.97,53.63,48.07,42.73,37.63,24.90,9.93,54.93,53.72,53.70,53.46,56.82,56.78,56.97,55.73
101,36.30,31.96,32.26,31.36,30.44,33.64,26.47,26.48,23.52,22.46,19.27,18.42,16.42,19.86,24.46,37.75,54.93,6.41,9.43,10.87,13.28,7.94,10.13,11.03,15.02
102,34.90,32.44,31.48,30.75,29.96,26.78,25.74,25.22,22.46,22.18,17.12,16.48,14.07,18.29,23.28,36.68,50.77,8.56,11.36,8.56,12.62,9.91,10.58,13.18,13.91
103,31.46,33.92,29.30,28.77,28.11,26.05,23.66,22.85,21.10,22.24,17.56,12.79,13.04,21.05,23.56,35.96,56.90,13.12,7.47,4.51,7.44,11.51,9.98,9.11,9.52
104,29.33,28.64,27.45,27.20,26.76,32.40,22.06,33.00,17.57,14.37,12.76,6.78,12.46,18.08,23.99,37.19,53.46,16.38,13.37,6.92,5.46,14.26,12.04,8.36,8.40
301,34.38,30.60,29.90,28.93,27.98,29.53,24.10,24.10,22.09,23.05,18.19,17.32,17.11,21.36,26.37,39.76,56.82,7.20,10.41,11.62,15.16,6.63,10.73,11.18,13.73
302,32.43,29.77,28.23,27.38,26.51,23.36,22.45,21.32,20.82,21.77,15.64,14.93,16.30,21.10,26.46,39.90,56.78,12.07,10.57,9.14,13.44,8.23,7.43,7.32,12.37
303,30.32,31.31,26.29,25.70,24.94,23.44,20.67,22.36,18.54,22.40,14.65,12.23,16.02,21.29,26.94,40.35,56.97,13.38,12.50,8.49,11.20,10.34,6.54,4.48,9.26
304,28.19,26.40,25.81,25.02,24.52,28.08,19.89,21.32,16.57,15.60,12.71,11.61,14.77,20.39,26.29,39.50,55.73,16.39,15.21,10.90,6.78,14.02,11.95,8.08,7.24
