lrt_legs_ug,pairs,transit_2022,lrt_ug,lrt_ground,lrt_d50,P_ug
brt→LRT,102,3309.0,1087.0,833.0,1314.0,0.328
brt→LRT→brt,110,4199.0,349.0,289.0,387.0,0.083
brt→LRT→bus,44,75.0,7.0,6.0,8.0,0.093
bus→LRT,48,704.0,187.0,157.0,216.0,0.266
bus→LRT→brt,41,537.0,92.0,80.0,100.0,0.171
bus→LRT→bus,15,32.0,1.0,0.0,1.0,0.031
directLRT,90,4567.0,1406.0,938.0,1785.0,0.308
directLRT→brt,81,570.0,238.0,191.0,281.0,0.418
directLRT→bus,69,141.0,43.0,35.0,52.0,0.305
