scenario,case,λ,λ_T,LRT premium,LRT trips 06–09,of which from bus,of which from car,bus trips after,car trips after,transit share before,transit share after,LRT share of transit,LRT trips on trunk pairs,trunk pairs P_LRT|T (trip-wtd),headway_min,bus_competition
LRT all ground,"high λ (0.05 / 0.10, premium 5)",0.05,0.1,5.0,1599,1526,73,12915,56064,0.2003,0.2056,0.11,531,0.112,7.5,full
LRT all ground,"no premium (λ central, premium 0)",0.03,0.06,0.0,2235,2122,113,12482,55860,0.2003,0.2085,0.152,825,0.171,7.5,full
LRT all ground,premium 10 (λ central),0.03,0.06,10.0,3594,3301,294,11538,55445,0.2003,0.2144,0.238,1356,0.271,7.5,full
LRT design 50 km/h,"central (λ 0.03, λ_T 0.06, premium 5)",0.03,0.06,5.0,4603,4101,502,10856,55119,0.2003,0.219,0.298,1987,0.38,7.5,full
LRT design 50 km/h,"low λ (0.02 / 0.03, premium 5)",0.02,0.03,5.0,6226,5242,984,10403,53949,0.2003,0.2356,0.374,2445,0.438,7.5,full
LRT design 50 km/h,"high λ (0.05 / 0.10, premium 5)",0.05,0.1,5.0,3699,3297,402,11447,55432,0.2003,0.2146,0.244,1626,0.314,7.5,full
LRT design 50 km/h,"no premium (λ central, premium 0)",0.03,0.06,0.0,3718,3389,328,11446,55415,0.2003,0.2148,0.245,1597,0.314,7.5,full
LRT design 50 km/h,premium 10 (λ central),0.03,0.06,10.0,5619,4874,745,10203,54756,0.2003,0.2242,0.355,2432,0.451,7.5,full
LRT design 50 km/h + accel/braking,"central (λ 0.03, λ_T 0.06, premium 5)",0.03,0.06,5.0,3858,3517,341,11354,55367,0.2003,0.2155,0.254,1601,0.316,7.5,full
LRT design 50 km/h + accel/braking,"low λ (0.02 / 0.03, premium 5)",0.02,0.03,5.0,5737,4904,833,10677,54165,0.2003,0.2326,0.35,2207,0.403,7.5,full
LRT design 50 km/h + accel/braking,"high λ (0.05 / 0.10, premium 5)",0.05,0.1,5.0,2693,2493,200,12130,55755,0.2003,0.21,0.182,1088,0.221,7.5,full
LRT design 50 km/h + accel/braking,"no premium (λ central, premium 0)",0.03,0.06,0.0,3074,2858,216,11889,55615,0.2003,0.212,0.205,1266,0.256,7.5,full
