,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
S01,0.00,5.97,11.03,14.62,19.89,23.61,26.58,29.03,34.64,41.32,43.40,45.99,51.44,54.47,58.15,59.85,63.46,65.62,68.05,71.94,77.27,81.38,84.97,89.69
S02,5.97,0.00,5.06,8.65,13.92,17.64,20.61,23.06,28.67,35.35,37.43,40.02,45.47,48.50,52.18,53.88,57.49,59.65,62.09,65.97,71.31,75.41,79.00,83.73
S03,11.03,5.06,0.00,3.58,8.86,12.58,15.55,18.00,23.61,30.29,32.37,34.95,40.41,43.44,47.12,48.82,52.43,54.58,57.02,60.91,66.24,70.35,73.93,78.66
S04,14.62,8.65,3.58,0.00,5.27,9.00,11.97,14.41,20.02,26.71,28.78,31.37,36.83,39.85,43.54,45.23,48.84,51.00,53.44,57.32,62.66,66.76,70.35,75.08
S05,19.89,13.92,8.86,5.27,0.00,3.72,6.69,9.14,14.75,21.43,23.51,26.10,31.55,34.58,38.26,39.96,43.57,45.73,48.16,52.05,57.38,61.49,65.08,69.80
S06,23.61,17.64,12.58,9.00,3.72,0.00,2.97,5.41,11.03,17.71,19.79,22.37,27.83,30.86,34.54,36.24,39.84,42.00,44.44,48.33,53.66,57.77,61.35,66.08
S07,26.58,20.61,15.55,11.97,6.69,2.97,0.00,2.44,8.06,14.74,16.82,19.40,24.86,27.89,31.57,33.26,36.87,39.03,41.47,45.36,50.69,54.80,58.38,63.11
S08,29.03,23.06,18.00,14.41,9.14,5.41,2.44,0.00,5.61,12.29,14.37,16.96,22.41,25.44,29.13,30.82,34.43,36.59,39.03,42.91,48.25,52.35,55.94,60.67
S09,34.64,28.67,23.61,20.02,14.75,11.03,8.06,5.61,0.00,6.68,8.76,11.34,16.80,19.83,23.51,25.21,28.82,30.98,33.41,37.30,42.63,46.74,50.33,55.05
S10,41.32,35.35,30.29,26.71,21.43,17.71,14.74,12.29,6.68,0.00,2.08,4.66,10.12,13.15,16.83,18.53,22.13,24.29,26.73,30.62,35.95,40.06,43.64,48.37
S11,43.40,37.43,32.37,28.78,23.51,19.79,16.82,14.37,8.76,2.08,0.00,2.59,8.04,11.07,14.75,16.45,20.06,22.22,24.66,28.54,33.88,37.98,41.57,46.30
S12,45.99,40.02,34.95,31.37,26.10,22.37,19.40,16.96,11.34,4.66,2.59,0.00,5.46,8.48,12.17,13.86,17.47,19.63,22.07,25.95,31.29,35.39,38.98,43.71
S13,51.44,45.47,40.41,36.83,31.55,27.83,24.86,22.41,16.80,10.12,8.04,5.46,0.00,3.03,6.71,8.41,12.02,14.17,16.61,20.50,25.83,29.94,33.52,38.25
S14,54.47,48.50,43.44,39.85,34.58,30.86,27.89,25.44,19.83,13.15,11.07,8.48,3.03,0.00,3.68,5.38,8.99,11.15,13.58,17.47,22.80,26.91,30.50,35.22
S15,58.15,52.18,47.12,43.54,38.26,34.54,31.57,29.13,23.51,16.83,14.75,12.17,6.71,3.68,0.00,1.69,5.30,7.46,9.90,13.79,19.12,23.23,26.81,31.54
S16,59.85,53.88,48.82,45.23,39.96,36.24,33.26,30.82,25.21,18.53,16.45,13.86,8.41,5.38,1.69,0.00,3.61,5.77,8.21,12.09,17.43,21.53,25.12,29.85
S17,63.46,57.49,52.43,48.84,43.57,39.84,36.87,34.43,28.82,22.13,20.06,17.47,12.02,8.99,5.30,3.61,0.00,2.16,4.60,8.48,13.82,17.92,21.51,26.24
S18,65.62,59.65,54.58,51.00,45.73,42.00,39.03,36.59,30.98,24.29,22.22,19.63,14.17,11.15,7.46,5.77,2.16,0.00,2.44,6.32,11.66,15.76,19.35,24.08
S19,68.05,62.09,57.02,53.44,48.16,44.44,41.47,39.03,33.41,26.73,24.66,22.07,16.61,13.58,9.90,8.21,4.60,2.44,0.00,3.89,9.22,13.32,16.91,21.64
S20,71.94,65.97,60.91,57.32,52.05,48.33,45.36,42.91,37.30,30.62,28.54,25.95,20.50,17.47,13.79,12.09,8.48,6.32,3.89,0.00,5.33,9.44,13.03,17.75
S21,77.27,71.31,66.24,62.66,57.38,53.66,50.69,48.25,42.63,35.95,33.88,31.29,25.83,22.80,19.12,17.43,13.82,11.66,9.22,5.33,0.00,4.11,7.69,12.42
S22,81.38,75.41,70.35,66.76,61.49,57.77,54.80,52.35,46.74,40.06,37.98,35.39,29.94,26.91,23.23,21.53,17.92,15.76,13.32,9.44,4.11,0.00,3.59,8.31
S23,84.97,79.00,73.93,70.35,65.08,61.35,58.38,55.94,50.33,43.64,41.57,38.98,33.52,30.50,26.81,25.12,21.51,19.35,16.91,13.03,7.69,3.59,0.00,4.73
S24,89.69,83.73,78.66,75.08,69.80,66.08,63.11,60.67,55.05,48.37,46.30,43.71,38.25,35.22,31.54,29.85,26.24,24.08,21.64,17.75,12.42,8.31,4.73,0.00
