,201,202,203,204,205,206,207,208,209,210
201,0.00,7.84,13.73,15.69,19.61,25.49,29.41,33.33,37.26,43.14
202,7.84,0.00,5.88,7.84,11.76,17.65,21.57,25.49,29.41,35.29
203,13.73,5.88,0.00,1.96,5.88,11.76,15.69,19.61,23.53,29.41
204,15.69,7.84,1.96,0.00,3.92,9.80,13.73,17.65,21.57,27.45
205,19.61,11.76,5.88,3.92,0.00,5.88,9.80,13.73,17.65,23.53
206,25.49,17.65,11.76,9.80,5.88,0.00,3.92,7.84,11.76,17.65
207,29.41,21.57,15.69,13.73,9.80,3.92,0.00,3.92,7.84,13.73
208,33.33,25.49,19.61,17.65,13.73,7.84,3.92,0.00,3.92,9.80
209,37.26,29.41,23.53,21.57,17.65,11.76,7.84,3.92,0.00,5.88
210,43.14,35.29,29.41,27.45,23.53,17.65,13.73,9.80,5.88,0.00
