,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
S01,0.00,1.66,3.10,4.17,5.65,6.75,7.67,8.45,10.02,11.86,12.55,13.37,14.90,15.83,16.92,17.51,18.58,19.29,20.07,21.21,22.71,23.91,24.97,26.33
S02,1.66,0.00,1.44,2.50,3.99,5.09,6.00,6.78,8.36,10.20,10.89,11.70,13.24,14.16,15.25,15.84,16.92,17.62,18.40,19.54,21.05,22.24,23.31,24.66
S03,3.10,1.44,0.00,1.07,2.55,3.65,4.57,5.35,6.92,8.76,9.45,10.26,11.80,12.73,13.82,14.41,15.48,16.19,16.97,18.11,19.61,20.81,21.87,23.23
S04,4.17,2.50,1.07,0.00,1.49,2.59,3.50,4.28,5.85,7.70,8.38,9.20,10.73,11.66,12.75,13.34,14.41,15.12,15.90,17.04,18.55,19.74,20.81,22.16
S05,5.65,3.99,2.55,1.49,0.00,1.10,2.01,2.79,4.37,6.21,6.90,7.71,9.25,10.17,11.26,11.85,12.93,13.63,14.41,15.55,17.06,18.25,19.32,20.67
S06,6.75,5.09,3.65,2.59,1.10,0.00,0.91,1.69,3.27,5.11,5.79,6.61,8.15,9.07,10.16,10.75,11.82,12.53,13.31,14.45,15.96,17.15,18.22,19.57
S07,7.67,6.00,4.57,3.50,2.01,0.91,0.00,0.78,2.35,4.20,4.88,5.70,7.23,8.16,9.25,9.84,10.91,11.62,12.40,13.54,15.04,16.24,17.31,18.66
S08,8.45,6.78,5.35,4.28,2.79,1.69,0.78,0.00,1.57,3.42,4.10,4.92,6.45,7.38,8.47,9.06,10.13,10.84,11.62,12.76,14.27,15.46,16.53,17.88
S09,10.02,8.36,6.92,5.85,4.37,3.27,2.35,1.57,0.00,1.84,2.53,3.34,4.88,5.81,6.90,7.49,8.56,9.27,10.05,11.19,12.69,13.89,14.95,16.31
S10,11.86,10.20,8.76,7.70,6.21,5.11,4.20,3.42,1.84,0.00,0.69,1.50,3.04,3.96,5.05,5.65,6.72,7.43,8.20,9.34,10.85,12.04,13.11,14.46
S11,12.55,10.89,9.45,8.38,6.90,5.79,4.88,4.10,2.53,0.69,0.00,0.82,2.35,3.28,4.37,4.96,6.03,6.74,7.52,8.66,10.16,11.36,12.42,13.78
S12,13.37,11.70,10.26,9.20,7.71,6.61,5.70,4.92,3.34,1.50,0.82,0.00,1.53,2.46,3.55,4.14,5.21,5.92,6.70,7.84,9.35,10.54,11.61,12.96
S13,14.90,13.24,11.80,10.73,9.25,8.15,7.23,6.45,4.88,3.04,2.35,1.53,0.00,0.93,2.02,2.61,3.68,4.39,5.17,6.31,7.81,9.01,10.07,11.43
S14,15.83,14.16,12.73,11.66,10.17,9.07,8.16,7.38,5.81,3.96,3.28,2.46,0.93,0.00,1.09,1.68,2.75,3.46,4.24,5.38,6.88,8.08,9.15,10.50
S15,16.92,15.25,13.82,12.75,11.26,10.16,9.25,8.47,6.90,5.05,4.37,3.55,2.02,1.09,0.00,0.59,1.66,2.37,3.15,4.29,5.79,6.99,8.06,9.41
S16,17.51,15.84,14.41,13.34,11.85,10.75,9.84,9.06,7.49,5.65,4.96,4.14,2.61,1.68,0.59,0.00,1.07,1.78,2.56,3.70,5.20,6.40,7.47,8.82
S17,18.58,16.92,15.48,14.41,12.93,11.82,10.91,10.13,8.56,6.72,6.03,5.21,3.68,2.75,1.66,1.07,0.00,0.71,1.49,2.63,4.13,5.33,6.39,7.75
S18,19.29,17.62,16.19,15.12,13.63,12.53,11.62,10.84,9.27,7.43,6.74,5.92,4.39,3.46,2.37,1.78,0.71,0.00,0.78,1.92,3.42,4.62,5.69,7.04
S19,20.07,18.40,16.97,15.90,14.41,13.31,12.40,11.62,10.05,8.20,7.52,6.70,5.17,4.24,3.15,2.56,1.49,0.78,0.00,1.14,2.65,3.84,4.91,6.26
S20,21.21,19.54,18.11,17.04,15.55,14.45,13.54,12.76,11.19,9.34,8.66,7.84,6.31,5.38,4.29,3.70,2.63,1.92,1.14,0.00,1.50,2.70,3.77,5.12
S21,22.71,21.05,19.61,18.55,17.06,15.96,15.04,14.27,12.69,10.85,10.16,9.35,7.81,6.88,5.79,5.20,4.13,3.42,2.65,1.50,0.00,1.20,2.26,3.61
S22,23.91,22.24,20.81,19.74,18.25,17.15,16.24,15.46,13.89,12.04,11.36,10.54,9.01,8.08,6.99,6.40,5.33,4.62,3.84,2.70,1.20,0.00,1.07,2.42
S23,24.97,23.31,21.87,20.81,19.32,18.22,17.31,16.53,14.95,13.11,12.42,11.61,10.07,9.15,8.06,7.47,6.39,5.69,4.91,3.77,2.26,1.07,0.00,1.35
S24,26.33,24.66,23.23,22.16,20.67,19.57,18.66,17.88,16.31,14.46,13.78,12.96,11.43,10.50,9.41,8.82,7.75,7.04,6.26,5.12,3.61,2.42,1.35,0.00
