,201,202,203,204,205,206,207,208,209,210
201,0.00,11.23,16.35,18.83,21.56,28.04,32.74,37.14,43.45,52.34
202,11.23,0.00,5.13,7.61,10.33,16.81,21.51,25.92,32.23,41.11
203,16.35,5.13,0.00,2.48,5.21,11.69,16.39,20.79,27.10,35.99
204,18.83,7.61,2.48,0.00,2.73,9.21,13.90,18.31,24.62,33.51
205,21.56,10.33,5.21,2.73,0.00,6.48,11.18,15.58,21.90,30.78
206,28.04,16.81,11.69,9.21,6.48,0.00,4.70,9.10,15.41,24.30
207,32.74,21.51,16.39,13.90,11.18,4.70,0.00,4.40,10.72,19.60
208,37.14,25.92,20.79,18.31,15.58,9.10,4.40,0.00,6.31,15.20
209,43.45,32.23,27.10,24.62,21.90,15.41,10.72,6.31,0.00,8.89
210,52.34,41.11,35.99,33.51,30.78,24.30,19.60,15.20,8.89,0.00
