,201,202,203,204,205,206,207,208,209,210
201,0.00,9.57,16.75,19.14,23.93,31.10,35.89,40.68,45.46,52.64
202,9.57,0.00,7.18,9.57,14.36,21.53,26.32,31.10,35.89,43.07
203,16.75,7.18,0.00,2.39,7.18,14.36,19.14,23.93,28.71,35.89
204,19.14,9.57,2.39,0.00,4.79,11.96,16.75,21.53,26.32,33.50
205,23.93,14.36,7.18,4.79,0.00,7.18,11.96,16.75,21.53,28.71
206,31.10,21.53,14.36,11.96,7.18,0.00,4.79,9.57,14.36,21.53
207,35.89,26.32,19.14,16.75,11.96,4.79,0.00,4.79,9.57,16.75
208,40.68,31.10,23.93,21.53,16.75,9.57,4.79,0.00,4.79,11.96
209,45.46,35.89,28.71,26.32,21.53,14.36,9.57,4.79,0.00,7.18
210,52.64,43.07,35.89,33.50,28.71,21.53,16.75,11.96,7.18,0.00
