,201,202,203,204,205,206,207,208,209,210
201,0.00,14.46,23.50,28.97,32.79,42.77,47.11,50.88,58.43,68.61
202,14.46,0.00,9.04,14.51,18.33,28.31,32.65,36.42,43.97,54.15
203,23.50,9.04,0.00,5.48,9.30,19.27,23.61,27.38,34.94,45.12
204,28.97,14.51,5.48,0.00,3.82,13.79,18.14,21.91,29.46,39.64
205,32.79,18.33,9.30,3.82,0.00,9.97,14.32,18.09,25.64,35.82
206,42.77,28.31,19.27,13.79,9.97,0.00,4.35,8.11,15.67,25.85
207,47.11,32.65,23.61,18.14,14.32,4.35,0.00,3.77,11.32,21.50
208,50.88,36.42,27.38,21.91,18.09,8.11,3.77,0.00,7.56,17.73
209,58.43,43.97,34.94,29.46,25.64,15.67,11.32,7.56,0.00,10.18
210,68.61,54.15,45.12,39.64,35.82,25.85,21.50,17.73,10.18,0.00
