,201,202,203,204,205,206,207,208,209,210
201,0.00,7.42,12.44,14.87,17.53,22.84,25.67,28.32,32.13,37.50
202,7.42,0.00,5.02,7.44,10.11,15.41,18.24,20.89,24.71,30.07
203,12.44,5.02,0.00,2.43,5.09,10.40,13.23,15.88,19.69,25.06
204,14.87,7.44,2.43,0.00,2.67,7.97,10.80,13.45,17.27,22.63
205,17.53,10.11,5.09,2.67,0.00,5.30,8.13,10.78,14.60,19.96
206,22.84,15.41,10.40,7.97,5.30,0.00,2.83,5.48,9.29,14.66
207,25.67,18.24,13.23,10.80,8.13,2.83,0.00,2.65,6.46,11.83
208,28.32,20.89,15.88,13.45,10.78,5.48,2.65,0.00,3.81,9.18
209,32.13,24.71,19.69,17.27,14.60,9.29,6.46,3.81,0.00,5.36
210,37.50,30.07,25.06,22.63,19.96,14.66,11.83,9.18,5.36,0.00
