,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
S01,0.00,3.72,7.06,9.79,13.22,16.01,18.49,20.76,24.33,28.34,30.45,32.77,36.28,38.78,41.55,43.51,46.25,48.39,50.65,53.51,56.97,59.91,62.65,65.85
S02,3.72,0.00,3.34,6.08,9.51,12.30,14.78,17.04,20.61,24.62,26.73,29.05,32.56,35.06,37.84,39.79,42.53,44.68,46.94,49.79,53.25,56.20,58.93,62.14
S03,7.06,3.34,0.00,2.73,6.16,8.95,11.43,13.70,17.27,21.28,23.39,25.71,29.21,31.72,34.49,36.45,39.19,41.33,43.59,46.45,49.91,52.85,55.59,58.79
S04,9.79,6.08,2.73,0.00,3.43,6.22,8.70,10.96,14.53,18.54,20.65,22.98,26.48,28.99,31.76,33.71,36.46,38.60,40.86,43.72,47.17,50.12,52.86,56.06
S05,13.22,9.51,6.16,3.43,0.00,2.79,5.27,7.53,11.10,15.11,17.22,19.55,23.05,25.56,28.33,30.28,33.03,35.17,37.43,40.29,43.74,46.69,49.42,52.63
S06,16.01,12.30,8.95,6.22,2.79,0.00,2.48,4.74,8.31,12.32,14.43,16.76,20.26,22.76,25.54,27.49,30.24,32.38,34.64,37.50,40.95,43.90,46.63,49.84
S07,18.49,14.78,11.43,8.70,5.27,2.48,0.00,2.26,5.83,9.84,11.95,14.28,17.78,20.29,23.06,25.01,27.76,29.90,32.16,35.02,38.47,41.42,44.16,47.36
S08,20.76,17.04,13.70,10.96,7.53,4.74,2.26,0.00,3.57,7.58,9.69,12.01,15.52,18.02,20.80,22.75,25.49,27.64,29.90,32.76,36.21,39.16,41.89,45.10
S09,24.33,20.61,17.27,14.53,11.10,8.31,5.83,3.57,0.00,4.01,6.12,8.44,11.95,14.45,17.23,19.18,21.92,24.07,26.33,29.19,32.64,35.59,38.32,41.53
S10,28.34,24.62,21.28,18.54,15.11,12.32,9.84,7.58,4.01,0.00,2.11,4.43,7.94,10.44,13.21,15.17,17.91,20.06,22.32,25.17,28.63,31.58,34.31,37.52
S11,30.45,26.73,23.39,20.65,17.22,14.43,11.95,9.69,6.12,2.11,0.00,2.32,5.83,8.33,11.10,13.06,15.80,17.95,20.21,23.06,26.52,29.47,32.20,35.41
S12,32.77,29.05,25.71,22.98,19.55,16.76,14.28,12.01,8.44,4.43,2.32,0.00,3.51,6.01,8.78,10.74,13.48,15.62,17.88,20.74,24.20,27.14,29.88,33.08
S13,36.28,32.56,29.21,26.48,23.05,20.26,17.78,15.52,11.95,7.94,5.83,3.51,0.00,2.50,5.28,7.23,9.97,12.12,14.38,17.24,20.69,23.64,26.37,29.58
S14,38.78,35.06,31.72,28.99,25.56,22.76,20.29,18.02,14.45,10.44,8.33,6.01,2.50,0.00,2.77,4.73,7.47,9.62,11.88,14.73,18.19,21.14,23.87,27.07
S15,41.55,37.84,34.49,31.76,28.33,25.54,23.06,20.80,17.23,13.21,11.10,8.78,5.28,2.77,0.00,1.95,4.70,6.84,9.10,11.96,15.41,18.36,21.10,24.30
S16,43.51,39.79,36.45,33.71,30.28,27.49,25.01,22.75,19.18,15.17,13.06,10.74,7.23,4.73,1.95,0.00,2.74,4.89,7.15,10.01,13.46,16.41,19.14,22.35
S17,46.25,42.53,39.19,36.46,33.03,30.24,27.76,25.49,21.92,17.91,15.80,13.48,9.97,7.47,4.70,2.74,0.00,2.14,4.40,7.26,10.72,13.67,16.40,19.60
S18,48.39,44.68,41.33,38.60,35.17,32.38,29.90,27.64,24.07,20.06,17.95,15.62,12.12,9.62,6.84,4.89,2.14,0.00,2.26,5.12,8.57,11.52,14.25,17.46
S19,50.65,46.94,43.59,40.86,37.43,34.64,32.16,29.90,26.33,22.32,20.21,17.88,14.38,11.88,9.10,7.15,4.40,2.26,0.00,2.86,6.31,9.26,11.99,15.20
S20,53.51,49.79,46.45,43.72,40.29,37.50,35.02,32.76,29.19,25.17,23.06,20.74,17.24,14.73,11.96,10.01,7.26,5.12,2.86,0.00,3.45,6.40,9.14,12.34
S21,56.97,53.25,49.91,47.17,43.74,40.95,38.47,36.21,32.64,28.63,26.52,24.20,20.69,18.19,15.41,13.46,10.72,8.57,6.31,3.45,0.00,2.95,5.68,8.89
S22,59.91,56.20,52.85,50.12,46.69,43.90,41.42,39.16,35.59,31.58,29.47,27.14,23.64,21.14,18.36,16.41,13.67,11.52,9.26,6.40,2.95,0.00,2.73,5.94
S23,62.65,58.93,55.59,52.86,49.42,46.63,44.16,41.89,38.32,34.31,32.20,29.88,26.37,23.87,21.10,19.14,16.40,14.25,11.99,9.14,5.68,2.73,0.00,3.20
S24,65.85,62.14,58.79,56.06,52.63,49.84,47.36,45.10,41.53,37.52,35.41,33.08,29.58,27.07,24.30,22.35,19.60,17.46,15.20,12.34,8.89,5.94,3.20,0.00
