AggAreaCode,AggAreaName,IsLRT_Corridor,scenario,g_pop,g_emp,O_2022,O_target,D_2022,D_target
15,Kiryat Nahum,-1,HS_2040,,1.289,1115.491,2672.099,6593.623,8019.38
16,Kiryat Ata Center,1,HS_2040,1.784,1.879,10778.791,19232.467,8908.239,15799.186
17,Kiryat Bialik South,1,HS_2040,1.209,1.425,4617.996,5583.82,5957.878,8010.14
18,Kiryat Ata East,-1,HS_2040,2.009,1.602,4967.624,9980.269,2041.225,3086.799
19,Shefaram,1,HS_2040,1.085,1.487,7911.207,8585.364,6243.493,8759.693
23,Nazareth Area,1,HS_2040,1.447,1.596,28711.903,41546.874,29420.546,44312.594
24,Kiryat Yam,0,HS_2040,1.606,2.141,38520.789,61872.705,33525.898,67730.55
25,Kiryat Motzkin-Bialik,0,HS_2040,1.256,1.389,75423.162,94724.616,63862.882,83688.449
26,Haifa Airport,0,HS_2040,,1.069,1296.751,1386.239,3604.254,3636.146
27,Nesher Lower,0,HS_2040,1.482,1.168,4224.283,6258.624,8390.328,9244.805
28,Kiryat Ata South,0,HS_2040,1.317,1.424,33207.792,43718.183,30232.824,40631.496
1,TiratCarmel,1,HS_2050,1.394,1.515,23097.56,32199.897,18308.933,25820.469
2,Matam,1,HS_2050,,1.271,1507.336,7988.92,5576.189,6598.243
3,Neot Peres,1,HS_2050,3.275,1.891,1032.587,3382.003,3178.999,5597.469
4,Neve David,1,HS_2050,1.21,1.294,4239.78,5128.2,3640.843,4385.08
5,Ein Hayam,1,HS_2050,1.29,1.439,5344.604,6892.775,3719.846,4981.92
6,Bat Galim,1,HS_2050,1.877,1.414,5448.299,10228.288,9360.049,12321.342
7,Kiryat Eliezer,1,HS_2050,1.673,1.918,5571.345,9321.565,4812.513,8594.876
8,Hamoshava,1,HS_2050,1.38,1.406,3635.418,5017.792,3319.533,4345.411
9,Lower City,1,HS_2050,2.084,1.189,3730.586,7773.211,7261.33,8038.243
10,Hadar Carmel,1,HS_2050,1.66,1.777,5677.077,9425.777,6845.927,11323.57
11,Namal,1,HS_2050,,1.163,1274.251,1482.22,2925.37,3168.08
12,Neve Yosef,1,HS_2050,1.3,1.615,1260.834,1638.681,961.584,1446.169
13,Hamifrats,1,HS_2050,,1.408,2324.157,3276.005,4445.065,5828.65
14,Hutzot,1,HS_2050,,1.154,1435.535,1657.127,3217.784,3458.251
15,Kiryat Nahum,-1,HS_2050,,1.418,1115.491,3842.538,6593.623,8706.752
16,Kiryat Ata Center,1,HS_2050,2.785,3.052,10778.791,30023.712,8908.239,25313.06
17,Kiryat Bialik South,1,HS_2050,1.278,1.591,4617.996,5903.862,5957.878,8824.306
18,Kiryat Ata East,-1,HS_2050,2.389,1.909,4967.624,11869.445,2041.225,3628.023
19,Shefaram,1,HS_2050,1.545,2.522,7911.207,12222.637,6243.493,14657.691
23,Nazareth Area,1,HS_2050,1.658,1.931,28711.903,47617.098,29420.546,52881.837
24,Kiryat Yam,0,HS_2050,1.815,2.424,38520.789,69904.138,33525.898,75669.427
25,Kiryat Motzkin-Bialik,0,HS_2050,1.35,1.552,75423.162,101845.74,63862.882,92279.626
26,Haifa Airport,0,HS_2050,,1.131,1296.751,1467.187,3604.254,3796.66
27,Nesher Lower,0,HS_2050,1.874,1.297,4224.283,7917.422,8390.328,10134.892
28,Kiryat Ata South,0,HS_2050,1.899,2.106,33207.792,63057.2,30232.824,59283.393
