TAZ,SZ,corridor,P_2022,P_year,E_2022,E_year,I_2022,I_year,J_2022,J_year,O_2022_car,O_year_car,origin basis,D_2022_car,D_year_car,destination basis,O_2022_transit,O_year_transit,D_2022_transit,D_year_transit,O_2022_taxi,O_year_taxi,D_2022_taxi,D_year_taxi
312,3,False,1217.7760,1164.0000,638.8463,607.0000,695.3360,664.1811,842.2427,802.0899,0.0000,0.0000,own rate (multiplicative),22.6969,20.9075,own rate (multiplicative),0.0416,0.0397,3.1053,2.9488,0.0000,0.0000,0.0000,0.0000
313,3,False,5469.9687,5814.0000,1100.4525,1235.0000,2904.5982,3095.3581,2342.6815,2543.2221,2733.5529,2913.0794,own rate (multiplicative),2207.5466,2318.0954,own rate (multiplicative),26.8775,28.6426,10.5644,11.4357,0.0000,0.0000,0.0000,0.0000
314,3,False,6761.4272,7190.0000,930.6494,1113.0000,3537.2649,3776.7239,2545.9725,2807.7953,7743.3958,8267.5933,own rate (multiplicative),5040.3577,5376.7948,own rate (multiplicative),160.8160,171.7027,144.6966,159.1174,0.0000,0.0000,0.0000,0.0000
315,3,False,8783.9693,9338.0000,2107.1176,2400.0000,4706.3835,5023.0052,4038.8077,4423.8104,537.7223,573.8975,own rate (multiplicative),835.4373,885.1310,own rate (multiplicative),3.5943,3.8361,0.0977,0.1067,0.0000,0.0000,0.0000,0.0000
316,3,False,4582.4242,4872.0000,604.6364,682.0000,2394.0862,2550.2152,1704.2367,1843.8138,957.5901,1020.0388,own rate (multiplicative),1063.5255,1112.9751,own rate (multiplicative),8.3016,8.8430,1.9537,2.1077,0.0000,0.0000,0.0000,0.0000
317,3,False,4856.1680,5128.0000,740.5515,827.0000,2549.4399,2697.7112,1887.3020,2029.5837,2412.2860,2552.5806,own rate (multiplicative),1947.1083,2025.3778,own rate (multiplicative),64.7797,68.5472,0.3907,0.4190,0.0000,0.0000,0.0000,0.0000
318,3,False,8118.3359,8627.0000,2055.4574,2417.0000,4363.0945,4665.2419,3820.7035,4249.6142,8500.8321,9089.5209,own rate (multiplicative),6359.7121,6842.1721,own rate (multiplicative),8.8125,9.4227,10.5935,11.7488,0.0000,0.0000,0.0000,0.0000
319,3,False,0.0000,0.0000,5741.0000,5741.0000,709.6850,709.6850,4674.5794,4674.5794,651.2907,651.2907,own rate (multiplicative),2275.2531,2200.7976,own rate (multiplicative),1.7058,1.7058,159.3737,158.9149,0.0000,0.0000,0.0000,0.0000
320,3,False,0.0000,0.0000,7024.0000,7024.0000,868.2856,868.2856,5719.2555,5719.2555,796.8419,796.8419,own rate (multiplicative),2783.7248,2692.6299,own rate (multiplicative),13.2089,13.2089,347.6818,346.6808,0.0000,0.0000,0.0000,0.0000
321,3,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,superzone rate on the increment,0.0000,0.0000,superzone rate on the increment,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
322,3,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,superzone rate on the increment,0.0000,0.0000,superzone rate on the increment,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
