home_gs,sampled_persons_1,weighted_persons_1,weighted_trips_1,rate_1,sampled_persons_2,weighted_persons_2,weighted_trips_2,rate_2,rate_avg
10,4550,516095,459924,0.891161,4469,507857,452257,0.890519,0.89084
21,366,55564.6,42122.8,0.758087,358,54041.7,41217.8,0.762703,0.760395
22,417,79605.3,64040.1,0.80447,415,79028.1,59274.7,0.750046,0.777258
23,1027,120680,74803.3,0.619849,1026,120646,77102,0.639076,0.629463
24,988,70164.2,61942.2,0.882817,982,69560.3,61687.6,0.886821,0.884819
25,302,45577.6,46269,1.01517,303,45794,45798.1,1.00009,1.00763
26,296,32021.6,24323.1,0.759583,289,31407.3,25001.7,0.796046,0.777815
27,139,29399.8,24958,0.848916,136,28895.6,23861.5,0.825784,0.83735
31,548,81020.1,67607,0.834448,548,81365.9,73537.9,0.903792,0.86912
32,438,71344.6,49028.2,0.687203,433,70852.6,52184.7,0.736525,0.711864
33,412,66922.3,56344.1,0.841933,403,64567.1,54470.8,0.843631,0.842782
34,340,70462.7,49072.2,0.696428,339,70112.7,50176.7,0.715658,0.706043
35,1272,262989,154609,0.587893,1268,262124,168037,0.64106,0.614476
36,482,103401,83707.6,0.80954,475,101511,79064.5,0.778876,0.794208
37,1,89.9044,89.9044,1,1,89.9044,89.9044,1,1
38,124,37925.3,37272.3,0.982784,123,37421.1,41728.4,1.1151,1.04894
41,527,88492.7,79502.1,0.898403,519,87271.2,69968.1,0.801732,0.850068
42,263,62461.4,50248,0.804466,255,60958.7,49886.5,0.818366,0.811416
43,273,64704.2,69043.4,1.06706,274,64878.2,63688.8,0.981668,1.02436
44,236,52690.2,40215.7,0.763248,234,51518.6,39319.2,0.763204,0.763226
45,778,129864,112671,0.867613,774,128940,109377,0.84828,0.857947
46,139,31228.3,32497.3,1.04064,134,29980.6,32461.3,1.08274,1.06169
47,584,103901,96809.2,0.931744,578,102298,87055.3,0.850999,0.891372
48,546,174807,123074,0.704059,546,174807,117706,0.673351,0.688705
49,827,249257,263184,1.05587,808,243888,251078,1.02948,1.04268
