home_2636,sampled_persons_1,weighted_persons_1,weighted_trips_1,rate_1,sampled_persons_2,weighted_persons_2,weighted_trips_2,rate_2,rate_avg
1736,10,2732.12,599.695,0.219498,10,2732.12,249.695,0.0913925,0.155445
1738,3,596.01,719.015,1.20638,3,596.01,492.02,0.825523,1.01595
1739,9,2843.63,1679.84,0.590738,9,2843.63,2029.84,0.71382,0.652279
1742,23,4616.72,7731.74,1.67472,20,4186.52,5666.66,1.35355,1.51414
1751,42,2774.51,2196,0.791491,38,2587.2,1637.38,0.632875,0.712183
1752,37,3710.94,3197.98,0.861771,37,3704.73,2330.75,0.629128,0.745449
1753,39,6930.64,10538.9,1.52062,36,6859.04,6371.3,0.928892,1.22476
1754,6,1280.04,1050,0.820286,5,1123.11,1183.09,1.0534,0.936845
1757,24,8217.54,5950,0.724061,24,8217.54,4900,0.596286,0.660174
1760,14,1366.37,1309.82,0.958615,13,1324.31,1308.01,0.987691,0.973153
1763,1,347.843,1391.37,4,3,392.568,755.136,1.92358,2.96179
1764,17,5564.17,8049.98,1.44675,17,5564.17,7174.99,1.2895,1.36813
1765,20,5280.92,3017.77,0.571447,23,5776.14,5039.58,0.872483,0.721965
1766,13,3420.61,4144.73,1.21169,13,3420.61,3962.18,1.15833,1.18501
1767,24,6300.27,4358.24,0.691754,24,6300.27,5974.55,0.948301,0.820028
1768,12,3262.07,1638.31,0.502231,12,3262.07,1288.31,0.394937,0.448584
1775,16,1489.71,1201.35,0.806437,17,1574.02,1464.04,0.930126,0.868281
1776,54,4814.44,6138.82,1.27509,52,4733.6,7245.08,1.53056,1.40282
1777,52,4861.73,4185.71,0.860952,53,5326.32,4571.97,0.858374,0.859663
1778,28,4264.31,3219.09,0.754891,29,4467.72,3252.3,0.727953,0.741422
1779,64,3743.27,3059.93,0.817449,63,3681.99,2513.99,0.682779,0.750114
1780,25,4309.48,2809.26,0.651878,24,4228.54,4260.63,1.00759,0.829733
1781,26,4356.97,2220.6,0.509667,27,4418.25,3697.62,0.836896,0.673282
1782,50,2639.74,3695.42,1.39992,49,2575.59,2739.41,1.06361,1.23176
1783,42,5973.05,5107.07,0.855018,42,6056.93,4853.54,0.80132,0.828169
1784,83,8804.17,8086.75,0.918514,84,8741.27,8162.36,0.933772,0.926143
1785,23,4422.85,2748.83,0.621506,22,4238.82,2471.46,0.583054,0.60228
1786,14,3521.64,1726.9,0.490368,13,3304.09,1640.49,0.496504,0.493436
1787,16,3227.25,1357.33,0.420585,15,2877.25,1004.89,0.349253,0.384919
1788,24,4686.86,4013.23,0.856273,23,4445.9,3648.89,0.820733,0.838503
1789,24,4628.52,4100.21,0.885858,23,4544.2,3523.64,0.775415,0.830637
1790,49,6497.37,3847.72,0.592197,49,6650.59,4811.99,0.723543,0.65787
1791,8,1932.46,1513.37,0.783134,8,1932.46,1188.02,0.614774,0.698954
1792,23,3651.3,2168.96,0.594024,20,3357.69,2315.5,0.689612,0.641818
1794,38,6139.9,4512.49,0.734945,39,6488.03,4537.43,0.699354,0.717149
1795,31,5018.89,3520.69,0.701487,31,4978.92,3622,0.727466,0.714477
1796,31,5797.08,5659.68,0.976299,32,5888.7,6017.02,1.02179,0.999044
1797,3,1050,1050,1,3,1050,1750,1.66667,1.33333
1798,70,13789.4,10724.5,0.777741,71,14141.9,12577.1,0.889347,0.833544
1799,94,12035.1,12190.2,1.01288,92,11514.8,10358.4,0.899571,0.956227
1802,24,4010.3,2928.49,0.730241,21,3386.25,2519.94,0.744166,0.737204
1803,39,5339.99,6772.19,1.2682,39,5339.99,6020.47,1.12743,1.19782
1804,26,4414.59,3234.56,0.732699,23,4154.21,3204.55,0.771398,0.752048
1805,135,18320,15929.5,0.869514,125,16615.9,13629.7,0.820283,0.844899
1806,33,5444.51,4709.32,0.864968,31,5153.17,5270.51,1.02277,0.943869
1808,23,3665.98,2668.87,0.728011,21,3421.53,4369.94,1.27719,1.0026
1809,1,262.489,0,0,1,262.489,0,0,0
1810,4,449.339,449.339,1,4,449.339,449.339,1,1
1811,10,686.097,785.459,1.14482,10,686.097,442.834,0.645439,0.89513
1820,50,3938.54,2939.41,0.746319,50,4215.18,3513.55,0.833546,0.789932
1821,35,4513.15,3308.44,0.733066,35,4279.04,2962.52,0.692332,0.712699
1822,24,3723.66,5139.48,1.38022,24,3433.05,4430.12,1.29043,1.33533
1824,4,382.137,286.603,0.75,4,382.137,573.206,1.5,1.125
1825,47,8725.2,7857.65,0.90057,47,8725.2,8440.86,0.967412,0.933991
1830,1,128.387,0,0,,,,,0
1833,15,4635.11,7170.21,1.54694,15,4635.11,6188.59,1.33516,1.44105
1834,33,4717.92,2582.93,0.547472,33,4717.92,2538.22,0.537995,0.542733
1835,56,9274.36,9208.67,0.992917,54,9157.31,9807.39,1.07099,1.03195
1836,20,4809.54,5387.38,1.12015,20,4979.73,4304.63,0.86443,0.992288
1837,14,3841.08,4299.31,1.1193,13,3720.66,4029.66,1.08305,1.10117
1838,27,5171.3,8306.65,1.6063,26,4921.62,6305.94,1.28127,1.44379
1842,38,6835.73,7923.65,1.15915,38,6913.61,7005.67,1.01332,1.08623
1845,32,9664.73,9595.45,0.992832,31,9427.31,9058.18,0.960845,0.976839
1847,75,9327.05,6842.19,0.733586,74,9176.71,7761.55,0.845788,0.789687
1848,35,3552.91,2935.33,0.826177,35,3604.77,2501.51,0.693945,0.760061
1849,33,4038.96,2847.04,0.704894,30,3720.98,2927.59,0.786779,0.745836
1850,87,5730.01,4185.54,0.73046,85,5554.52,4381.52,0.788822,0.759641
1851,50,3931.1,2737.1,0.696268,49,3908.82,3003.65,0.768429,0.732348
1852,16,5441.55,4775.86,0.877665,16,5441.55,4425.86,0.813345,0.845505
1853,12,4200,4550,1.08333,12,4200,4200,1,1.04167
1855,10,3324.99,4900,1.47369,10,3324.99,3849.98,1.15789,1.31579
1858,58,10884.5,4794.23,0.440464,57,10713.7,5389.51,0.503048,0.471756
1860,1,96.0577,0,0,,,,,0
1861,14,4502.15,4417.38,0.981172,14,4502.15,4417.38,0.981172,0.981172
1862,7,2052.15,1050,0.511658,7,2052.15,1569.54,0.764825,0.638241
1863,17,5925.31,3834.08,0.647068,17,5925.31,4182.46,0.705864,0.676466
1865,19,4266.77,3516.46,0.82415,20,4462.59,4427.88,0.992222,0.908186
1866,6,1662.1,1321.51,0.795085,7,2012.1,3695.6,1.83669,1.31589
1867,39,12137.2,14956.8,1.23231,36,11219,17387.2,1.5498,1.39106
1868,22,7379.59,8176.13,1.10794,22,7247.8,6048.33,0.834506,0.971222
1871,9,3090.92,4136.46,1.33826,9,3090.92,2406.52,0.778579,1.05842
1872,14,4630.52,3150,0.680269,14,4630.52,6380.52,1.37793,1.0291
1873,49,8472.2,8531.02,1.00694,49,8349.5,9137.32,1.09436,1.05065
1874,21,3069.5,3714.66,1.21018,20,2956.9,4322.58,1.46186,1.33602
1875,10,2597.19,1913.87,0.736902,10,2597.19,2749.04,1.05847,0.897684
1876,18,4357.73,3106.05,0.712768,18,4357.73,3044.73,0.698696,0.705732
1877,28,3943.86,3881.85,0.984277,28,3943.86,3713.4,0.941564,0.962921
1879,574,8907.83,10957,1.23004,573,8868.85,10676.9,1.20387,1.21696
1881,42,5356.08,4857.26,0.906869,40,5202.93,4784.11,0.919503,0.913186
1882,60,5752.77,4225.77,0.734562,60,5752.77,4723.21,0.821032,0.777797
1887,112,7318.75,6407.92,0.875549,114,7731.15,6189.18,0.800551,0.83805
1888,16,4227.71,4073,0.963407,16,4227.71,3578.33,0.8464,0.904904
1889,5,1726.1,350,0.20277,5,1726.1,1394.24,0.807743,0.505256
1890,19,6206.15,6259.85,1.00865,19,6206.15,7094.67,1.14317,1.07591
1891,17,4020.97,7483.82,1.8612,17,4020.97,5764.88,1.4337,1.64745
1892,58,13557.5,11274.8,0.831631,57,13210.6,11112,0.841143,0.836387
1894,35,2478.48,2050.4,0.827283,36,2498.84,2684.25,1.0742,0.950741
1895,85,13090.4,6052.75,0.46238,81,12613.1,6370.01,0.50503,0.483705
1896,92,6501.64,7990.48,1.22899,92,6588.63,6770.74,1.02764,1.12832
1897,13,3683.17,5717.78,1.5524,13,3683.17,2512.56,0.682171,1.11729
1898,163,14306.7,9231.78,0.645276,163,14306.7,9005.05,0.629429,0.637352
1899,15,2472.28,2227.61,0.901035,15,2472.28,2261.45,0.914724,0.90788
1901,28,4050.1,4142.25,1.02275,28,4050.1,4257.74,1.05127,1.03701
1902,49,10861,12313.3,1.13372,48,10728.4,12361.2,1.15219,1.14296
1904,24,4008.15,3509.41,0.875567,24,4008.15,4408.3,1.09983,0.9877
1905,74,9902.1,8735.47,0.882184,73,9857.16,6918.33,0.701858,0.792021
1906,37,5490,4082.25,0.743578,38,5621.48,3615.01,0.643072,0.693325
1907,19,4010.85,4197.85,1.04662,19,4010.85,3739.92,0.93245,0.989537
1908,16,3513.97,2836.88,0.807314,16,3513.97,2410.95,0.686103,0.746709
1910,23,8050,700,0.0869565,23,8050,3150,0.391304,0.23913
1911,24,8400,4200,0.5,24,8400,4550,0.541667,0.520833
1912,17,5950,700,0.117647,17,5950,4200,0.705882,0.411765
1913,65,16771.7,7305.8,0.435602,64,16741.6,6902.68,0.412306,0.423954
1914,21,7350,2450,0.333333,21,7350,4200,0.571429,0.452381
1916,36,12179.9,7629.88,0.626433,36,12179.9,6989.89,0.573889,0.600161
1917,22,7700,1750,0.227273,22,7700,5950,0.772727,0.5
1918,35,10983.4,1050,0.0955989,35,10983.4,4544.49,0.41376,0.25468
1920,23,4418.55,531.222,0.120225,23,4418.55,4256.32,0.963284,0.541754
1921,12,4200,700,0.166667,12,4200,1400,0.333333,0.25
1922,14,4115.62,2977.08,0.723361,14,4115.62,2977.08,0.723361,0.723361
1923,27,9450,7000,0.740741,25,8750,5950,0.68,0.71037
1924,21,7350,3500,0.47619,21,7350,2100,0.285714,0.380952
1925,5,1750,1400,0.8,5,1750,1400,0.8,0.8
1926,17,3035.87,3417.51,1.12571,17,3035.87,3224.66,1.06219,1.09395
1927,23,5590.93,3980.96,0.712038,23,5590.93,4680.96,0.837241,0.77464
1928,26,6167.96,3686.47,0.597681,27,6464.68,5753.29,0.889958,0.74382
1929,20,4419.25,2841.55,0.642992,23,4594.34,3039.77,0.661634,0.652313
1930,25,7268.8,3690.9,0.507773,21,5868.8,4227.75,0.720377,0.614075
1931,20,4976.21,6621.18,1.33056,23,6026.21,3890.03,0.645517,0.988041
1932,13,4504.2,3081.3,0.684094,11,3804.2,3431.3,0.901976,0.793035
1933,19,4514.11,3175.35,0.703429,18,4322.53,2508.67,0.58037,0.641899
1935,16,2069.31,1435.68,0.693795,12,1694.83,968.775,0.571607,0.632701
1937,14,4900,3850,0.785714,14,4900,3500,0.714286,0.75
1938,9,3150,1750,0.555556,9,3150,700,0.222222,0.388889
1941,1,350,0,0,1,350,350,1,0.5
1942,11,2803.96,1929.62,0.688177,10,2453.96,1929.62,0.786329,0.737253
1943,8,2800,1400,0.5,9,3150,1050,0.333333,0.416667
1944,13,4550,2800,0.615385,13,4550,2800,0.615385,0.615385
1945,19,6432.13,6082.13,0.945586,18,6082.13,2582.13,0.424544,0.685065
1947,47,14276.4,8933.08,0.625723,46,13926.4,14615.7,1.0495,0.83761
1948,32,10283.9,9745.99,0.94769,32,10283.9,9376.61,0.911773,0.929731
1949,111,30062.1,19007.3,0.632268,112,30274.8,19144.6,0.632362,0.632315
1950,43,8620.41,4959.64,0.575337,43,8620.41,4959.64,0.575337,0.575337
1951,13,4468.56,3446.31,0.771235,13,4468.56,4495.4,1.00601,0.888621
1952,21,6780.44,1747.98,0.257798,21,6780.44,2709.96,0.399674,0.328736
1953,61,4003.63,2141.18,0.534809,61,4003.63,2361.33,0.589796,0.562303
1954,27,4520.24,3543.59,0.783939,27,4538.89,3331.17,0.733917,0.758928
1955,5,123.857,123.857,1,5,123.857,123.857,1,1
1956,44,6562.51,4603.93,0.701551,44,6562.51,4702.9,0.716631,0.709091
1957,59,9459.23,6327.28,0.6689,59,9440.58,5928.39,0.627969,0.648434
1959,84,6546.65,4249.53,0.649115,86,6726.91,5064.2,0.752828,0.700971
1961,24,3476.93,778.091,0.223787,22,3249.18,2117.02,0.651556,0.437671
1962,42,5133.71,1837.66,0.35796,42,5181.2,3306.23,0.63812,0.49804
1963,180,8420.23,4441.16,0.527439,179,8336.59,4322.48,0.518494,0.522967
1964,76,6245.58,3981.37,0.63747,76,6295.24,4192.56,0.665989,0.651729
1965,157,7515.03,5224.02,0.695143,157,7515.03,4907.04,0.652963,0.674053
1966,26,6376.05,4416.95,0.69274,27,6519.51,4416.95,0.677497,0.685119
1967,44,7217.28,4515.83,0.625696,44,7217.28,4597.45,0.637005,0.63135
1968,18,4363.36,3619.13,0.829436,18,4363.36,3271.89,0.749855,0.789646
1969,13,3242.65,3256.52,1.00428,12,3009.25,2373.62,0.788773,0.896526
1970,90,17603.6,11589.3,0.65835,90,17693.5,9919.9,0.560652,0.609501
1975,17,2278.16,1736.65,0.762305,16,2187.55,1398.08,0.639109,0.700707
1977,17,1018.64,2013.31,1.97647,17,1125.08,1211.4,1.07672,1.52659
1981,37,5387.96,3417.25,0.634237,34,4559.16,2704.36,0.593172,0.613704
1982,19,3160.07,1459.2,0.461763,18,2884.87,1998.48,0.692744,0.577254
1983,34,4212.09,2525.43,0.599566,33,3984.84,2269.01,0.569411,0.584488
1984,16,3044.21,1593.66,0.523505,17,3173.88,3138.26,0.988778,0.756141
1985,25,6680.22,3699.56,0.553808,23,6387.02,2870.02,0.449353,0.50158
1986,2,402.096,402.096,1,3,686.937,402.096,0.585346,0.792673
1987,12,4040.05,3300.06,0.816837,12,4040.05,3650.06,0.90347,0.860153
1988,2,569.683,0,0,1,284.841,0,0,0
1992,72,7172.15,5720.12,0.797547,72,7172.15,5573.98,0.77717,0.787358
1993,57,8353.06,5843.46,0.699559,57,8353.06,5039.1,0.603263,0.651411
1994,42,6047.95,8118.91,1.34242,40,5899.85,9164.55,1.55335,1.44789
1995,46,7327.93,6379.55,0.87058,47,7552.32,6518.76,0.863146,0.866863
1996,79,8808.65,7392.37,0.839217,80,8918.97,7988.38,0.895661,0.867439
1997,20,4819.02,4041.19,0.838591,20,4819.02,4330.09,0.898541,0.868566
1998,20,4448.22,3095.15,0.695816,23,5169.03,3378.29,0.653564,0.67469
1999,60,11795.4,9740.69,0.825806,59,11596.8,10542.7,0.9091,0.867453
2001,5,775.268,775.268,1,5,775.268,1105.24,1.42562,1.21281
2004,19,5161.54,4306.61,0.834365,20,5355.47,5782.51,1.07974,0.957051
2008,36,3169.41,1721.71,0.543226,36,3169.41,1668.77,0.526523,0.534874
2009,34,9151.01,8184.37,0.894368,34,9151.01,8033.87,0.877922,0.886145
2010,36,3873.97,4015.36,1.0365,35,3577.15,3301.46,0.922931,0.979714
2012,16,5069.68,3502.77,0.690926,16,5069.68,4356.79,0.859383,0.775155
2014,25,4061.58,1671.34,0.411499,24,3714.71,2018.21,0.5433,0.4774
