TAZ_2636,TAZ_1250,SZ,GS,trips_per_person,population
2016,100898,2,22,0.558,7236
2017,100898,2,22,0.854,10373
2018,100899,2,22,0.667,2100
2019,100899,2,22,0.373,1376
2020,100900,2,22,0.597,5828
2021,100900,2,22,0.815,4984
2023,100901,2,22,0.797,6474
2024,100901,2,22,0.745,6546
2027,100903,2,22,0.558,5267
2028,100903,2,22,1.049,6712
2029,100903,2,22,0.858,7840
2031,100904,2,22,0.835,7951
2032,100904,2,22,0.896,6628
2033,100905,34,41,0.655,6657
2036,100908,34,41,0.557,8156
2038,100910,34,41,1.227,5818
2040,100910,34,41,1.124,7192
2041,100911,34,41,1.184,5682
2042,100911,34,41,0.933,1673
2043,100912,34,41,0.335,634
2045,100914,34,41,0.84,3821
2046,100915,34,41,0.809,8344
2047,100916,34,41,0.489,6363
2048,100917,36,47,0.57,1984
2049,100918,34,41,0.969,4954
2050,100918,34,41,0.995,4287
2051,100918,34,41,0.799,3185
2052,100919,34,42,0.686,1285
2053,100920,3,32,0.791,11432
2054,100921,3,32,0.683,7529
2055,100922,3,32,0.852,4765
2056,100922,3,32,0.847,2118
2057,100922,3,32,0.316,5701
2060,100924,3,32,0.078,1394
2061,100925,3,32,0.863,14849
2062,100925,3,32,0.578,11286
2065,100928,3,33,0.995,6517
2066,100929,3,32,0.84,6761
2067,100929,3,32,0.685,5263
2068,100930,3,33,1.082,5812
2070,100931,3,33,1.457,4359
2071,100931,3,33,0.4,139
2072,100931,3,33,0.926,3644
2073,100931,3,33,1.044,3135
2074,100932,3,33,0.296,4396
2075,100932,3,33,1.029,3071
2076,100932,3,33,0.923,6341
2077,100932,3,33,1.319,1500
2078,100933,3,33,1.3,1160
2079,100933,3,33,1.0,102
2080,100934,3,33,1.055,3581
2081,100934,3,33,0.643,1910
2085,100936,3,33,0.473,13367
2086,100931,3,33,0.31,671
2087,100937,3,33,0.625,900
2088,100938,10,35,0.724,13103
2089,100939,10,35,0.456,1034
2090,100940,10,35,0.531,8140
2091,100940,10,35,0.689,2813
2092,100941,10,35,1.004,1254
2093,100940,10,35,0.647,8805
2096,100944,19,35,0.739,15400
2098,100946,3,33,0.733,5138
2099,100947,30,34,0.979,6433
2100,100948,30,34,1.136,5043
2101,100948,30,34,0.457,3687
2102,100948,30,34,0.667,4200
2103,100948,30,34,0.378,2684
2104,100948,30,34,0.681,6961
2105,100947,30,34,0.726,4054
2106,100949,30,34,0.544,5622
2107,100949,30,34,0.623,9235
2108,100949,30,34,0.703,3028
2109,100949,30,34,0.669,6132
2110,100950,30,34,0.707,13208
2111,100951,35,45,1.012,2592
2112,100952,35,45,0.0,31
2113,100953,35,45,0.588,9921
2114,100953,35,45,0.533,4445
2115,100954,35,45,0.823,8071
2116,100952,35,45,0.6,5338
2117,100955,33,42,0.752,5775
2118,100956,33,42,1.167,2100
2119,100957,33,42,0.962,4025
2120,100957,33,42,0.833,1050
2121,100957,33,42,0.772,8953
2122,100965,33,42,1.091,11337
2123,100958,33,42,0.607,4900
2124,100959,33,42,0.724,5075
2126,100960,33,42,1.0,1050
2128,100962,33,42,0.532,3675
2130,100964,33,42,0.711,11784
2132,100964,33,42,0.5,700
2136,100969,32,43,0.829,9199
2138,100971,32,43,1.193,8572
2139,100971,32,43,0.797,7438
2140,100972,32,43,0.578,3457
2141,100972,32,43,1.435,4659
2144,100974,32,43,1.373,12175
2146,100974,32,43,1.028,4037
2147,100975,32,43,0.85,3495
2149,100976,32,43,0.862,11759
2152,100978,31,44,0.789,11747
2154,100979,31,44,0.475,16336
2155,100979,31,44,0.673,8115
2156,100980,31,44,2.0,106
2157,100981,31,44,1.147,6013
2158,100982,31,44,1.253,4225
2159,100983,31,44,0.874,5562
2161,100985,35,45,0.791,6274
2163,100987,19,35,0.714,2275
2164,100987,19,35,0.77,5180
2165,100987,19,35,0.938,5600
2166,100860,19,35,0.731,12705
2167,100988,35,45,1.243,5174
2168,100988,35,45,1.132,2145
2169,100992,35,45,0.791,8665
2170,100989,35,45,0.777,10713
2172,100990,35,45,0.788,9529
2173,100990,35,45,0.787,10248
2174,100991,35,45,0.647,162
2175,100992,35,45,0.895,3300
2176,100992,35,45,0.958,7663
2177,100989,35,45,0.617,4240
2178,100993,35,45,1.144,12360
2180,100994,35,45,1.401,2382
2182,100996,37,46,1.036,6193
2184,100996,37,46,1.027,4368
2185,100996,37,46,0.968,7465
2186,100996,37,46,1.262,5250
2188,100998,37,46,1.052,7330
2192,101001,36,47,0.509,10473
2194,101002,35,45,1.021,6563
2195,101002,35,45,0.899,9584
2197,101004,36,47,0.438,2800
2198,101005,36,47,0.808,10434
2199,101006,36,47,0.937,2073
2200,101007,36,47,0.498,5964
2201,101007,36,47,0.871,6500
2204,101009,36,47,0.5,45
2206,101011,21,36,0.253,469
2207,101012,36,47,1.375,8110
2208,101013,,,1.082,1330
2209,101014,36,47,1.441,5653
2210,101014,36,47,1.048,9111
2211,101014,36,47,1.065,3491
2214,101016,36,47,0.721,18144
2216,101017,22,37,1.0,90
2217,100817,22,25,0.712,2925
2218,101018,38,48,0.616,4442
2220,101020,38,48,1.125,2800
2221,101021,38,48,0.639,18911
2223,101022,38,48,0.635,8159
2224,101022,38,48,0.625,2800
2225,101023,38,48,0.667,2100
2226,101023,38,48,0.859,9111
2227,101024,38,48,0.896,5048
2228,101025,38,48,0.755,2858
2229,101025,38,48,0.455,3850
2231,101026,38,48,0.842,6650
2232,101026,38,48,0.733,15750
2233,101026,38,48,0.538,4550
2236,101030,38,49,0.952,12603
2240,101026,38,48,0.582,17299
2241,101029,38,48,0.455,3850
2242,101029,38,48,0.611,6300
2243,101029,38,48,0.526,6650
2245,101030,38,49,1.121,11550
2247,101031,38,48,0.748,13894
2248,101032,40,48,0.796,14548
2250,101032,40,48,0.687,24889
2251,101033,40,48,0.0,350
2253,101034,40,49,0.0,211
2259,101040,39,49,1.076,23360
2260,101041,39,49,1.114,14997
2261,101041,39,49,1.286,10325
2262,101042,39,49,0.931,3675
2264,101043,39,49,1.072,8440
2265,101044,39,49,0.904,11242
2266,101044,39,49,1.833,5906
2267,101044,39,49,1.375,2800
2270,101045,39,49,1.006,9382
2271,101046,39,49,0.75,7000
2272,101046,39,49,1.532,5882
2276,101048,39,49,0.938,2800
2279,101050,40,49,1.376,1965
2280,101051,40,49,1.2,1750
2282,101053,40,49,0.963,13068
2283,101053,40,49,1.298,4166
2284,101055,40,49,1.164,14968
2285,101054,40,49,1.364,6363
2286,101054,40,49,0.333,3139
2287,101054,40,49,0.81,18295
2288,101055,40,49,0.753,19394
2289,101056,40,49,1.194,13728
2290,101056,40,49,0.896,19563
2291,101057,15,10,0.86,3622
2292,101058,15,10,0.872,885
2293,101059,15,10,0.525,10424
2294,101059,15,10,0.856,3585
2295,101059,15,10,0.816,2018
2298,101062,23,27,1.009,1230
2299,101063,2,21,1.152,3193
2301,101064,2,21,0.477,4389
2302,101064,2,21,1.118,8115
2303,101064,2,21,0.717,6366
2304,101065,2,21,0.77,1661
2306,101066,2,21,1.075,1027
2309,101068,,,1.087,9600
2310,101069,1,31,1.082,4203
2311,101069,1,31,0.852,7942
2329,101081,36,47,0.819,7986
2331,101083,36,47,1.303,8543
2332,101012,36,47,1.031,1790
2475,101152,,,0.0,45
2544,101184,,,0.0,307
2567,101199,,,0.0,329
