OriginTAZ,105,216,242,326,611,807,1208,1212,1225,1503,1517,2112,2209,2410,3615,3705,3904,3919,4010
105,0,76.4,0.4,6,88.9,10.9,68.1,253.2,172.5,147.2,162.3,0.9,1.8,3.2,4.6,1.8,14,5.3,5
216,52.5,0,0.3,1,32.5,9.3,35,125.5,118,113.6,72.4,0.7,2,1.8,2.2,1,7.4,3.4,2.1
242,0.1,0.5,0,3.3,2.5,2.5,3.9,20.4,39.7,34.4,36,0,0,0.1,0.3,0.1,0.8,0.2,1.2
326,5.7,3.1,2.5,0,27,4.1,43.7,165.1,133.6,132.4,121.3,0.8,0.1,2.8,1.6,0.6,9.1,3.6,7.5
611,42.2,23.2,3.9,34.2,0,2.3,5.3,40.8,123.5,245.4,139.7,0,0.3,3.2,2,1.2,15.6,13,7.6
807,7.1,3.1,0.6,5.9,1.2,0,4.9,16.2,41.9,68.9,53.2,0,0,0.5,0.4,0.2,3.5,2.7,0.3
1208,3.1,2.5,0,2,1,0.2,0,2.7,6.3,16.4,4.8,0.1,0,0.8,0.1,0,1.9,2.6,0.6
1212,27.4,15.6,1.5,26.4,3.7,0.6,4.1,0,8.5,42.5,9.4,2.8,12.6,3.1,31.1,8.3,11.2,7.8,5.4
1225,12.2,11.5,1.8,11.9,2.6,1.3,0.8,3.1,0,15.9,8.8,0.8,3.9,4.5,10.7,3.7,10.5,6.6,6.3
1503,14.7,13.2,1.6,15,6.9,2.1,5.2,7.9,4.6,0,18.2,2.3,8.5,4.4,12.2,1.2,12.1,7.8,4.3
1517,9.8,8.3,1.3,17.1,9.7,2.3,4.2,5.3,7,12.5,0,2.3,4.5,2.9,10.9,2.7,28.9,17.4,5.9
2112,1.2,1.2,0,0.3,1.5,0,0.6,10.9,29.3,44.7,42.8,0,1.1,2.4,1.3,8.3,0.7,0,0.1
2209,0.8,0.7,0,0.7,0,0,0.3,15,45.5,82.7,38,0.7,0,1.4,6,3.9,0.8,0.1,0.1
2410,0.4,2.6,0,0.4,6.6,0.9,1.3,8,14.3,17.4,8.8,4.5,1,0,1.4,0.3,6.9,0.2,1.5
3615,3.3,2.5,0,0.6,2.8,0.4,2.3,83.7,96.3,69.5,98.7,1.1,9.9,2.1,0,8.8,1.6,0.3,0.2
3705,1.8,1.8,0,0.6,4.9,0.1,1.2,34.4,25.7,16.4,27,4.1,10.2,1.4,11,0,2.1,0.5,0.7
3904,8.8,11.3,0.3,6.4,8.6,1.2,13.3,29.9,56.8,95.5,75.5,0.2,0.2,5.4,1.4,1.4,0,10,6.6
3919,1.3,1.5,0,1.2,2.3,0.1,2,6.5,9.6,16.8,18.2,0,0,2.3,0,0.1,4.2,0,2.9
4010,2.9,4.6,0.3,4.2,7.4,0.9,10.3,19.1,21.5,46.6,30.8,0,0.3,2.6,0.1,0.4,9.1,17.5,0
