,SZ,GS
0.0,0.01951385266252529,0.03506062526425863
1.0,0.019304783648423095,0.033780304700145994
2.0,0.019193415664799506,0.03338945808442072
5.0,0.019070237184015938,0.03321040792451786
10.0,0.019233490224452778,0.03363050613219428
20.0,0.02024073511910192,0.03488353508176452
50.0,0.025175260626006415,0.03929099894685645
100.0,0.03440038507418524,0.04699782565178316
200.0,0.05054909824949439,0.060665312003846436
500.0,0.08174740319742682,0.08756834365387485
inf,0.17105621764961848,0.16490063493375234
