origin_sz,n_pooled,lambda
1,975,0.9948979591836735
2,1274,0.9960906958561376
3,1355,0.9963235294117647
4,1312,0.9962034927866363
5,394,0.9874686716791979
6,409,0.9879227053140096
7,510,0.9902912621359223
8,649,0.9923547400611621
9,706,0.9929676511954993
10,579,0.9914383561643836
11,1717,0.997096399535424
12,168,0.9710982658959537
13,128,0.9624060150375939
14,1364,0.9963476990504018
15,689,0.9927953890489913
16,1416,0.9964813511611541
17,1459,0.9965846994535519
18,239,0.9795081967213115
19,874,0.9943117178612059
20,280,0.9824561403508771
21,788,0.9936948297604036
22,951,0.9947698744769874
23,499,0.9900793650793651
24,382,0.9870801033591732
25,185,0.9736842105263158
30,485,0.9897959183673469
31,373,0.9867724867724867
32,563,0.9911971830985915
33,362,0.9863760217983651
34,988,0.9949647532729103
35,1355,0.9963235294117647
36,937,0.994692144373673
37,301,0.9836601307189542
38,639,0.9922360248447205
39,671,0.992603550295858
40,887,0.9943946188340808
