lrt_legs_ug,pairs,transit_2022,lrt_ug,lrt_ground,lrt_d50,P_ug
brt→LRT,102,3309.0,1437.0,1124.0,1710.0,0.434
brt→LRT→brt,110,4199.0,577.0,481.0,638.0,0.137
brt→LRT→bus,44,75.0,7.0,6.0,7.0,0.093
bus→LRT,48,704.0,254.0,222.0,282.0,0.361
bus→LRT→brt,37,536.0,128.0,111.0,138.0,0.239
bus→LRT→bus,19,33.0,0.0,0.0,0.0,0.0
directLRT,90,4567.0,2133.0,1505.0,2604.0,0.467
directLRT→brt,84,586.0,303.0,249.0,351.0,0.517
directLRT→bus,66,125.0,40.0,35.0,46.0,0.32
