bin,pairs,car,transit,transit share,mid
"(-10, 0]",1,142.507,3.899,0.0266,-5.0
"(0, 5]",6,1752.005,120.416,0.0643,2.5
"(5, 10]",29,5776.207,1516.445,0.2079,7.5
"(10, 15]",54,13615.451,3153.3,0.188,12.5
"(15, 20]",62,7246.322,2280.272,0.2394,17.5
"(20, 30]",172,13020.616,4118.144,0.2403,25.0
"(30, 45]",212,12312.019,2283.185,0.1564,37.5
"(45, 90]",61,2186.077,641.129,0.2268,67.5
