o,d,o_name,d_name,car_2022,transit_2022,gc_car,gc_bus,gc_brt,gc_lrt_ug,gc_lrt_ground,gc_lrt_ug_with_premium,P_lrt_of_transit_ug,lrt_trips_ug,lrt_from_bus_ug,lrt_from_car_ug,P_lrt_of_transit_ground,lrt_trips_ground,gc_lrt_d50,P_lrt_of_transit_d50,lrt_trips_d50,lrt_legs_ug,lrt_status_ug
201,202,TiratCarmel,Matam-NeotPeres,1924.92,283.61,12.27,48.44,,48.34,53.04,43.34,0.58,234.58,163.33,71.25,0.51,193.6,45.83,0.61,258.58,directLRT,derived
201,203,TiratCarmel,HofCarmel-NeveDavid,0.0,33.48,17.08,51.52,,54.17,62.04,49.17,0.54,17.92,17.92,0.0,0.42,13.99,49.79,0.6,20.07,directLRT,derived
201,204,TiratCarmel,Hecht-Shprintzak,0.0,47.46,19.39,48.66,,56.89,66.29,51.89,0.45,21.44,21.44,0.0,0.32,15.15,51.87,0.53,25.01,directLRT,derived
201,205,TiratCarmel,EinHayam,204.34,11.51,27.94,47.51,,61.2,72.3,56.2,0.37,5.32,4.29,1.03,0.23,3.04,54.95,0.46,7.11,directLRT,derived
201,206,TiratCarmel,BatGalim-KiryatEliezer,452.45,265.66,21.73,49.73,,66.37,80.82,61.37,0.33,99.86,88.27,11.59,0.17,48.74,58.24,0.45,142.08,directLRT,derived
201,207,TiratCarmel,Hamoshava,0.0,26.34,19.98,51.61,,61.66,77.9,56.66,0.42,11.19,11.19,0.0,0.22,5.74,52.3,0.56,14.86,directLRT,derived
201,208,TiratCarmel,LowerCity,265.8,91.88,21.02,56.02,,68.46,86.4,63.46,0.39,42.87,35.86,7.01,0.18,17.69,57.87,0.55,66.5,directLRT,derived
201,209,TiratCarmel,Namal-Giborim,177.28,34.51,24.48,75.01,,79.14,99.48,74.14,0.51,23.67,17.71,5.96,0.24,9.15,67.29,0.68,36.99,directLRT,derived
201,210,TiratCarmel,Hamifrats,414.05,51.74,21.85,80.34,,91.21,114.94,86.21,0.41,26.94,21.36,5.57,0.14,8.03,77.48,0.62,48.02,directLRT,derived
201,211,TiratCarmel,Bazan-Hutsot,0.0,19.59,24.62,78.35,,73.22,77.92,68.22,0.65,12.68,12.68,0.0,0.58,11.37,70.71,0.68,13.34,directLRT→brt,derived_feeder
201,212,TiratCarmel,TsometKiryatAta,573.86,20.81,25.46,65.94,,66.81,71.51,61.81,0.56,17.3,11.69,5.61,0.49,14.11,64.3,0.6,19.2,directLRT→brt,derived_feeder
201,213,TiratCarmel,KiryatAta North,0.0,1.02,32.97,76.81,,95.76,104.53,90.76,0.3,0.31,0.31,0.0,0.2,0.21,82.03,0.5,0.51,directLRT→brt,derived_feeder
201,214,TiratCarmel,KiryatAta North-East,0.0,0.26,37.73,94.59,,117.6,122.3,112.6,0.25,0.07,0.07,0.0,0.2,0.05,115.09,0.28,0.07,directLRT→bus,assumed
201,215,TiratCarmel,Shefaram,0.0,0.0,43.27,91.85,,114.86,119.56,109.86,0.25,0.0,0.0,0.0,0.2,0.0,112.35,0.28,0.0,directLRT→bus,assumed
201,216,TiratCarmel,Hamovil,0.0,0.13,54.2,110.17,,133.18,137.88,128.18,0.25,0.03,0.03,0.0,0.2,0.03,130.67,0.28,0.04,directLRT→bus,assumed
201,217,TiratCarmel,Nazareth,0.0,0.81,67.17,106.42,,129.44,134.14,124.44,0.25,0.2,0.2,0.0,0.2,0.16,126.03,0.29,0.24,directLRT→bus,assumed
201,101,TiratCarmel,TsurShalom,0.0,4.74,36.3,79.91,,77.05,81.75,72.05,0.62,2.92,2.92,0.0,0.55,2.6,74.54,0.65,3.09,directLRT→brt,derived_feeder
