,area,LRT all underground,LRT all ground,LRT design 50 km/h
201,TiratCarmel,536.0,360.0,676.0
202,Matam-NeotPeres,257.0,204.0,248.0
203,HofCarmel-NeveDavid,164.0,198.0,170.0
204,Hecht-Shprintzak,391.0,325.0,464.0
205,EinHayam,133.0,105.0,155.0
206,BatGalim-KiryatEliezer,441.0,322.0,531.0
207,Hamoshava,170.0,139.0,184.0
208,LowerCity,164.0,229.0,186.0
209,Namal-Giborim,817.0,973.0,930.0
210,Hamifrats,1809.0,881.0,2233.0
