band_km,pairs,car,transit,transit share,mean GC bus − car
"[0, 3)",84,26583.76,3943.488,0.1292,15.9858
"[3, 6)",112,11818.332,3925.657,0.2493,21.472
"[6, 10)",162,11301.732,4091.364,0.2658,28.4115
"[10, 20)",179,4826.277,1598.131,0.2488,33.0279
"[20, 100)",60,1521.103,558.15,0.2684,30.661
