,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,101,102,103,104,301,302,303,304
201,not_skimmed,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived_feeder,derived_feeder,derived_feeder,assumed,assumed,assumed,assumed,derived_feeder,derived_feeder,derived_feeder,derived_feeder,assumed,assumed,assumed,assumed
202,derived,not_skimmed,derived,derived,derived,derived,derived,derived,derived,derived,derived_feeder,derived_feeder,derived_feeder,assumed,assumed,assumed,assumed,derived_feeder,derived_feeder,derived_feeder,derived_feeder,assumed,assumed,derived_feeder,assumed
203,derived,derived,not_skimmed,derived,derived,derived,derived,derived,derived,derived,derived_feeder,derived_feeder,derived_feeder,assumed,assumed,assumed,assumed,derived_feeder,derived_feeder,derived_feeder,derived_feeder,assumed,assumed,assumed,assumed
204,derived,derived,derived,not_skimmed,derived,derived,derived,derived,derived,derived,derived_feeder,derived_feeder,derived_feeder,assumed,assumed,assumed,assumed,derived_feeder,derived_feeder,derived_feeder,derived_feeder,assumed,assumed,assumed,assumed
205,derived,derived,derived,derived,not_skimmed,derived,derived,derived,derived,derived,derived_feeder,derived_feeder,derived_feeder,assumed,assumed,assumed,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,assumed,derived_feeder,derived_feeder,assumed
206,derived,derived,derived,derived,derived,not_skimmed,derived,derived,derived,derived,derived_feeder,derived_feeder,derived_feeder,assumed,assumed,assumed,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,assumed,derived_feeder,derived_feeder,assumed
207,derived,derived,derived,derived,derived,derived,not_skimmed,derived,derived,derived,derived_feeder,derived_feeder,derived_feeder,assumed,assumed,assumed,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,assumed,derived_feeder,derived_feeder,derived_feeder
208,derived,derived,derived,derived,derived,derived,derived,not_skimmed,derived,derived,derived_feeder,derived_feeder,derived_feeder,assumed,assumed,assumed,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder
209,derived,derived,derived,derived,derived,derived,derived,derived,not_skimmed,derived,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,assumed,assumed,derived_feeder,derived_feeder
210,derived,derived,derived,derived,derived,derived,derived,derived,derived,not_skimmed,derived_feeder,derived_feeder,derived_feeder,assumed,assumed,assumed,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder
211,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,not_skimmed,derived_feeder,derived_feeder,assumed,assumed,assumed,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder
212,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,not_skimmed,derived_feeder,assumed,assumed,assumed,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder
213,assumed,assumed,assumed,assumed,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,not_skimmed,assumed,assumed,assumed,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder
214,assumed,assumed,assumed,assumed,assumed,assumed,assumed,assumed,derived_feeder,assumed,assumed,assumed,assumed,not_skimmed,assumed,assumed,assumed,assumed,assumed,assumed,assumed,assumed,derived_feeder,derived_feeder,derived_feeder
215,assumed,assumed,assumed,assumed,assumed,assumed,assumed,assumed,assumed,assumed,assumed,assumed,assumed,assumed,not_skimmed,assumed,assumed,assumed,assumed,assumed,assumed,assumed,assumed,assumed,assumed
216,assumed,assumed,assumed,assumed,assumed,assumed,assumed,assumed,assumed,assumed,assumed,assumed,assumed,assumed,assumed,not_skimmed,assumed,assumed,assumed,assumed,assumed,assumed,assumed,assumed,assumed
217,assumed,assumed,assumed,assumed,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,derived_feeder,not_skimmed,derived_feeder,derived_feeder,derived_feeder,derived_feeder,assumed,assumed,derived_feeder,derived_feeder
