TAZ,SZ,corridor,P_2022,P_year,E_2022,E_year,I_2022,I_year,J_2022,J_year,O_2022_car,O_year_car,origin basis,D_2022_car,D_year_car,destination basis,O_2022_transit,O_year_transit,D_2022_transit,D_year_transit,O_2022_taxi,O_year_taxi,D_2022_taxi,D_year_taxi
1748,17,False,826.8700,1776.0000,104.7954,244.0000,424.7188,914.7152,302.3654,664.4271,380.8372,820.2076,own rate (multiplicative),207.1698,432.6484,own rate (multiplicative),94.1122,202.6890,46.9632,100.8392,0.0000,0.0000,0.0000,0.0000
1749,17,False,826.8700,1853.0000,137.0000,333.0000,428.9401,964.6527,327.8865,755.3802,380.8372,856.4731,own rate (multiplicative),272.9063,597.5152,own rate (multiplicative),98.1639,220.7629,56.0221,126.1126,0.0000,0.0000,0.0000,0.0000
1750,17,False,1054.7990,1160.0000,161.8509,214.0000,545.4859,604.6100,408.0358,477.2657,1180.9705,1308.9734,own rate (multiplicative),1649.6702,1833.8022,own rate (multiplicative),42.5429,47.1541,97.5030,111.4388,0.0000,0.0000,0.0000,0.0000
1751,17,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,superzone rate on the increment,0.0000,0.0000,superzone rate on the increment,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1801,18,True,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,superzone rate on the increment,0.0000,0.0000,superzone rate on the increment,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1802,18,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,superzone rate on the increment,0.0000,0.0000,superzone rate on the increment,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1803,18,False,1716.7097,2455.0000,2593.0318,4056.0000,1193.1500,1751.8669,2510.2334,3865.4124,971.5009,1426.4261,own rate (multiplicative),2598.0249,3802.0553,own rate (multiplicative),388.4751,570.3864,578.3788,870.2638,0.0000,0.0000,0.0000,0.0000
1804,18,False,2444.7345,2520.0000,240.6260,241.0000,1246.6568,1284.1153,839.1280,859.3877,2419.1950,2491.8850,own rate (multiplicative),2587.7155,2518.6678,own rate (multiplicative),475.0659,489.3403,41.7159,41.7464,14.2955,14.7250,6.1319,6.4678
1805,18,False,6962.4067,7173.0000,834.8274,924.0000,3569.9798,3686.3403,2508.2776,2634.8017,1467.5462,1515.3797,own rate (multiplicative),1485.5526,1483.0430,own rate (multiplicative),430.4995,444.5313,131.7258,135.2073,0.0000,0.0000,0.0000,0.0000
1806,18,False,3663.5997,3774.0000,451.1869,629.0000,1880.0740,1958.2539,1329.2817,1499.4753,3618.7590,3769.2394,own rate (multiplicative),2188.2241,2345.8892,own rate (multiplicative),430.8745,448.7917,112.6623,124.1818,0.0000,0.0000,0.0000,0.0000
1807,18,False,3246.6094,2872.0000,165.0000,155.0000,1635.3031,1447.7987,991.8855,884.5997,1173.2141,1038.6930,own rate (multiplicative),2009.4851,1703.1913,own rate (multiplicative),160.3841,141.9944,67.7085,59.0045,0.0000,0.0000,0.0000,0.0000
