origin_sz,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,30,31,32,33,34,35,36,37,38,39,40
1,48674.9,7326.95,2277.38,0,141.481,587.372,249.512,263.062,554.579,0,0,225.715,126.298,455.972,168.712,79.6303,27.6316,32.6749,130.711,0,281.922,233.194,280.884,195.858,0,292.564,0,0,305.419,3584.28,141.232,0,0,0,0,0
2,4996.97,72827.1,8451.33,135.816,263.13,581.696,737.862,394.982,765.605,32.5674,170.05,1360.05,113.764,65.3576,1241.98,167.939,232.425,157.956,0,1013.92,578.267,684.968,519.012,0,0,762.52,0,0,0,3472.6,244.142,0,0,0,29.6536,905.02
3,675.303,5685.06,74404.3,1096.24,0,0,372.169,0,194.759,449.233,0,436.989,11.4679,31.6729,74.879,152.22,345.908,30.7175,24.1383,0,147.582,0,0,20.0748,0,1102.34,0,944.769,627.703,1331.7,515.08,193.977,0,89.7975,184.527,236.842
4,950.747,3669.01,466.281,41622.7,79.4683,303.426,1227,32.9435,1487.65,3308.25,135.469,1469.08,678.084,459.75,233.39,884.967,501.095,716.082,497.494,359.491,624.807,535.145,0,319.054,0,1076.17,0,0,939.331,693.822,91.0769,0,0,1315.47,411.673,0
5,0,762.341,201.356,0,6112.08,2201.19,1766.49,726.204,473.489,0,20.3016,1812.72,333.382,135.369,181.164,141.864,693.481,350.916,0,0,0,0,144.045,107.09,0,0,0,0,0,0,0,0,0,0,0,0
6,759.382,1323.08,822.3,0,2594.83,16203.5,1615.14,3805.24,1084.97,0,60.3482,3075.28,596.62,277.541,766.591,157.926,72.2162,1080.48,0,0,616.134,128.297,376.762,707.238,0,0,0,0,0,0,639.748,493.291,0,0,0,0
7,1133.23,1313.06,374.82,350.487,503.782,2959.25,15976.6,722.297,890.895,0,77.1508,3643.79,185.001,462.957,777.06,1081.81,378.234,93.5252,355.477,146.494,0,145.605,444.371,173.093,0,0,0,0,103.751,125.157,0,147.346,0,0,1036.72,382.916
8,178.187,1137.03,388.97,0,2033.21,4506.57,2215.33,13472,170.887,0,0,2289.39,365.494,546.139,1130.08,312.568,629.132,122.813,0,144.923,0,131.992,57.8838,73.69,233.105,0,0,88.628,184.264,0,197.172,0,0,270.912,0,0
9,249.704,1205.17,234.896,0,219.338,2392.66,1776.94,570.031,37159.7,0,3206.99,3386.85,891.505,397.134,930.626,1004.65,2693.1,620.763,99.4196,265.453,954.23,512.83,1316.57,65.3141,0,0,401.458,0,342.979,518.667,647.878,0,0,0,465.109,1483.35
