scenario-year,LRT scenario,case,λ,λ_T,premium,transit trips (no-build),LRT trips 06–09,from bus,from car,LRT share of no-build transit,transit share before,transit share after,LRT trips on trunk pairs,LRT trips with an off-line end
BU_2050,LRT all ground,"no premium (λ central, premium 0)",0.0300,0.0600,0.0000,16368.5960,2653.1509,2504.2807,148.8702,0.1621,0.1593,0.1665,1075.8120,1577.3389
BU_2050,LRT all ground,premium 10 (λ central),0.0300,0.0600,10.0000,16368.5960,4273.2635,3889.2248,384.0388,0.2611,0.1593,0.1717,1754.2409,2519.0226
HS_2040,LRT all underground,"central (λ 0.03, λ_T 0.06, premium 5)",0.0300,0.0600,5.0000,16076.0374,4519.6418,4049.7707,469.8711,0.2811,0.1708,0.1859,2052.6570,2466.9848
HS_2040,LRT all underground,"low λ (0.02 / 0.03, premium 5)",0.0200,0.0300,5.0000,16076.0374,6685.0776,5597.0236,1088.0541,0.4158,0.1708,0.2019,2727.5465,3957.5311
HS_2040,LRT all underground,"high λ (0.05 / 0.10, premium 5)",0.0500,0.1000,5.0000,16076.0374,3199.2968,2899.1496,300.1471,0.1990,0.1708,0.1809,1488.1091,1711.1877
HS_2040,LRT all underground,"no premium (λ central, premium 0)",0.0300,0.0600,0.0000,16076.0374,3595.5618,3295.0502,300.5116,0.2237,0.1708,0.1825,1628.8588,1966.7031
HS_2040,LRT all underground,premium 10 (λ central),0.0300,0.0600,10.0000,16076.0374,5607.6619,4892.6538,715.0081,0.3488,0.1708,0.1902,2549.0455,3058.6164
HS_2040,LRT all ground,"central (λ 0.03, λ_T 0.06, premium 5)",0.0300,0.0600,5.0000,16076.0374,3429.5361,3159.4201,270.1160,0.2133,0.1708,0.1819,1423.4354,2006.1007
HS_2040,LRT all ground,"low λ (0.02 / 0.03, premium 5)",0.0200,0.0300,5.0000,16076.0374,5866.6229,5026.1913,840.4316,0.3649,0.1708,0.1977,2284.2025,3582.4203
HS_2040,LRT all ground,"high λ (0.05 / 0.10, premium 5)",0.0500,0.1000,5.0000,16076.0374,1983.1871,1859.0006,124.1866,0.1234,0.1708,0.1767,781.7664,1201.4207
HS_2040,LRT all ground,"no premium (λ central, premium 0)",0.0300,0.0600,0.0000,16076.0374,2688.5703,2520.5353,168.0350,0.1672,0.1708,0.1793,1108.4766,1580.0937
HS_2040,LRT all ground,premium 10 (λ central),0.0300,0.0600,10.0000,16076.0374,4324.3340,3900.1830,424.1511,0.2690,0.1708,0.1852,1805.8186,2518.5155
HS_2050,LRT all underground,"central (λ 0.03, λ_T 0.06, premium 5)",0.0300,0.0600,5.0000,18290.8487,5353.8056,4767.8769,585.9287,0.2927,0.1697,0.1859,2437.0933,2916.7123
HS_2050,LRT all underground,"low λ (0.02 / 0.03, premium 5)",0.0200,0.0300,5.0000,18290.8487,7815.4921,6491.7673,1323.7248,0.4273,0.1697,0.2021,3261.7467,4553.7454
HS_2050,LRT all underground,"high λ (0.05 / 0.10, premium 5)",0.0500,0.1000,5.0000,18290.8487,3828.0992,3450.1872,377.9120,0.2093,0.1697,0.1807,1755.5608,2072.5384
HS_2050,LRT all underground,"no premium (λ central, premium 0)",0.0300,0.0600,0.0000,18290.8487,4259.4724,3883.8807,375.5917,0.2329,0.1697,0.1822,1930.4826,2328.9898
HS_2050,LRT all underground,premium 10 (λ central),0.0300,0.0600,10.0000,18290.8487,6641.2381,5752.3645,888.8736,0.3631,0.1697,0.1905,3032.7480,3608.4901
HS_2050,LRT all ground,"central (λ 0.03, λ_T 0.06, premium 5)",0.0300,0.0600,5.0000,18290.8487,4047.0487,3712.2851,334.7637,0.2213,0.1697,0.1815,1684.5817,2362.4670
HS_2050,LRT all ground,"low λ (0.02 / 0.03, premium 5)",0.0200,0.0300,5.0000,18290.8487,6840.1041,5822.2887,1017.8153,0.3740,0.1697,0.1977,2725.6980,4114.4061
HS_2050,LRT all ground,"high λ (0.05 / 0.10, premium 5)",0.0500,0.1000,5.0000,18290.8487,2362.3851,2207.5131,154.8720,0.1292,0.1697,0.1761,917.8238,1444.5613
HS_2050,LRT all ground,"no premium (λ central, premium 0)",0.0300,0.0600,0.0000,18290.8487,3172.7068,2964.2295,208.4774,0.1735,0.1697,0.1788,1310.0032,1862.7037
HS_2050,LRT all ground,premium 10 (λ central),0.0300,0.0600,10.0000,18290.8487,5102.5245,4577.8448,524.6797,0.2790,0.1697,0.1850,2140.7088,2961.8156
