scenario-year,LRT scenario,link,from_area,to_area,direction,transit_nobuild_3h_trunk_projection,car_nobuild_3h_trunk_projection,lrt_3h,lrt_3h_low,lrt_3h_high,lrt_peak_hour
2022,LRT design 50 km/h,8,LowerCity,Namal-Giborim,up,870.8,2027.4,566.6,589.5,577.7,311.3
2022,LRT design 50 km/h,8,LowerCity,Namal-Giborim,down,2799.6,5447.2,1741.1,1896.0,1732.0,795.4
2022,LRT design 50 km/h,9,Namal-Giborim,Hamifrats,up,3039.4,14150.1,938.7,1330.4,722.7,515.7
2022,LRT design 50 km/h,9,Namal-Giborim,Hamifrats,down,6515.4,28574.6,2102.4,2841.4,1813.0,960.4
BU_2040,LRT all underground,1,TiratCarmel,Matam-NeotPeres,up,2036.0,8102.4,938.1,1155.1,773.3,515.4
BU_2040,LRT all underground,1,TiratCarmel,Matam-NeotPeres,down,875.1,1491.6,372.1,463.2,302.1,170.0
BU_2040,LRT all underground,2,Matam-NeotPeres,HofCarmel-NeveDavid,up,1626.4,4127.8,684.7,854.9,544.7,376.2
BU_2040,LRT all underground,2,Matam-NeotPeres,HofCarmel-NeveDavid,down,2139.8,4456.4,782.1,1043.6,567.7,357.2
BU_2040,LRT all underground,3,HofCarmel-NeveDavid,Hecht-Shprintzak,up,1637.4,4093.0,671.4,853.4,519.4,368.8
BU_2040,LRT all underground,3,HofCarmel-NeveDavid,Hecht-Shprintzak,down,2085.1,4008.4,765.3,1020.4,556.8,349.6
BU_2040,LRT all underground,4,Hecht-Shprintzak,EinHayam,up,1914.9,4643.7,758.9,985.3,570.8,417.0
BU_2040,LRT all underground,4,Hecht-Shprintzak,EinHayam,down,1800.1,3746.7,659.1,880.3,480.5,301.1
BU_2040,LRT all underground,5,EinHayam,BatGalim-KiryatEliezer,up,2163.3,5662.7,830.4,1089.6,616.4,456.2
BU_2040,LRT all underground,5,EinHayam,BatGalim-KiryatEliezer,down,1649.8,3418.0,622.6,815.8,465.4,284.4
BU_2040,LRT all underground,6,BatGalim-KiryatEliezer,Hamoshava,up,1638.4,5190.5,710.4,870.2,581.8,390.3
BU_2040,LRT all underground,6,BatGalim-KiryatEliezer,Hamoshava,down,2047.9,7079.4,840.4,1050.3,678.9,383.9
BU_2040,LRT all underground,7,Hamoshava,LowerCity,up,1681.7,3831.7,734.2,896.1,604.3,403.4
BU_2040,LRT all underground,7,Hamoshava,LowerCity,down,2296.2,5223.0,991.8,1177.1,854.6,453.0
BU_2040,LRT all underground,8,LowerCity,Namal-Giborim,up,1064.5,3119.1,482.7,574.3,415.2,265.2
BU_2040,LRT all underground,8,LowerCity,Namal-Giborim,down,3213.9,6159.2,1508.6,1743.6,1348.1,689.1
BU_2040,LRT all underground,9,Namal-Giborim,Hamifrats,up,3809.1,19355.9,886.4,1450.4,557.4,487.0
BU_2040,LRT all underground,9,Namal-Giborim,Hamifrats,down,8612.9,36983.8,2062.6,3204.9,1518.3,942.2
BU_2040,LRT all ground,1,TiratCarmel,Matam-NeotPeres,up,2036.0,8102.4,585.4,903.0,367.7,321.6
BU_2040,LRT all ground,1,TiratCarmel,Matam-NeotPeres,down,875.1,1491.6,246.6,375.2,157.3,112.7
BU_2040,LRT all ground,2,Matam-NeotPeres,HofCarmel-NeveDavid,up,1626.4,4127.8,368.9,629.5,196.2,202.7
BU_2040,LRT all ground,2,Matam-NeotPeres,HofCarmel-NeveDavid,down,2139.8,4456.4,504.9,853.0,263.3,230.6
BU_2040,LRT all ground,3,HofCarmel-NeveDavid,Hecht-Shprintzak,up,1637.4,4093.0,337.7,603.8,159.0,185.5
BU_2040,LRT all ground,3,HofCarmel-NeveDavid,Hecht-Shprintzak,down,2085.1,4008.4,386.6,636.3,203.8,176.6
BU_2040,LRT all ground,4,Hecht-Shprintzak,EinHayam,up,1914.9,4643.7,383.0,697.8,172.0,210.4
BU_2040,LRT all ground,4,Hecht-Shprintzak,EinHayam,down,1800.1,3746.7,277.5,473.9,136.0,126.8
BU_2040,LRT all ground,5,EinHayam,BatGalim-KiryatEliezer,up,2163.3,5662.7,415.0,761.4,184.1,228.0
BU_2040,LRT all ground,5,EinHayam,BatGalim-KiryatEliezer,down,1649.8,3418.0,223.4,381.2,109.1,102.1
BU_2040,LRT all ground,6,BatGalim-KiryatEliezer,Hamoshava,up,1638.4,5190.5,386.1,615.2,221.2,212.1
