mode,o,101,102,103,104,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,301,302,303,304
brt,101,constant:1/missing:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/missing:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4
brt,102,constant:1/derived:4,constant:1/missing:4,constant:1/derived:4,constant:1/derived:4,constant:1/missing:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4
brt,103,constant:1/derived:4,constant:1/derived:4,constant:1/missing:4,constant:1/derived:4,constant:1/missing:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4
brt,104,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/missing:4,constant:1/missing:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4
brt,201,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4
brt,202,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/missing:4,constant:1/missing:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4
brt,203,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/missing:4,constant:1/derived:4,constant:1/missing:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4
brt,204,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/missing:4,constant:1/derived:4,constant:1/derived:4,constant:1/missing:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4
brt,205,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/missing:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/missing:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4
brt,206,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/missing:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/missing:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/derived:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4,constant:1/missing:4
