o,d,o_name,d_name,car_2022,transit_2022,gc_car,gc_bus,gc_brt,gc_lrt_ug,gc_lrt_ground,gc_lrt_ug_with_premium,P_lrt_of_transit_ug,lrt_trips_ug,lrt_from_bus_ug,lrt_from_car_ug,P_lrt_of_transit_ground,lrt_trips_ground,gc_lrt_d50,P_lrt_of_transit_d50,lrt_trips_d50,lrt_legs_ug,lrt_status_ug
201,202,TiratCarmel,Matam-NeotPeres,1924.92,283.61,12.27,35.32,,50.83,55.54,45.83,0.35,118.31,98.51,19.8,0.29,93.9,48.33,0.38,133.18,directLRT,derived
201,203,TiratCarmel,HofCarmel-NeveDavid,0.0,33.48,17.08,46.52,,56.65,64.54,51.65,0.42,14.18,14.18,0.0,0.31,10.51,52.29,0.49,16.35,directLRT,derived
201,204,TiratCarmel,Hecht-Shprintzak,0.0,47.46,19.39,43.66,,59.37,68.79,54.37,0.34,16.36,16.36,0.0,0.23,10.92,54.37,0.42,19.71,directLRT,derived
201,205,TiratCarmel,EinHayam,204.34,11.51,27.94,42.51,,63.67,74.8,58.67,0.27,3.67,3.16,0.51,0.16,2.04,57.45,0.36,5.01,directLRT,derived
201,206,TiratCarmel,BatGalim-KiryatEliezer,452.45,265.66,21.73,49.73,,68.83,83.33,63.83,0.3,89.04,79.79,9.24,0.15,42.65,60.74,0.41,128.06,directLRT,derived
201,207,TiratCarmel,Hamoshava,0.0,26.34,19.98,51.61,,64.11,80.41,59.11,0.39,10.25,10.25,0.0,0.19,5.09,54.8,0.53,13.88,directLRT,derived
201,208,TiratCarmel,LowerCity,265.8,91.88,21.02,56.02,,70.91,88.91,65.91,0.36,38.35,32.7,5.65,0.16,15.47,60.37,0.51,60.34,directLRT,derived
201,209,TiratCarmel,Namal-Giborim,177.28,34.51,24.48,75.01,,81.58,101.99,76.58,0.48,21.37,16.44,4.93,0.21,8.03,69.79,0.65,33.9,directLRT,derived
201,210,TiratCarmel,Hamifrats,414.05,51.74,21.85,80.34,,93.64,117.46,88.64,0.38,24.06,19.56,4.5,0.13,6.98,79.98,0.58,43.56,directLRT,derived
201,211,TiratCarmel,Bazan-Hutsot,0.0,19.59,24.62,78.35,,75.71,80.42,70.71,0.61,12.0,12.0,0.0,0.54,10.65,73.21,0.65,12.68,directLRT→brt,derived_feeder
201,212,TiratCarmel,TsometKiryatAta,573.86,20.81,25.46,65.94,,69.3,74.01,64.3,0.52,15.55,10.92,4.63,0.45,12.61,66.8,0.56,17.31,directLRT→brt,derived_feeder
201,213,TiratCarmel,KiryatAta North,0.0,1.02,32.97,76.81,,98.19,107.03,93.19,0.27,0.28,0.28,0.0,0.18,0.18,84.53,0.46,0.47,directLRT→brt,derived_feeder
201,214,TiratCarmel,KiryatAta North-East,0.0,0.26,37.73,94.59,,120.09,124.8,115.09,0.23,0.06,0.06,0.0,0.18,0.05,107.47,0.38,0.1,directLRT→bus,assumed
201,215,TiratCarmel,Shefaram,0.0,0.0,43.27,91.85,,116.06,122.06,111.06,0.24,0.0,0.0,0.0,0.18,0.0,102.4,0.42,0.0,directLRT→bus,derived_feeder
201,216,TiratCarmel,Hamovil,0.0,0.13,54.2,110.17,,135.56,140.38,130.56,0.23,0.03,0.03,0.0,0.18,0.02,121.9,0.4,0.05,directLRT→bus,derived_feeder
201,217,TiratCarmel,Nazareth,0.0,0.81,67.17,106.42,,125.52,136.64,120.52,0.3,0.24,0.24,0.0,0.18,0.15,111.86,0.49,0.4,directLRT→bus,derived_feeder
201,101,TiratCarmel,TsurShalom,0.0,4.74,36.3,79.91,,79.54,84.25,74.54,0.58,2.75,2.75,0.0,0.51,2.42,77.04,0.62,2.92,directLRT→brt,derived_feeder
