,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,101,102,103,104,301,302,303,304
201,,directLRT,directLRT,directLRT,directLRT,directLRT,directLRT,directLRT,directLRT,directLRT,directLRT→brt,directLRT→brt,directLRT→bus,directLRT→bus,directLRT→bus,directLRT→bus,directLRT→bus,directLRT→brt,directLRT→brt,directLRT→brt,directLRT→brt,directLRT→bus,directLRT→bus,directLRT→bus,directLRT→bus
202,directLRT,,directLRT,directLRT,directLRT,directLRT,directLRT,directLRT,directLRT,directLRT,directLRT→brt,directLRT→brt,directLRT→bus,directLRT→bus,directLRT→bus,directLRT→bus,directLRT→bus,directLRT→brt,directLRT→brt,directLRT→brt,directLRT→brt,directLRT→bus,directLRT→bus,directLRT→bus,directLRT→bus
203,directLRT,directLRT,,directLRT,directLRT,directLRT,directLRT,directLRT,directLRT,directLRT,directLRT→brt,directLRT→brt,directLRT→bus,directLRT→bus,directLRT→bus,directLRT→bus,directLRT→bus,directLRT→brt,directLRT→brt,directLRT→brt,directLRT→brt,directLRT→bus,directLRT→bus,directLRT→bus,directLRT→bus
204,directLRT,directLRT,directLRT,,directLRT,directLRT,directLRT,directLRT,directLRT,directLRT,directLRT→brt,directLRT→brt,directLRT→brt,directLRT→bus,directLRT→bus,directLRT→bus,directLRT→bus,directLRT→brt,directLRT→brt,directLRT→brt,directLRT→brt,directLRT→bus,directLRT→bus,directLRT→bus,directLRT→bus
205,directLRT,directLRT,directLRT,directLRT,,directLRT,directLRT,directLRT,directLRT,directLRT,directLRT→brt,directLRT→brt,directLRT→brt,directLRT→bus,directLRT→bus,directLRT→bus,directLRT→bus,directLRT→brt,directLRT→brt,directLRT→brt,directLRT→brt,directLRT→bus,directLRT→bus,directLRT→bus,directLRT→bus
206,directLRT,directLRT,directLRT,directLRT,directLRT,,directLRT,directLRT,directLRT,directLRT,directLRT→brt,directLRT→brt,directLRT→brt,directLRT→bus,directLRT→bus,directLRT→bus,directLRT→bus,directLRT→brt,directLRT→brt,directLRT→brt,directLRT→brt,directLRT→bus,directLRT→bus,directLRT→bus,directLRT→bus
207,directLRT,directLRT,directLRT,directLRT,directLRT,directLRT,,directLRT,directLRT,directLRT,directLRT→brt,directLRT→brt,directLRT→brt,directLRT→bus,directLRT→bus,directLRT→bus,directLRT→bus,directLRT→brt,directLRT→brt,directLRT→brt,directLRT→brt,directLRT→bus,directLRT→brt,directLRT→bus,directLRT→bus
208,directLRT,directLRT,directLRT,directLRT,directLRT,directLRT,directLRT,,directLRT,directLRT,directLRT→brt,directLRT→brt,directLRT→brt,directLRT→bus,directLRT→bus,directLRT→bus,directLRT→bus,directLRT→brt,directLRT→brt,directLRT→brt,directLRT→brt,directLRT→brt,directLRT→brt,directLRT→brt,directLRT→brt
209,directLRT,directLRT,directLRT,directLRT,directLRT,directLRT,directLRT,directLRT,,directLRT,directLRT→brt,directLRT→brt,directLRT→brt,directLRT→bus,directLRT→bus,directLRT→bus,directLRT→bus,directLRT→brt,directLRT→brt,directLRT→brt,directLRT→brt,directLRT→bus,directLRT→bus,directLRT→bus,directLRT→bus
210,directLRT,directLRT,directLRT,directLRT,directLRT,directLRT,directLRT,directLRT,directLRT,,directLRT→brt,directLRT→brt,directLRT→brt,directLRT→bus,directLRT→bus,directLRT→bus,directLRT→bus,directLRT→brt,directLRT→brt,directLRT→brt,directLRT→brt,directLRT→brt,directLRT→brt,directLRT→brt,directLRT→brt
