pair,car GC,bus GC (partial),Metronit GC (partial),LRT underground GC (partial),LRT ground GC (partial),LRT design 50 km/h GC (partial),transit 2022 trips,car 2022 trips,LRT ug − bus,LRT ug − car
TiratCarmel → Matam-NeotPeres,12.3,35.3,,50.8,55.5,48.3,283.6,1924.9,15.5,38.6
TiratCarmel → HofCarmel-NeveDavid,17.1,46.5,,56.6,64.5,52.3,33.5,0.0,10.1,39.6
TiratCarmel → Hecht-Shprintzak,19.4,43.7,,59.4,68.8,54.4,47.5,0.0,15.7,40.0
TiratCarmel → EinHayam,27.9,42.5,,63.7,74.8,57.5,11.5,204.3,21.2,35.7
TiratCarmel → BatGalim-KiryatEliezer,21.7,49.7,,68.8,83.3,60.7,265.7,452.5,19.1,47.1
TiratCarmel → Hamoshava,20.0,51.6,,64.1,80.4,54.8,26.3,0.0,12.5,44.1
TiratCarmel → LowerCity,21.0,56.0,,70.9,88.9,60.4,91.9,265.8,14.9,49.9
TiratCarmel → Namal-Giborim,24.5,75.0,,81.6,102.0,69.8,34.5,177.3,6.6,57.1
TiratCarmel → Hamifrats,21.9,80.3,,93.6,117.5,80.0,51.7,414.0,13.3,71.8
Matam-NeotPeres → TiratCarmel,11.1,22.6,,51.9,56.6,49.4,36.9,102.1,29.3,40.8
Matam-NeotPeres → HofCarmel-NeveDavid,11.5,23.3,26.8,40.0,43.2,38.1,11.3,112.3,16.7,28.5
Matam-NeotPeres → Hecht-Shprintzak,13.5,20.5,24.0,42.7,47.4,40.2,16.1,0.0,22.2,29.2
Matam-NeotPeres → EinHayam,22.7,18.3,22.2,47.0,53.4,43.3,3.9,142.5,28.7,24.3
Matam-NeotPeres → BatGalim-KiryatEliezer,16.5,29.0,27.3,52.2,61.9,46.6,90.2,25.0,23.2,35.7
Matam-NeotPeres → Hamoshava,15.3,34.9,30.9,47.4,59.0,40.6,15.1,27.0,12.5,32.1
Matam-NeotPeres → LowerCity,17.0,38.4,34.8,54.2,67.5,46.2,52.7,182.8,15.8,37.2
Matam-NeotPeres → Namal-Giborim,16.5,48.1,42.2,64.9,80.6,55.6,19.4,0.0,16.8,48.4
Matam-NeotPeres → Hamifrats,20.1,54.6,36.2,77.0,96.1,65.8,25.8,0.0,22.4,56.9
HofCarmel-NeveDavid → TiratCarmel,17.6,35.7,,53.0,60.9,48.7,28.3,26.6,17.4,35.4
HofCarmel-NeveDavid → Matam-NeotPeres,11.5,17.5,23.0,35.3,38.5,33.4,73.4,208.1,17.8,23.8
HofCarmel-NeveDavid → Hecht-Shprintzak,8.5,13.1,18.1,33.6,35.1,32.9,12.4,69.1,20.4,25.1
HofCarmel-NeveDavid → EinHayam,10.5,12.4,16.4,37.9,41.1,36.0,3.0,24.9,25.5,27.4
HofCarmel-NeveDavid → BatGalim-KiryatEliezer,12.9,22.7,21.5,43.0,49.6,39.3,69.6,11.7,20.4,30.1
HofCarmel-NeveDavid → Hamoshava,12.8,27.1,25.1,38.3,46.7,33.4,11.8,0.0,11.2,25.5
HofCarmel-NeveDavid → LowerCity,14.1,30.9,28.9,45.1,55.2,38.9,41.1,0.0,14.3,31.0
HofCarmel-NeveDavid → Namal-Giborim,16.4,36.1,36.3,55.8,68.3,48.4,15.1,0.0,19.7,39.4
