TAZ,SZ,corridor,P_2022,P_year,E_2022,E_year,I_2022,I_year,J_2022,J_year,O_2022_car,O_year_car,origin basis,D_2022_car,D_year_car,destination basis,O_2022_transit,O_year_transit,D_2022_transit,D_year_transit,O_2022_taxi,O_year_taxi,D_2022_taxi,D_year_taxi
101,1,False,8850.8255,8037.0000,6613.0000,6914.0000,5265.9738,4900.9290,7588.1770,7610.8514,2536.4362,2360.6068,own rate (multiplicative),2355.9009,2246.8560,own rate (multiplicative),409.8725,381.4596,176.7253,173.5560,113.0920,105.2523,0.0000,0.0000
102,1,False,2424.7991,1917.0000,1482.6498,1333.0000,1399.5490,1127.5399,1818.1044,1564.8235,1497.5887,1206.5251,own rate (multiplicative),2045.3764,1673.9490,own rate (multiplicative),1.4152,1.1401,2.2418,1.8892,0.0000,0.0000,0.0000,0.0000
103,1,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,157.7568,157.7568,superzone rate on the increment,2236.0645,2126.2130,superzone rate on the increment,74.8583,74.8583,81.9485,80.2391,0.0000,0.0000,0.0000,0.0000
104,1,False,3052.5857,4860.0000,198.3560,430.0000,1543.2389,2471.9485,966.8564,1629.8241,1256.7967,2013.1276,own rate (multiplicative),425.5504,682.1065,own rate (multiplicative),208.9835,334.7482,58.3147,96.2502,61.1835,98.0032,0.0000,0.0000
106,1,False,8069.2356,12851.0000,12765.7229,28652.0000,5683.9774,10143.0027,12256.7044,26114.3815,6408.2954,11435.5410,own rate (multiplicative),10652.9153,21582.2614,own rate (multiplicative),1252.5603,2235.1817,1002.7771,2091.9699,0.0000,0.0000,211.5506,431.4297
107,1,False,5755.3981,6464.0000,2550.1841,3292.0000,3194.8993,3644.3335,3547.4968,4323.3111,3723.9908,4247.8537,own rate (multiplicative),2978.3687,3451.4006,own rate (multiplicative),88.5740,101.0339,122.7425,146.4652,0.0000,0.0000,0.0000,0.0000
108,1,False,3457.3034,2733.0000,3240.3987,2634.0000,2143.1392,1703.6509,3484.9247,2812.2595,3046.4961,2421.7585,own rate (multiplicative),2632.9284,2020.3354,own rate (multiplicative),65.1641,51.8010,117.3954,92.7594,0.0000,0.0000,104.8532,80.9904
109,1,False,3995.2704,3158.0000,3049.0000,3176.0000,2385.4392,1985.9341,3475.9374,3354.5038,560.9587,467.0113,own rate (multiplicative),961.7629,882.5652,own rate (multiplicative),22.8080,18.9882,19.1794,18.1233,0.0000,0.0000,0.0000,0.0000
110,1,False,6329.2070,6643.0000,1505.6690,1806.0000,3343.1899,3538.5222,2871.9486,3193.1816,599.3047,634.3202,own rate (multiplicative),627.2696,663.1681,own rate (multiplicative),12.8413,13.5915,2.9890,3.2540,0.0000,0.0000,0.0000,0.0000
111,1,False,6058.6920,8240.0000,1620.3119,3174.0000,3223.7618,4511.5989,2891.0483,4700.8648,3023.2277,4230.9549,own rate (multiplicative),2843.0984,4395.7881,own rate (multiplicative),210.8232,295.0434,137.8320,219.4408,107.3159,150.1867,0.0000,0.0000
112,1,False,4921.7674,6968.0000,1287.3477,2341.0000,2615.0276,3770.1844,2325.6277,3703.3547,2029.8919,2926.5721,own rate (multiplicative),3026.6340,4582.8691,own rate (multiplicative),234.7440,338.4394,137.1230,213.8014,98.8193,142.4716,0.0000,0.0000
113,1,False,0.0000,0.0000,2973.0000,3214.0000,389.6919,421.2815,2356.0072,2546.9920,359.6533,388.8078,own rate (multiplicative),1527.2457,1569.9373,own rate (multiplicative),62.1493,67.1873,131.9353,139.6552,0.0000,0.0000,480.7618,497.4744
114,1,False,1799.6053,2866.0000,54.5242,168.0000,901.6119,1446.5205,520.5347,893.3104,740.7084,1188.3715,own rate (multiplicative),122.6585,200.1579,own rate (multiplicative),74.9374,120.2275,34.2354,57.5272,36.0593,57.8525,0.0000,0.0000
