TAZ,SZ,corridor,P_2022,P_year,E_2022,E_year,I_2022,I_year,J_2022,J_year,O_2022_car,O_year_car,origin basis,D_2022_car,D_year_car,destination basis,O_2022_transit,O_year_transit,D_2022_transit,D_year_transit,O_2022_taxi,O_year_taxi,D_2022_taxi,D_year_taxi
3504,35,False,519.8567,803.0000,111.8915,155.0000,276.9513,425.5901,228.5937,338.5775,2852.4317,4383.3214,own rate (multiplicative),3687.2450,5132.2212,own rate (multiplicative),0.2834,0.4355,0.1279,0.1854,0.0000,0.0000,0.0000,0.0000
3505,35,False,301.5225,466.0000,70.6075,91.0000,161.3405,247.1098,137.2355,197.3394,0.0000,83.1220,superzone rate on the increment,170.1300,229.8993,own rate (multiplicative),2.0810,14.8163,0.1279,0.1800,0.0000,1.4026,0.0000,0.0000
3506,35,False,8315.9536,12004.0000,1381.7623,2601.0000,4379.8363,6397.2183,3324.4147,5292.5511,3639.0709,5315.2514,own rate (multiplicative),3631.2663,5432.7214,own rate (multiplicative),717.2379,1047.6024,237.2367,369.7461,0.0000,0.0000,0.0000,0.0000
3507,35,False,5956.8441,8601.0000,727.5915,1242.0000,3104.9328,4506.8324,2167.8454,3286.0003,2606.9852,3784.0579,own rate (multiplicative),1858.6989,2647.6330,own rate (multiplicative),502.9421,730.0241,127.6243,189.3846,0.0000,0.0000,0.0000,0.0000
3508,35,False,6331.2191,9139.0000,1519.9082,2508.0000,3392.3623,4935.6342,2911.9962,4459.1192,2263.0007,3292.4973,own rate (multiplicative),819.0060,1178.5685,own rate (multiplicative),16.5342,24.0560,0.3836,0.5750,698.8340,1016.7514,732.4130,1154.1473
3509,35,False,3725.9120,5376.0000,783.8502,1438.0000,1982.7259,2898.7636,1623.6387,2592.6759,1331.5965,1946.8064,own rate (multiplicative),422.2774,633.6744,own rate (multiplicative),3.6153,5.2857,0.5114,0.7995,411.2090,601.1913,377.6300,620.5435
3510,35,False,6050.5974,7515.0000,1413.6249,2063.0000,3237.1904,4058.6552,2751.2395,3667.2807,2293.9239,2876.0268,own rate (multiplicative),2200.7090,2756.6895,own rate (multiplicative),196.6528,246.5552,1.4064,1.8353,0.0000,0.0000,0.0000,0.0000
3511,35,False,2332.7504,4898.0000,595.4479,1345.0000,1254.3030,2645.3328,1101.7834,2390.5344,1985.6767,4187.8044,own rate (multiplicative),1579.7514,3221.0466,own rate (multiplicative),5.2133,10.9949,0.8950,1.9011,0.0000,0.0000,0.0000,0.0000
3512,35,False,3059.4030,6281.0000,781.2343,1723.0000,1645.0565,3392.0501,1445.2370,3064.0812,2595.4066,5351.6394,own rate (multiplicative),2066.2721,4116.7851,own rate (multiplicative),4.2254,8.7127,87.6276,181.8755,0.0000,0.0000,0.0000,0.0000
3513,35,False,0.0000,0.0000,2128.9026,4766.0000,263.1685,589.1585,1733.4479,3880.6908,284.4924,636.8966,own rate (multiplicative),974.3306,2049.8120,own rate (multiplicative),1.9702,4.4108,13.8795,30.4188,0.0000,0.0000,0.0000,0.0000
3514,35,False,7178.7488,19489.0000,2684.9043,4231.0000,3965.3433,10387.1631,4084.7346,8599.3297,3279.7301,8591.2086,own rate (multiplicative),2238.0545,4427.7274,own rate (multiplicative),926.8760,2427.9392,859.6985,1771.8167,0.0000,0.0000,3.2556,7.0532
3515,35,False,8552.2141,11719.0000,3603.5615,4231.0000,4774.0690,6454.4644,5195.9871,6544.3962,3648.1760,4932.2752,own rate (multiplicative),3160.2335,3740.5044,own rate (multiplicative),1069.7451,1446.2781,1084.7448,1337.5221,0.0000,0.0000,4.5971,5.9585
3516,35,False,2280.9282,5935.0000,5967.5997,10117.0000,1892.1629,4254.5668,5462.3246,9807.3454,2292.8202,5155.4529,own rate (multiplicative),8304.4033,14011.7336,own rate (multiplicative),430.6985,968.4343,2894.6130,5087.8737,0.0000,0.0000,0.0000,0.0000
3517,35,False,5515.7470,17122.0000,1207.9239,4204.0000,2941.0536,9185.7949,2442.2965,7951.3441,4516.6917,10568.6831,superzone rate on the increment,3469.9764,7797.7614,superzone rate on the increment,638.9995,1566.2388,617.6535,1400.0138,0.0000,102.1193,0.0000,88.3368
3518,35,False,4569.6837,12291.0000,945.7534,2780.0000,2429.8056,6564.6076,1978.6200,5514.2039,3741.4174,10108.1904,own rate (multiplicative),2700.7941,7073.2886,own rate (multiplicative),520.1191,1405.2063,468.7599,1278.9181,0.0000,0.0000,0.0000,0.0000
3519,35,False,6211.4750,16807.0000,1032.7253,3055.0000,3271.5311,8884.3252,2483.6413,6932.4687,5086.2628,13812.4968,own rate (multiplicative),2948.6893,7734.5942,own rate (multiplicative),702.0630,1906.5555,517.6513,1414.5170,0.0000,0.0000,0.0000,0.0000
3520,35,False,10281.9319,15572.0000,1839.8684,2971.0000,5431.5240,8248.8600,4217.3679,6537.4514,3314.7255,5034.0764,own rate (multiplicative),1785.7041,2601.2730,own rate (multiplicative),1818.6997,2762.0608,568.0411,862.0224,0.0000,0.0000,0.0000,0.0000
3521,35,False,3868.3771,6090.0000,2122.6042,3713.0000,2220.3258,3541.3753,2751.3899,4633.9145,1243.8275,1983.8800,own rate (multiplicative),2079.8976,3291.9050,own rate (multiplicative),708.2230,1129.6015,644.2904,1062.3053,0.0000,0.0000,0.0000,0.0000
3522,35,False,0.0000,0.0000,1494.4253,2366.0000,184.7363,292.4777,1216.8280,1926.5032,0.0000,104.4159,superzone rate on the increment,1516.9702,2256.9767,own rate (multiplicative),5.6704,21.6682,466.3765,722.8514,0.0000,1.7619,0.0000,0.0000
3524,35,False,2633.5150,5408.0000,2229.3448,3515.0000,1608.5090,3171.7125,2511.7187,4292.3254,24.7725,48.8473,own rate (multiplicative),523.5879,840.8543,own rate (multiplicative),2.3087,4.5523,168.3145,281.5886,0.0000,0.0000,0.0000,0.0000
3525,35,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,superzone rate on the increment,491.4940,461.8784,superzone rate on the increment,0.2036,0.2036,33.1857,32.4880,0.0000,0.0000,0.0000,0.0000
3526,35,False,4393.6372,9019.0000,1927.9317,4301.0000,2462.1155,5096.5427,2731.7945,5887.3237,4451.3062,9214.1383,own rate (multiplicative),3097.6355,6273.4968,own rate (multiplicative),246.0092,509.2355,230.6520,486.6301,0.0000,0.0000,0.0000,0.0000
