TAZ_ID,AREA,SETTL_SIZE,CHILD_EDU,ADULT_EDU,STUDENTS,SOCECO,SECTOR_REST,SECTOR_ARA,SECTOR_ORT,POPULATION,HH_AVG_SIZE,HH_AVG_SIZE_ARAB,HH_AVG_SIZE_ORTO,HH_AVG_SIZE_REST,HH_TOT,HH_ARAB,HH_OTRO,HH_REST,EMPL_TOT,EMPL_INDU,EMPL_SERV,EMPL_OTHER,AGE_0_7,AGE_8_18,AGE_19_25,AGE_26_35,AGE_36_64,AGE_65,AGE_0_7_REST,AGE_8_18_REST,AGE_19_25_REST,AGE_26_35_REST,AGE_36_64_REST,AGE_65_REST,AGE_0_7_ARA,AGE_8_18_ARA,AGE_19_25_ARA,AGE_26_35_ARA,AGE_36_64_ARA,AGE_65_ARA,AGE_0_7_ORT,AGE_8_18_ORT,AGE_19_25_ORT,AGE_26_35_ORT,AGE_36_64_ORT,AGE_65_ORT,GIZRA,TABAAT,SZ_OLD,SZ_NEW,PRIMARY_NAFA,SECONDARY_NAFA,PERC_PRIMARY_NAFA,PERC_SECONDARY_NAFA
2416,1.90,2,1605,1379,0,3,0,1,0,7032,3.481188119,3.481188119,0,0,2020,2020,0,0,1244,408,657,179,1043,1314,891,1166,2164,454,0,0,0,0,0,0,1043,1314,891,1166,2164,454,0,0,0,0,0,0,34,3,24,24,חדרה,,1,0
2417,5.12,1,0,0,0,8,1,0,0,518,3.065088757,0,0,3.065088757,169,0,0,169,381,125,201,55,72,88,34,50,194,80,72,88,34,50,194,80,0,0,0,0,0,0,0,0,0,0,0,0,23,2,24,24,חדרה,,1,0
2418,2.61,1,0,0,0,8,1,0,0,334,2.589147287,0,0,2.589147287,129,0,0,129,142,47,75,20,59,30,19,60,124,42,59,30,19,60,124,42,0,0,0,0,0,0,0,0,0,0,0,0,23,2,24,24,חדרה,,1,0
2419,24.92,1,547,350,0,4,0.709883103,0.196599362,0.093517535,1882,3.524344569,3.59223301,4,3.452196382,534,103,44,387,1095,359,578,158,290,479,218,239,488,168,171,371,145,143,364,142,65,64,51,74,97,19,54,44,22,22,27,7,23,2,24,24,חדרה,,1,0
2420,0.16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,24,41,חיפה,,1,0
2421,0.13,3,0,0,0,7,1,0,0,2033,2.692715232,0,0,2.692715232,755,0,0,755,267,88,141,38,448,302,112,299,671,201,448,302,112,299,671,201,0,0,0,0,0,0,0,0,0,0,0,0,1,1,24,41,חיפה,,1,0
2422,1.18,2,0,0,0,3,0,1,0,3317,3.480587618,3.480587618,0,0,953,953,0,0,591,194,312,85,492,620,420,550,1021,214,0,0,0,0,0,0,492,620,420,550,1021,214,0,0,0,0,0,0,34,3,24,24,חדרה,,1,0
2423,0.98,2,0,0,0,3,0,1,0,4113,3.479695431,3.479695431,0,0,1182,1182,0,0,731,240,386,105,610,768,521,682,1266,266,0,0,0,0,0,0,610,768,521,682,1266,266,0,0,0,0,0,0,34,3,24,24,חדרה,,1,0
2424,8.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,3,24,25,חדרה,,1,0
2425,12.14,1,376,0,0,8,1,0,0,1598,3.208835341,0,0,3.208835341,498,0,0,498,780,256,412,112,174,339,141,152,604,188,174,339,141,152,604,188,0,0,0,0,0,0,0,0,0,0,0,0,23,2,24,24,חדרה,,1,0
2426,0.32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,24,41,חיפה,,1,0
2427,5.55,1,0,0,0,8,1,0,0,859,3.368627451,0,0,3.368627451,255,0,0,255,266,87,141,38,91,200,91,80,342,55,91,200,91,80,342,55,0,0,0,0,0,0,0,0,0,0,0,0,23,2,24,24,חדרה,,1,0
