source,own_pc,matched_cellular_pc,congruence,var_share,superzone,loading,origin_score
cellular,1,1,1.0,0.13936032216622485,1,-0.034319605767206544,-0.04857655379782126
cellular,1,1,1.0,0.13936032216622485,2,-0.09174421012201879,-0.06461384004710184
cellular,1,1,1.0,0.13936032216622485,3,0.049260981689931045,0.03585831029820865
cellular,1,1,1.0,0.13936032216622485,4,-0.08835540219919734,-0.0812954224231546
cellular,1,1,1.0,0.13936032216622485,5,-0.06972141262615608,-0.1363143406404438
cellular,1,1,1.0,0.13936032216622485,6,-0.08364065887074468,-0.12782919181241792
cellular,1,1,1.0,0.13936032216622485,7,-0.15860652326725044,-0.1372948181279635
cellular,1,1,1.0,0.13936032216622485,8,-0.07394619832979013,-0.13144577410328953
cellular,1,1,1.0,0.13936032216622485,9,-0.09457237470421086,-0.12910511545521855
cellular,1,1,1.0,0.13936032216622485,10,0.004072367732149279,0.028458149942368137
cellular,1,1,1.0,0.13936032216622485,11,-0.025508108730802174,-0.11337670350635716
cellular,1,1,1.0,0.13936032216622485,12,-0.3265475679087199,-0.14128203667047662
cellular,1,1,1.0,0.13936032216622485,13,-0.15013976672656418,-0.15782103947702808
cellular,1,1,1.0,0.13936032216622485,14,-0.223396093143613,-0.17610895624402503
cellular,1,1,1.0,0.13936032216622485,15,-0.1287605908494222,-0.1625767777623883
cellular,1,1,1.0,0.13936032216622485,16,-0.27667582875747343,-0.18672177277337915
cellular,1,1,1.0,0.13936032216622485,17,-0.3088887015644898,-0.1954614636235734
cellular,1,1,1.0,0.13936032216622485,18,-0.18317060958793782,-0.1600756186149185
cellular,1,1,1.0,0.13936032216622485,19,0.14049752618405037,0.11630375508064178
cellular,1,1,1.0,0.13936032216622485,20,0.15643045035295275,0.1403070237195242
cellular,1,1,1.0,0.13936032216622485,21,0.03897280326515699,0.08129582350752618
cellular,1,1,1.0,0.13936032216622485,22,-0.032359415935155234,-0.05066625680141101
cellular,1,1,1.0,0.13936032216622485,23,-0.06194244164278483,-0.0860285347803066
cellular,1,1,1.0,0.13936032216622485,24,-0.059541823809510994,-0.08004925486030362
cellular,1,1,1.0,0.13936032216622485,25,0.02274576273958189,0.035779233322773545
cellular,1,1,1.0,0.13936032216622485,30,0.03418639285350496,0.0515354956409654
cellular,1,1,1.0,0.13936032216622485,31,0.21475980035615794,0.22318445670508896
cellular,1,1,1.0,0.13936032216622485,32,0.2257248965655089,0.21287588650338166
cellular,1,1,1.0,0.13936032216622485,33,0.20675532561035093,0.18894511045922913
