origin_gs,n_A (pooled obs),lambda (k=1),lambda (k=100)
10,9286,0.999892322601486,0.9893458342211805
21,648,0.9984591679506933,0.8663101604278075
22,548,0.9981785063752276,0.845679012345679
23,1293,0.999227202472952,0.9282124910265613
24,2165,0.9995383194829178,0.9558498896247241
25,643,0.9984472049689441,0.8654104979811574
26,452,0.9977924944812362,0.8188405797101449
27,225,0.995575221238938,0.6923076923076923
31,1151,0.9991319444444444,0.9200639488409272
32,758,0.9986824769433466,0.8834498834498834
33,778,0.9987163029525032,0.8861047835990888
34,477,0.997907949790795,0.8266897746967071
35,1749,0.9994285714285714,0.9459167117360735
36,873,0.9988558352402745,0.8972250770811921
37,10,0.9090909090909091,0.09090909090909091
38,241,0.9958677685950413,0.7067448680351907
41,971,0.9989711934156379,0.9066293183940243
42,386,0.9974160206718347,0.7942386831275721
43,557,0.9982078853046595,0.84779299847793
44,381,0.9973821989528796,0.7920997920997921
45,1290,0.9992254066615027,0.9280575539568345
46,310,0.9967845659163987,0.7560975609756098
47,1133,0.9991181657848325,0.9188969991889699
48,749,0.9986666666666667,0.8822143698468787
49,1543,0.9993523316062176,0.9391357273280584
