TAZ,SuperZone,trips_per_person,population
1901,19,0.476,2275
1902,19,0.71,30168
1903,19,0.755,6432
1904,19,0.79,10284
1905,19,0.75,2804
1906,19,0.607,4900
1907,19,0.83,4116
1908,19,0.4,3500
1909,19,0.522,15532
1911,19,0.348,8050
1912,19,0.749,9100
1913,19,0.557,5180
1914,19,0.875,5600
1916,19,0.777,12530
1917,19,0.809,14101
1918,19,0.688,2800
1919,19,0.769,4550
1923,19,0.477,7700
1924,19,0.347,10983
1926,19,0.452,7350
1928,19,0.6,3500
1929,19,0.655,9380
1930,19,0.982,4419
1931,19,0.458,4200
1933,19,0.771,8400
1934,19,0.441,5950
1935,19,0.429,7350
1936,19,1.0,1750
1938,19,0.761,15400
2002,20,0.853,6316
2003,20,0.82,4594
2004,20,0.715,7444
2005,20,1.122,3036
2007,20,1.001,4503
2008,20,0.616,1795
2009,20,0.623,4154
2011,20,0.612,4418
2012,20,0.704,5591
2101,21,1.166,2472
2102,21,0.704,14307
2103,21,1.019,4050
2105,21,0.812,9705
2106,21,1.264,4008
2107,21,0.316,469
2108,21,1.224,5556
2109,21,0.903,4011
2110,21,0.81,3689
2112,21,1.107,10795
2201,22,0.99,2446
2202,22,0.855,13384
2203,22,0.94,4228
2204,22,0.404,1726
2205,22,1.202,6206
2206,22,1.539,4021
2208,22,1.197,3683
2209,22,1.024,6528
2211,22,0.948,3091
2212,22,0.908,3944
2213,22,0.925,4631
2214,22,1.121,8239
2215,22,1.476,3013
2216,22,1.398,2597
2218,22,1.0,90
2220,22,0.591,12895
2221,22,1.318,4358
2222,22,0.915,3097
2301,23,0.732,9252
2302,23,1.0,1230
2303,23,0.856,3930
2304,23,0.851,3565
2305,23,0.813,5645
2306,23,0.801,3881
2307,23,0.878,5442
2403,24,1.162,3289
2404,24,0.957,5295
2405,24,1.514,3077
2406,24,0.906,6300
2407,24,0.449,3262
2409,24,1.342,9371
2410,24,1.0,4200
2411,24,1.132,3325
2415,24,1.75,2100
2416,24,0.903,4502
2419,24,0.704,10799
2421,24,1.3,825
2422,24,0.757,1726
2423,24,0.588,5925
2501,25,1.079,4365
2503,25,1.088,1662
2504,25,1.391,11787
2505,25,1.177,7380
3001,30,0.796,6433
3002,30,0.585,5935
3003,30,0.844,7727
3004,30,1.078,5043
3005,30,0.457,3687
3006,30,0.542,4200
3007,30,0.47,2684
3008,30,0.701,6961
3009,30,0.663,4054
3010,30,0.706,8626
3011,30,0.607,3028
3012,30,0.619,6428
3013,30,0.495,5481
3101,31,0.794,11747
3103,31,0.48,16336
3104,31,0.666,8221
3106,31,1.062,6013
3107,31,1.2,4225
3108,31,0.76,5562
3201,32,0.792,9199
3205,32,1.373,8525
3206,32,0.865,7613
3207,32,0.684,3457
3208,32,1.36,4484
3210,32,1.3,12171
3212,32,0.812,11759
3213,32,0.849,3495
3215,32,1.213,3871
3305,33,0.678,11784
3307,33,0.486,3675
3310,33,1.167,2100
3311,33,0.788,4025
3312,33,0.5,1050
3313,33,0.708,8953
3314,,0.5,700
3315,33,0.947,11337
3316,33,0.5,4900
3317,33,0.86,5075
3319,33,1.167,1050
3322,33,0.814,5775
3402,34,0.712,3169
3403,34,0.866,9151
3404,34,0.964,3726
3405,34,0.577,3900
3406,34,0.694,1904
3407,34,0.9,4954
3408,34,1.038,3871
3409,34,0.731,3151
3412,34,1.31,5818
3414,34,1.168,7192
3415,34,1.168,5682
3416,34,0.933,1673
3417,34,0.504,634
3419,34,0.46,8156
3423,34,0.469,6779
3424,34,0.874,8344
3426,34,0.524,6657
3427,34,0.62,1285
3429,34,0.814,5070
3502,35,1.027,6105
3504,35,0.0,31
3506,35,0.618,9746
3507,35,0.609,4445
3508,35,0.86,8071
3509,35,0.555,5513
3510,35,0.877,2592
3511,35,1.181,5263
3512,35,1.096,2145
3514,35,0.729,9711
3515,35,0.756,10005
3516,35,0.46,133
3517,35,0.927,3385
3518,35,0.743,7669
3519,35,0.73,8490
3520,35,0.725,10533
3521,35,0.634,4420
3526,35,1.154,12360
3528,35,1.045,6563
3532,35,1.547,2382
3601,36,0.455,10473
3603,36,0.891,9584
3604,36,1.231,2073
3605,36,0.846,10434
3606,36,0.438,2800
3608,36,0.566,5948
3609,36,0.869,6500
3612,36,0.722,45
3614,36,1.323,1790
3615,36,1.4,7971
3616,36,1.26,1494
3617,36,1.479,5674
3618,36,1.08,8761
3619,36,0.944,3790
3622,36,0.935,7986
3626,36,1.326,8543
3627,36,0.793,18144
3704,37,1.016,6193
3706,37,1.53,3957
3707,37,1.114,7875
3708,37,1.16,5250
3710,37,1.095,7330
3801,38,0.657,18911
3802,38,1.0,2800
3804,38,0.616,4442
3806,38,0.635,8159
3807,38,0.5,2800
3808,38,0.667,2100
3809,38,0.788,9111
3810,38,0.896,5048
3811,38,0.755,2858
3812,38,0.455,3850
3815,38,0.737,6650
