TAZ,households,sampled_persons,weighted_persons,weighted_trips_10,weighted_trips_20,rate_10,rate_20,rate_avg
405,10,43,8620.41,4748.06,4748.06,0.550793,0.550793,0.550793
406,4,13,4468.56,3123.15,4495.4,0.698918,1.00601,0.852463
407,7,20,6740.95,2037.74,3678.97,0.302293,0.545764,0.424029
408,19,67,4319.07,2140.3,2496.24,0.495546,0.577958,0.536752
409,6,26,4373.14,3238.35,3238.35,0.740509,0.740509,0.740509
411,31,106,8161.59,4889.36,4906.35,0.599069,0.601152,0.60011
412,12,45,7458.06,3657.95,4202.23,0.49047,0.563448,0.526959
413,4,19,4560.83,3292.27,2573.94,0.721858,0.564358,0.643108
414,2,11,2763.07,2957.79,2373.62,1.07047,0.859052,0.964763
415,17,68,16773.9,11622.6,9953.16,0.692896,0.593373,0.643134
418,4,22,3249.18,852.691,2512.17,0.262432,0.773171,0.517802
419,11,42,5181.2,1774.83,3243.39,0.342552,0.625993,0.484273
420,1,5,123.857,123.857,123.857,1,1,1
421,10,44,6562.51,4841.77,4940.74,0.737792,0.752873,0.745333
422,13,60,9606.33,6745.87,5186.1,0.702232,0.539863,0.621048
501,30,85,8855.44,7568.42,6902.14,0.854664,0.779423,0.817043
503,9,23,3651.3,2784.95,3915.49,0.76273,1.07236,0.917543
504,8,23,4422.85,4073.34,3101.73,0.920977,0.701296,0.811136
505,11,23,4427.81,4100.21,4097.02,0.926013,0.925293,0.925653
506,4,6,968.468,128.005,651.69,0.132172,0.672908,0.40254
507,5,11,1534.56,1364.95,1750.53,0.889473,1.14074,1.01511
508,3,7,1956.29,1559.82,2179.91,0.797336,1.11431,0.955822
509,4,9,2288.01,3640.61,2996,1.59117,1.30944,1.4503
510,5,13,3304.09,1726.9,1040.64,0.522655,0.314955,0.418805
511,12,22,3695.57,2317.28,2663.89,0.627042,0.720834,0.673938
512,16,30,3266.47,1462.42,2464.04,0.447706,0.754343,0.601024
513,10,16,3318.51,1758.1,975.333,0.529785,0.293907,0.411846
514,1,1,200.71,0,0,0,0,0
601,16,38,6139.9,4275.28,4437.54,0.69631,0.722738,0.709524
602,13,33,5361.17,5510.19,5298.84,1.0278,0.988375,1.00809
603,10,26,4678.4,4845.75,4704.77,1.03577,1.00564,1.0207
604,1,4,1400,2100,1400,1.5,1,1.25
605,5,13,2326.55,2229.74,2590.45,0.958391,1.11343,1.03591
606,10,24,4542.85,3298.58,2746.06,0.726104,0.604481,0.665292
607,14,29,5487.25,3399.59,5369.49,0.619544,0.97854,0.799042
608,11,26,3565.34,5211.05,6166.32,1.46159,1.72952,1.59555
609,5,9,1844.78,2526.53,2742.31,1.36955,1.48652,1.42804
610,5,8,1550.78,459.594,932.671,0.296363,0.60142,0.448891
611,7,14,2008.49,2116.36,1186.32,1.0537,0.59065,0.822177
612,21,51,5614.92,6364.48,4863.28,1.13349,0.866137,0.999816
702,14,25,4117.14,4789.36,3568.91,1.16327,0.866842,1.01506
703,12,39,5339.99,8833.09,6744.43,1.65414,1.263,1.45857
704,10,24,4109.64,3139.72,3161.45,0.763988,0.769276,0.766632
705,12,22,4928.32,4072.28,3253.66,0.826301,0.660196,0.743249
706,7,21,1903.59,1077.21,1168.16,0.565887,0.613666,0.589776
707,8,24,4997.57,2733.98,2826.64,0.547061,0.565603,0.556332
708,16,44,3729.97,4442.55,4321.94,1.19104,1.15871,1.17487
709,17,34,5532.69,5656.2,6778.48,1.02232,1.22517,1.12375
710,1,2,524.978,262.489,262.489,0.5,0.5,0.5
711,10,24,3794.37,2534.15,3551.93,0.667872,0.936105,0.801989
713,1,4,449.339,449.339,337.004,1,0.75,0.875
714,4,10,686.097,646.099,442.834,0.941701,0.645439,0.79357
726,11,30,4540.47,3511.13,1845.89,0.773296,0.406543,0.589919
801,6,17,1577.47,1224.72,1441.29,0.776382,0.91367,0.845026
802,14,55,5148.19,5611.03,5828.45,1.0899,1.13214,1.11102
803,20,55,5395.2,4325.12,4865.77,0.80166,0.901871,0.851766
804,12,27,4386.55,4198.08,4262.91,0.957035,0.971814,0.964425
805,21,66,4144.19,3284.62,2862.25,0.792586,0.690666,0.741626
806,10,23,3664.14,2070.7,3461.32,0.565126,0.944647,0.754887
807,10,20,3883,1781.35,1832.63,0.458757,0.471963,0.46536
