k,JSD 10->20,JSD 20->10,JSD avg
0.0,0.02517466342139325,0.02517466342139325,0.02517466342139325
1.0,0.024435080273228018,0.025135290096294477,0.02478518518476125
2.0,0.024609403532027473,0.02565471151249511,0.02513205752226129
5.0,0.02574706304917296,0.027268420255614993,0.026507741652393977
10.0,0.02754457002630533,0.029314597091708694,0.028429583559007012
20.0,0.03031415813727121,0.03219549252541073,0.03125482533134097
50.0,0.036783538164797215,0.038698260753026445,0.037740899458911834
100.0,0.04621715954156683,0.048121792276476685,0.047169475909021756
200.0,0.06194019584436962,0.0637887774281066,0.06286448663623811
500.0,0.0921828387057342,0.09383782865050028,0.09301033367811723
inf,0.18034812453089763,0.18107863997639387,0.18071338225364575
