origin,1520,2402,2412,2420,2405,2421,2404,2426,2413,2407,2406,2403,2415,1521,1524,2401,2408,1518,1519,1517,1516,1515,1514,1512,1510,1511,1501,1502,1215,1522,1503,1509,1508,1505,1506,1504,1302,1304,1507,1306,1225,1307,1312,1303,1308,1313,1309,1216,1217,1311,1310,1305,1401,1417,1408,1409,1726,1727,1218,1719,1212,1224,1214,1205,1213,1221,1220,1219,1211,1513,1523,1210,1209,1203,715,722,918,917,919,920,922,912,923,913,911,914,902,903,904,714,709,905,1222,408,422,423,409,1002,1005,1102,420,2101,1921,1906,2005,2001,2012,1904,2002,2010,2009,2007,2004,2008,2003,1924,1920,1801,1208
1520,39.4953,5.31171,2.96053,2.96053,7.5462,2.96053,2.96053,1.12671,1.12671,3.69309,3.69309,7.5462,7.5462,1.15453,1.64328,1.97276,1.16164,1.64328,0.66009,0.0428431,0,0,4.35817,4.35817,2.06427,10.3886,0.575005,21.3738,0.0508265,4.98388,4.98388,4.98388,4.98388,4.98388,4.98388,4.98388,4.27366,4.27366,4.98388,2.41946,0.0534847,2.74745,2.74745,4.27366,3.7778,3.7778,5.54909,0.501289,0.501289,1.42606,5.54909,2.41946,3.7729,3.76192,3.76192,3.76192,0.0841283,0.0841283,0.595702,0.0841283,0.521174,0.521174,0.501289,0.521174,0.521174,0.797762,0.797762,0.595702,0.0192465,10.3886,4.35817,0.0514716,0.595994,0.0988417,0,0,0.00183735,0.00183735,0.00183735,0,0,0,0,0.00759575,0.000923325,0.000923325,0.0160466,0.0154658,0.0372469,0.0726926,0.0726926,0.0569018,0.0434146,0.00110771,0.000594355,0.000594355,0.000594355,4.23709e-05,0.000167667,0,0.000594355,0.000117873,0.0128276,0.0128276,0,0,0,0.019693,0,0.0410185,0.0782432,0.0782432,0.0782432,0.0410185,0,0.00727414,0.00234923,0.00232476,0.595994
2402,15.9504,168.045,0.853338,0.853338,2.21422,0.853338,0.853338,9.02998,9.02998,21.0245,21.0245,2.21422,2.21422,0.107016,6.86212,57.9864,0.170384,6.86212,8.79303,16.66,10.9675,10.9675,17.0894,17.0894,1.20508,8.82169,0.762711,17.0887,3.00415,6.95727,6.95727,6.95727,6.95727,6.95727,6.95727,6.95727,0.674093,0.674093,6.95727,0.217223,0.46206,0.761439,0.761439,0.674093,0.462329,0.462329,0.732331,1.4074,1.4074,0.202356,0.732331,0.217223,9.46771,10.1766,10.1766,10.1766,0.031412,0.031412,1.24616,0.031412,1.22315,1.22315,1.4074,1.22315,1.22315,4.24692,4.24692,1.24616,0.0653556,8.82169,17.0894,0.370847,2.23956,2.62121,0.000141058,9.70306e-05,0.0120313,0.0120313,0.0120313,0,0,0.0379072,0.0379072,0.0165628,0.0692558,0.0692558,0.0672483,0.0709268,0.261997,0.00376923,0.00376923,1.46952,0.183963,0.00278848,0.00178913,0.00178913,0.00178913,0.000392933,0.00117118,0.000320373,0.00178913,0.000944226,0.00023093,0.00023093,0.00121942,0.00120023,0.00121942,0.00133148,0.000272677,0.00524123,0.00118064,0.00118064,0.00118064,0.00524123,0.000272677,0.00026785,4.11291e-05,0.00129206,2.23956
2412,8.3575,1.0323,280.848,280.848,1.17681,280.848,280.848,1.17668,1.17668,1.98883,1.98883,1.17681,1.17681,0.151419,10.9092,43.0739,1.2614,10.9092,4.66631,22.266,5.19206,5.19206,14.4119,14.4119,1.00337,15.2087,1.38574,42.3066,1.20363,7.12401,7.12401,7.12401,7.12401,7.12401,7.12401,7.12401,0.765471,0.765471,7.12401,0.298612,0.741176,1.03798,1.03798,0.765471,0.52586,0.52586,0.758557,3.02654,3.02654,0.110496,0.758557,0.298612,4.92871,10.541,10.541,10.541,0.152193,0.152193,1.90656,0.152193,2.77763,2.77763,3.02654,2.77763,2.77763,8.36916,8.36916,1.90656,0.0751944,15.2087,14.4119,0.735793,3.32645,2.95506,0.000620647,0,0.0280563,0.0280563,0.0280563,0.028706,0.00467951,0.0123213,0.0123213,0.0992033,0.00817118,0.00817118,0.697202,0.176318,0.553804,0.00292389,0.00292389,3.25691,0.541168,0.000416577,0.00158161,0.00158161,0.00158161,3.36258e-05,0.000398673,0.000381221,0.00158161,0.00236287,0.000392989,0.000392989,0.000385969,0.00340894,0.000385969,0.00083095,0.00088122,0.00199552,0.00108175,0.00108175,0.00108175,0.00199552,0.00088122,6.0394e-05,0.000116083,0.000753727,3.32645
2420,8.3575,1.0323,280.848,280.848,1.17681,280.848,280.848,1.17668,1.17668,1.98883,1.98883,1.17681,1.17681,0.151419,10.9092,43.0739,1.2614,10.9092,4.66631,22.266,5.19206,5.19206,14.4119,14.4119,1.00337,15.2087,1.38574,42.3066,1.20363,7.12401,7.12401,7.12401,7.12401,7.12401,7.12401,7.12401,0.765471,0.765471,7.12401,0.298612,0.741176,1.03798,1.03798,0.765471,0.52586,0.52586,0.758557,3.02654,3.02654,0.110496,0.758557,0.298612,4.92871,10.541,10.541,10.541,0.152193,0.152193,1.90656,0.152193,2.77763,2.77763,3.02654,2.77763,2.77763,8.36916,8.36916,1.90656,0.0751944,15.2087,14.4119,0.735793,3.32645,2.95506,0.000620647,0,0.0280563,0.0280563,0.0280563,0.028706,0.00467951,0.0123213,0.0123213,0.0992033,0.00817118,0.00817118,0.697202,0.176318,0.553804,0.00292389,0.00292389,3.25691,0.541168,0.000416577,0.00158161,0.00158161,0.00158161,3.36258e-05,0.000398673,0.000381221,0.00158161,0.00236287,0.000392989,0.000392989,0.000385969,0.00340894,0.000385969,0.00083095,0.00088122,0.00199552,0.00108175,0.00108175,0.00108175,0.00199552,0.00088122,6.0394e-05,0.000116083,0.000753727,3.32645
2405,28.3753,2.77198,0.737648,0.737648,618.411,0.737648,0.737648,6.18581,6.18581,5.93454,5.93454,618.411,618.411,0.568032,40.2431,101.676,1.92801,40.2431,16.4953,74.5374,7.42518,7.42518,36.8475,36.8475,2.67346,36.864,2.14584,82.9194,3.5853,17.2076,17.2076,17.2076,17.2076,17.2076,17.2076,17.2076,2.02917,2.02917,17.2076,0.694322,3.81202,2.63648,2.63648,2.02917,2.12321,2.12321,2.05448,5.06535,5.06535,0.625389,2.05448,0.694322,13.7541,28.5494,28.5494,28.5494,0.16378,0.16378,4.85677,0.16378,4.79701,4.79701,5.06535,4.79701,4.79701,15.7343,15.7343,4.85677,0.276514,36.864,36.8475,1.76702,4.62878,5.14099,0.000662558,0,0.00882999,0.00882999,0.00882999,0.10706,0.0187366,0.0159928,0.0159928,0.151555,0.0653754,0.0653754,0.332784,0.286919,0.929455,0.0155107,0.0155107,4.61197,1.59519,0.00309803,0.00167519,0.00167519,0.00167519,0.00035135,0.000324301,0.000575468,0.00167519,0.00342666,0.000710297,0.000710297,0.00125102,0.00268484,0.00125102,0.00296528,0.0032143,0.00297089,0.00436014,0.00436014,0.00436014,0.00297089,0.0032143,0.000183497,0.000129085,0.0013885,4.62878
2421,8.3575,1.0323,280.848,280.848,1.17681,280.848,280.848,1.17668,1.17668,1.98883,1.98883,1.17681,1.17681,0.151419,10.9092,43.0739,1.2614,10.9092,4.66631,22.266,5.19206,5.19206,14.4119,14.4119,1.00337,15.2087,1.38574,42.3066,1.20363,7.12401,7.12401,7.12401,7.12401,7.12401,7.12401,7.12401,0.765471,0.765471,7.12401,0.298612,0.741176,1.03798,1.03798,0.765471,0.52586,0.52586,0.758557,3.02654,3.02654,0.110496,0.758557,0.298612,4.92871,10.541,10.541,10.541,0.152193,0.152193,1.90656,0.152193,2.77763,2.77763,3.02654,2.77763,2.77763,8.36916,8.36916,1.90656,0.0751944,15.2087,14.4119,0.735793,3.32645,2.95506,0.000620647,0,0.0280563,0.0280563,0.0280563,0.028706,0.00467951,0.0123213,0.0123213,0.0992033,0.00817118,0.00817118,0.697202,0.176318,0.553804,0.00292389,0.00292389,3.25691,0.541168,0.000416577,0.00158161,0.00158161,0.00158161,3.36258e-05,0.000398673,0.000381221,0.00158161,0.00236287,0.000392989,0.000392989,0.000385969,0.00340894,0.000385969,0.00083095,0.00088122,0.00199552,0.00108175,0.00108175,0.00108175,0.00199552,0.00088122,6.0394e-05,0.000116083,0.000753727,3.32645
2404,8.3575,1.0323,280.848,280.848,1.17681,280.848,280.848,1.17668,1.17668,1.98883,1.98883,1.17681,1.17681,0.151419,10.9092,43.0739,1.2614,10.9092,4.66631,22.266,5.19206,5.19206,14.4119,14.4119,1.00337,15.2087,1.38574,42.3066,1.20363,7.12401,7.12401,7.12401,7.12401,7.12401,7.12401,7.12401,0.765471,0.765471,7.12401,0.298612,0.741176,1.03798,1.03798,0.765471,0.52586,0.52586,0.758557,3.02654,3.02654,0.110496,0.758557,0.298612,4.92871,10.541,10.541,10.541,0.152193,0.152193,1.90656,0.152193,2.77763,2.77763,3.02654,2.77763,2.77763,8.36916,8.36916,1.90656,0.0751944,15.2087,14.4119,0.735793,3.32645,2.95506,0.000620647,0,0.0280563,0.0280563,0.0280563,0.028706,0.00467951,0.0123213,0.0123213,0.0992033,0.00817118,0.00817118,0.697202,0.176318,0.553804,0.00292389,0.00292389,3.25691,0.541168,0.000416577,0.00158161,0.00158161,0.00158161,3.36258e-05,0.000398673,0.000381221,0.00158161,0.00236287,0.000392989,0.000392989,0.000385969,0.00340894,0.000385969,0.00083095,0.00088122,0.00199552,0.00108175,0.00108175,0.00108175,0.00199552,0.00088122,6.0394e-05,0.000116083,0.000753727,3.32645
2426,5.52621,16.1741,3.16317,3.16317,10.7408,3.16317,3.16317,64.9697,64.9697,2.57782,2.57782,10.7408,10.7408,0.969284,9.5264,25.014,5.35789,9.5264,6.68165,42.8656,3.77363,3.77363,18.9014,18.9014,0.993002,9.88489,0.654775,19.5929,0.439875,4.50748,4.50748,4.50748,4.50748,4.50748,4.50748,4.50748,0.616663,0.616663,4.50748,0.263755,0.814126,0.671119,0.671119,0.616663,0.358771,0.358771,0.383025,1.32765,1.32765,0.062762,0.383025,0.263755,3.67246,5.32258,5.32258,5.32258,0.0228652,0.0228652,0.615468,0.0228652,1.18392,1.18392,1.32765,1.18392,1.18392,4.33001,4.33001,0.615468,0.075472,9.88489,18.9014,0.331106,1.09276,0.680096,0.000138631,0,0,0,0,0.0068946,0,0.0275853,0.0275853,0.0167484,0,0,0.0160047,0.293894,0.208089,0.00113222,0.00113222,1.94226,0.122838,0.000688401,0.000468417,0.000468417,0.000468417,0.000239689,0.000541969,0.000422937,0.000468417,0.000732015,0.00107917,0.00107917,0.000134992,0.000431286,0.000134992,0.000104387,9.17007e-05,0.00377082,0.000790938,0.000790938,0.000790938,0.00377082,9.17007e-05,0.00159878,0.000132437,0,1.09276
2413,5.52621,16.1741,3.16317,3.16317,10.7408,3.16317,3.16317,64.9697,64.9697,2.57782,2.57782,10.7408,10.7408,0.969284,9.5264,25.014,5.35789,9.5264,6.68165,42.8656,3.77363,3.77363,18.9014,18.9014,0.993002,9.88489,0.654775,19.5929,0.439875,4.50748,4.50748,4.50748,4.50748,4.50748,4.50748,4.50748,0.616663,0.616663,4.50748,0.263755,0.814126,0.671119,0.671119,0.616663,0.358771,0.358771,0.383025,1.32765,1.32765,0.062762,0.383025,0.263755,3.67246,5.32258,5.32258,5.32258,0.0228652,0.0228652,0.615468,0.0228652,1.18392,1.18392,1.32765,1.18392,1.18392,4.33001,4.33001,0.615468,0.075472,9.88489,18.9014,0.331106,1.09276,0.680096,0.000138631,0,0,0,0,0.0068946,0,0.0275853,0.0275853,0.0167484,0,0,0.0160047,0.293894,0.208089,0.00113222,0.00113222,1.94226,0.122838,0.000688401,0.000468417,0.000468417,0.000468417,0.000239689,0.000541969,0.000422937,0.000468417,0.000732015,0.00107917,0.00107917,0.000134992,0.000431286,0.000134992,0.000104387,9.17007e-05,0.00377082,0.000790938,0.000790938,0.000790938,0.00377082,9.17007e-05,0.00159878,0.000132437,0,1.09276
