TAZ,SZ,corridor,P_2022,P_year,E_2022,E_year,I_2022,I_year,J_2022,J_year,O_2022_car,O_year_car,origin basis,D_2022_car,D_year_car,destination basis,O_2022_transit,O_year_transit,D_2022_transit,D_year_transit,O_2022_taxi,O_year_taxi,D_2022_taxi,D_year_taxi
101,1,False,8850.8255,8487.0000,6613.0000,6613.0000,5297.2255,5113.0793,7725.3806,7629.1596,2536.4362,2448.2626,own rate (multiplicative),2355.9009,2255.3478,own rate (multiplicative),601.6982,580.7815,327.2228,321.4116,0.0000,0.0000,0.0000,0.0000
102,1,False,2424.7991,2319.0000,1482.6498,1457.0000,1410.5657,1353.8459,1848.5270,1799.6611,1497.5887,1437.3697,own rate (multiplicative),2045.3764,1930.3580,own rate (multiplicative),0.3071,0.2948,4.8107,4.6584,0.0000,0.0000,0.0000,0.0000
103,1,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,157.7568,157.7568,superzone rate on the increment,2236.0645,2167.6244,superzone rate on the increment,11.5035,11.5035,6.0265,5.9941,0.0000,0.0000,0.0000,0.0000
104,1,False,3052.5857,3338.0000,198.3560,250.0000,1569.5523,1720.3957,968.8283,1086.3628,1256.7967,1377.5824,own rate (multiplicative),425.5504,462.5714,own rate (multiplicative),218.8656,239.8999,65.0981,72.6035,57.6813,63.2248,0.0000,0.0000
106,1,False,8069.2356,8821.0000,12765.7229,16346.0000,5662.2134,6485.2936,12528.4960,15642.5373,6408.2954,7339.8287,own rate (multiplicative),10652.9153,12893.6665,own rate (multiplicative),312.2622,357.6538,1140.7811,1416.6799,0.0000,0.0000,84.1547,104.8827
107,1,False,5755.3981,5944.0000,2550.1841,2769.0000,3228.2765,3350.7846,3598.6056,3826.6548,3723.9908,3865.3105,own rate (multiplicative),2978.3687,3070.1754,own rate (multiplicative),104.6432,108.6143,98.8622,104.5626,0.0000,0.0000,0.0000,0.0000
108,1,False,3457.3034,3306.0000,3240.3987,3244.0000,2150.4438,2074.3084,3552.8315,3515.7487,3046.4961,2938.6365,own rate (multiplicative),2632.9284,2525.7011,own rate (multiplicative),47.7869,46.0950,168.5554,165.9002,0.0000,0.0000,108.1633,106.8415
109,1,False,3995.2704,3818.0000,3049.0000,3049.0000,2399.0696,2309.3462,3539.2624,3492.3797,560.9587,539.9793,own rate (multiplicative),961.7629,919.9758,own rate (multiplicative),3.4721,3.3423,16.9752,16.6604,0.0000,0.0000,0.0000,0.0000
110,1,False,6329.2070,6390.0000,1505.6690,1585.0000,3389.5837,3430.1601,2899.8699,2980.5427,599.3047,606.4789,own rate (multiplicative),627.2696,624.9867,own rate (multiplicative),1.7787,1.8000,6.1045,6.2406,0.0000,0.0000,0.0000,0.0000
111,1,False,6058.6920,6636.0000,1620.3119,1936.0000,3266.8374,3598.0598,2921.6741,3331.4023,3023.2277,3329.7506,own rate (multiplicative),2843.0984,3142.5840,own rate (multiplicative),270.3195,297.7270,153.0880,173.6191,42.0056,46.2645,0.0000,0.0000
112,1,False,4921.7674,5396.0000,1287.3477,1482.0000,2650.2356,2914.3255,2349.8770,2633.7921,2029.8919,2232.1659,own rate (multiplicative),3026.6340,3288.4857,own rate (multiplicative),339.4498,373.2752,391.4633,436.4038,93.1628,102.4462,0.0000,0.0000
113,1,False,0.0000,0.0000,2973.0000,2973.0000,367.5132,367.5132,2420.7498,2420.7498,359.6533,359.6533,own rate (multiplicative),1527.2457,1480.5006,own rate (multiplicative),9.6607,9.6607,259.2215,257.8292,0.0000,0.0000,345.8550,345.2320
114,1,False,1799.6053,1967.0000,54.5242,64.0000,917.5902,1003.4866,520.3381,572.3246,740.7084,810.0467,own rate (multiplicative),122.6585,130.7839,own rate (multiplicative),122.7790,134.2724,45.1874,49.4351,33.9952,37.1775,0.0000,0.0000
115,1,False,9554.2308,10445.0000,2653.5035,3194.0000,5163.7853,5681.4527,4687.4109,5363.0893,4761.5048,5238.8437,own rate (multiplicative),4678.9861,5189.5948,own rate (multiplicative),410.0815,451.1920,245.1890,279.0256,66.1577,72.7900,0.0000,0.0000
116,1,False,6158.1347,6732.0000,1657.8456,2006.0000,3321.8090,3655.3023,2978.5354,3413.7885,5182.7228,5703.0427,own rate (multiplicative),3427.5879,3808.2210,own rate (multiplicative),183.3493,201.7567,30.5800,34.8605,0.0000,0.0000,30.7398,35.1683
117,1,False,7509.7524,8209.0000,3505.8764,4178.0000,4234.3631,4671.3654,4840.7474,5572.9508,6319.9546,6972.1978,own rate (multiplicative),7175.1753,8007.6483,own rate (multiplicative),241.0564,265.9344,76.0401,87.0716,0.0000,0.0000,64.3492,73.9491
118,1,False,3642.8793,3982.0000,334.8188,409.0000,1885.1920,2066.0042,1236.0576,1386.1465,3065.6828,3359.7181,own rate (multiplicative),623.9173,678.2615,own rate (multiplicative),110.5171,121.1170,14.6646,16.3570,0.0000,0.0000,5.5955,6.2636
201,2,False,1885.3223,1802.0000,1246.7635,1322.0000,1108.3559,1075.4838,1513.7823,1553.0070,811.4103,787.3451,own rate (multiplicative),824.0819,819.5587,own rate (multiplicative),1.7157,1.6648,99.5984,101.6303,0.0000,0.0000,0.0000,0.0000
202,2,False,2198.0935,2285.0000,885.7950,1000.0000,1222.0398,1280.1442,1302.5842,1418.5592,1750.2006,1833.4175,own rate (multiplicative),545.5571,575.9457,own rate (multiplicative),232.9758,244.0531,296.8075,321.4975,0.0000,0.0000,0.0000,0.0000
203,2,False,2905.4436,3016.0000,631.1747,681.0000,1548.5817,1610.6979,1282.3340,1352.1429,1035.1210,1076.6414,own rate (multiplicative),395.2060,403.9659,own rate (multiplicative),329.1975,342.4021,37.8441,39.6900,84.6716,88.0679,0.0000,0.0000
204,2,False,1356.5605,1423.0000,1751.2752,2482.0000,903.0953,1027.0529,1784.7366,2397.2967,563.3509,640.6756,own rate (multiplicative),3849.8894,5012.9759,own rate (multiplicative),1.9608,2.2299,177.2756,236.8415,0.0000,0.0000,121.3889,162.7585
