TAZ,bus_nontransfer,bus_transfer,metronit_nontransfer,metronit_transfer,bus_all,metronit_all,transit_nontransfer,transit_all
604,83.333,1.167,0.000,0.000,84.500,0.000,83.333,84.500
605,135.905,7.119,706.167,19.548,143.024,725.714,842.071,868.738
606,94.881,1.929,0.000,0.000,96.810,0.000,94.881,96.810
607,224.595,4.524,0.000,0.000,229.119,0.000,224.595,229.119
609,230.714,3.119,0.000,0.000,233.833,0.000,230.714,233.833
610,151.143,3.548,0.000,0.000,154.690,0.000,151.143,154.690
611,0.048,0.000,0.000,0.000,0.048,0.000,0.048,0.048
612,367.738,16.667,626.619,23.548,384.405,650.167,994.357,1034.571
613,18.238,0.714,0.048,0.000,18.952,0.048,18.286,19.000
701,7.548,0.238,0.000,0.000,7.786,0.000,7.548,7.786
702,199.857,2.857,0.000,0.000,202.714,0.000,199.857,202.714
703,79.762,1.452,0.000,0.000,81.214,0.000,79.762,81.214
704,214.833,23.786,17.000,1.071,238.619,18.071,231.833,256.690
705,335.857,8.738,0.000,0.000,344.595,0.000,335.857,344.595
707,245.524,4.500,0.000,0.000,250.024,0.000,245.524,250.024
709,88.214,3.810,25.595,0.452,92.024,26.048,113.810,118.071
711,149.905,0.357,0.000,0.000,150.262,0.000,149.905,150.262
712,1.857,0.000,0.000,0.000,1.857,0.000,1.857,1.857
715,0.000,0.000,12.167,0.881,0.000,13.048,12.167,13.048
716,96.952,0.238,0.000,0.000,97.190,0.000,96.952,97.190
717,0.881,0.000,0.000,0.000,0.881,0.000,0.881,0.881
718,0.071,0.000,0.000,0.000,0.071,0.000,0.071,0.071
721,21.310,0.381,0.000,0.000,21.690,0.000,21.310,21.690
725,31.905,0.357,0.000,0.000,32.262,0.000,31.905,32.262
726,8.048,0.024,0.000,0.000,8.071,0.000,8.048,8.071
727,12.048,1.381,0.000,0.000,13.429,0.000,12.048,13.429
801,12.833,0.310,54.405,0.643,13.143,55.048,67.238,68.190
802,126.548,1.143,115.048,1.857,127.690,116.905,241.595,244.595
803,414.619,6.214,0.000,0.000,420.833,0.000,414.619,420.833
804,176.357,9.619,176.857,6.714,185.976,183.571,353.214,369.548
805,13.095,0.357,0.000,0.000,13.452,0.000,13.095,13.452
806,145.048,12.833,240.667,15.119,157.881,255.786,385.714,413.667
807,124.833,1.500,0.000,0.000,126.333,0.000,124.833,126.333
808,57.048,0.452,0.000,0.000,57.500,0.000,57.048,57.500
809,292.310,12.143,443.595,42.643,304.452,486.238,735.905,790.690
901,325.952,4.976,0.000,0.000,330.929,0.000,325.952,330.929
902,177.976,5.548,149.048,2.405,183.524,151.452,327.024,334.976
903,433.119,18.333,331.071,7.024,451.452,338.095,764.190,789.548
904,434.476,7.524,0.000,0.000,442.000,0.000,434.476,442.000
905,53.238,2.929,0.000,0.000,56.167,0.000,53.238,56.167
906,353.738,9.976,505.048,24.048,363.714,529.095,858.786,892.810
907,214.262,3.857,0.000,0.000,218.119,0.000,214.262,218.119
908,298.667,4.524,0.000,0.000,303.190,0.000,298.667,303.190
909,175.381,3.524,0.000,0.000,178.905,0.000,175.381,178.905
910,244.810,12.476,0.000,0.000,257.286,0.000,244.810,257.286
911,1.381,0.143,0.000,0.000,1.524,0.000,1.381,1.524
912,82.643,0.690,0.000,0.000,83.333,0.000,82.643,83.333
913,210.738,3.310,0.000,0.000,214.048,0.000,210.738,214.048
914,1.452,0.095,0.000,0.000,1.548,0.000,1.452,1.548
919,0.048,0.000,0.000,0.000,0.048,0.000,0.048,0.048
921,192.595,5.476,0.000,0.000,198.071,0.000,192.595,198.071
922,7.024,1.143,0.000,0.000,8.167,0.000,7.024,8.167
923,0.714,0.000,0.000,0.000,0.714,0.000,0.714,0.714
925,0.071,0.000,0.000,0.000,0.071,0.000,0.071,0.071
1001,1.286,0.000,0.000,0.000,1.286,0.000,1.286,1.286
1002,32.762,0.119,0.000,0.000,32.881,0.000,32.762,32.881
1003,26.000,0.024,0.000,0.000,26.024,0.000,26.000,26.024
1004,41.429,0.119,0.000,0.000,41.548,0.000,41.429,41.548
1005,26.381,0.143,0.000,0.000,26.524,0.000,26.381,26.524
1006,17.667,0.000,0.000,0.000,17.667,0.000,17.667,17.667
1101,29.119,0.190,0.000,0.000,29.310,0.000,29.119,29.310
1102,40.738,0.476,0.000,0.000,41.214,0.000,40.738,41.214
1103,41.000,0.310,0.000,0.000,41.310,0.000,41.000,41.310
1104,1198.667,15.690,0.000,0.000,1214.357,0.000,1198.667,1214.357
1105,86.595,3.571,92.286,7.619,90.167,99.905,178.881,190.071
1106,64.786,1.714,0.000,0.000,66.500,0.000,64.786,66.500
1107,262.167,4.857,0.000,0.000,267.024,0.000,262.167,267.024
1201,18.381,1.405,0.000,0.000,19.786,0.000,18.381,19.786
1202,2.357,0.429,21.738,1.381,2.786,23.119,24.095,25.905
1203,399.333,76.571,362.524,52.595,475.905,415.119,761.857,891.024
1204,0.071,0.024,0.000,0.000,0.095,0.000,0.071,0.095
1206,17.167,0.405,0.000,0.000,17.571,0.000,17.167,17.571
1207,51.071,6.595,0.000,0.000,57.667,0.000,51.071,57.667
1208,19.857,1.167,0.000,0.000,21.024,0.000,19.857,21.024
1209,16.786,1.714,124.024,21.381,18.500,145.405,140.810,163.905
1210,1.429,0.095,162.952,38.929,1.524,201.881,164.381,203.405
