ClusterName,StopCode,Lat,Long,StopName,TAZ
מטרונית חיפה,47576,32.818631,35.000036,כרמלית,1312.000000
קווי נצרת - נסיעות ותיירות,52269,32.677476,35.242247,כיכר העיר,2108.000000
קווי נצרת – שאמ,53932,32.714054,35.302323,ספוריה/א-סאייג,1923.000000
קווי נצרת – שאמ,53933,32.711107,35.302430,משטרה/אל-קשלה,1909.000000
מרחב נצרת ג'י.בי טורס,52289,32.701855,35.192928,מסעף מנשיה זבדה,2112.000000
קווי נצרת - נסיעות ותיירות,52319,32.716685,35.298565,ספוריה/דושי,1908.000000
הגליל,52348,32.800532,35.178685,תאופיק זיאד/150,405.000000
הגליל,52349,32.803333,35.174009,עירייה/ת.זיאד,405.000000
הגליל,52351,32.803248,35.174043,עירייה/ת.זיאד,409.000000
קווי נצרת – שאמ,53936,32.713995,35.303244,א-סאייג/בלאל,1908.000000
הגליל,52357,32.809479,35.166674,גונבלאט/ג.י.גבור,407.000000
קווי נצרת – שאמ,52417,32.694543,35.290840,פאולוס/א-דיר,1930.000000
חדרה-נתניה,42102,32.396550,35.042185,מסוף ג'ת,4021.000000
חיפה עירוני,42001,32.831697,34.984610,"בי""ח רמב""ם",1502.000000
קווי נצרת - נסיעות ותיירות,53937,32.860636,35.303964,סחנין עיריה,3009.000000
קווי נצרת – שאמ,52419,32.699887,35.296603,פאולוס/זיאד,1926.000000
מרחב נצרת ג'י.בי טורס,52424,32.776890,35.375420,ככר מועצה מקומית,1914.000000
מרחב נצרת ג'י.בי טורס,52425,32.775520,35.370716,קופת חולים כללית,1913.000000
לא מוגדר,-1,31.752829,35.251751,לא מוגדר,
מרחב נצרת ג'י.בי טורס,43029,32.711899,35.125712,צומת קרית טבעון,2205.000000
מרחב נצרת ג'י.בי טורס,43032,32.825506,34.983813,מר. לין/רוטשילד,1506.000000
מרחב נצרת ג'י.בי טורס,52427,32.772657,35.370622,בנק,1914.000000
מרחב נצרת ג'י.בי טורס,47728,32.803164,35.010996,מטה המשטרה,1311.000000
מרחב נצרת ג'י.בי טורס,52428,32.765229,35.375041,מחלף טורען,1914.000000
חדרה-נתניה,47759,32.497892,35.124694,אל עריאן/מסגד,3814.000000
קווי נצרת – שאמ,53938,32.712024,35.303469,ספוריה/ספאפרה,1923.000000
מרחב נצרת ג'י.בי טורס,52430,32.811210,35.373775,נג'ידאת מרכז,1938.000000
מרחב נצרת ג'י.בי טורס,52437,32.749275,35.319321,א.תעשיה ציפורית,1904.000000
מרחב נצרת ג'י.בי טורס,52438,32.742923,35.323377,משהד מרכז,1904.000000
חדרה-נתניה,47769,32.490708,35.117082,"עין אלסהלה/קופ""ח",3814.000000
