orig_station,17004,17008,17010,17012,17014,17016,17018,17020,17022,17024,17026,17028,17110,17111,17112,17113,17115,17116,17117,17123
17004,0,21.86,3.048,8.654,8.014,37.1,84.2,32.43,1.768,6.246,4.553,1.58,0.6772,0.03762,2.182,0,7.299,0.4139,1.204,5.757
17008,0.4169,0,1.807,45.63,39.61,5.142,33.86,5.976,4.586,13.48,9.218,8.57,18.85,6.254,44.7,10.01,24.69,2.131,4.447,0
17010,0.102,1.733,0,4.232,9.585,8.871,27.68,2.957,2.498,3.62,1.733,0.7138,0,0.05098,0.2039,0,4.588,0.3059,0.1529,0.6628
17012,8.506,244,55.69,0,75.03,142.5,184.7,100.3,0.8724,6.325,1.927,4.035,5.38,0.3998,4.762,1.672,0.2181,0,47.22,36.97
17014,41.83,568,116,114.5,0,267.5,257.3,217.7,3.099,17.72,4.837,4.459,13.57,1.738,7.52,2.078,6.689,0.2645,176.2,130.4
17016,2.606,2.806,1.754,18.59,21.55,0,4.059,6.264,4.911,18.19,13.38,9.421,11.53,2.305,26.11,0.7016,12.63,1.553,0.6013,1.153
17018,3.19,12.9,7.365,49.91,37.62,4.691,0,12.48,6.849,28.24,14.64,15.95,18.3,1.22,46.07,5.958,21.2,2.627,12.1,15.2
17020,2.331,2.103,6.674,11.7,21.03,6.079,20.25,0,5.988,50.74,44.93,23.72,12.75,2.605,16.36,2.925,16.14,4.068,28.84,3.702
17022,0.4933,18.54,4.398,2.014,1.398,27.01,52.53,13.2,0,15.33,7.276,2.795,1.809,0.1233,2.179,1.973,0.04111,0.08221,18.09,12.41
17024,1.919,34.54,15.31,7.487,8.428,57.87,145.1,96.74,2.935,0,5.38,7.487,3.424,0.7149,1.016,0.07525,4.44,0.1129,8.127,19.15
17026,0.1419,5.32,5.036,0.9222,0.6739,8.654,25.11,23.87,0.1773,5.498,0,4.469,0.1419,0.07094,0.03547,0,0.9931,0.4611,2.944,3.299
17028,0.5683,15.95,4.58,2.039,2.942,28.55,53.66,45.3,1.504,15.51,19.12,0,2.775,0.03343,0.1672,0.06686,0.468,0.7355,3.744,7.722
17110,0.04195,7.971,0.2098,0.923,1.091,67.88,147.1,54.5,2.307,1.301,0.4615,0.1678,0,25.67,27.94,1.384,0.2937,0.04195,0.1678,7.426
17111,0.2812,61.26,1.406,1.031,1.922,45.75,30.09,43.54,2.391,1.969,0.375,0.5625,44.9,0,31.45,13.73,0.2812,0,2.578,30.8
17112,0.2799,163.7,2.679,8.037,3.838,144.6,144.7,123.3,2.439,5.838,3.119,0.5198,42.46,18.35,0,1.719,0.5998,0,3.159,40.14
17113,0,16.96,0.2563,0.8969,0.3844,48.99,63,43.48,1.11,0.4271,0.08542,0.2136,1.025,18.79,1.409,0,0.2136,0,0.9824,9.396
17115,6.767,311.9,73.05,1.093,3.657,257.7,287.1,176.2,2.144,6.977,1.681,6.977,1.345,0,2.438,0.2102,0,2.522,87.68,50.44
17116,2.863,47.93,5.062,0,0.1745,66.5,63.61,42.17,0.3491,0.4538,0.1047,3.002,0.1047,0.03491,0.1396,0,1.047,0,9.007,5.516
17117,1.337,82.63,7.618,57.58,80.6,153.3,398.1,133.1,4.539,21.52,14.59,12.04,2.918,0.4458,5.997,0.08105,65.57,13.86,0,20.59
17123,0.8322,0,4.993,11.6,11.98,3.606,31.24,4.993,3.662,6.269,2.164,1.775,28.18,2.552,23.75,0.8877,11.37,1.11,0.7213,0
