orig_taz,106,216,242,326,802,807,1208,1212,1218,1307,1503,1517,2112,2209,2410,3615,3709,3907,3919,4010
106,0,114.5,0.2645,6.689,176.2,41.83,116,568,130.4,267.5,257.3,217.7,2.078,13.57,3.099,7.52,1.738,17.72,4.837,4.459
216,75.03,0,0,0.2181,47.22,8.506,55.69,244,36.97,142.5,184.7,100.3,1.672,5.38,0.8724,4.762,0.3998,6.325,1.927,4.035
242,0.1745,0,0,1.047,9.007,2.863,5.062,47.93,5.516,66.5,63.61,42.17,0,0.1047,0.3491,0.1396,0.03491,0.4538,0.1047,3.002
326,3.657,1.093,2.522,0,87.68,6.767,73.05,311.9,50.44,257.7,287.1,176.2,0.2102,1.345,2.144,2.438,0,6.977,1.681,6.977
802,80.6,57.58,13.86,65.57,0,1.337,7.618,82.63,20.59,153.3,398.1,133.1,0.08105,2.918,4.539,5.997,0.4458,21.52,14.59,12.04
807,8.014,8.654,0.4139,7.299,1.204,0,3.048,21.86,5.757,37.1,84.2,32.43,0,0.6772,1.768,2.182,0.03762,6.246,4.553,1.58
1208,9.585,4.232,0.3059,4.588,0.1529,0.102,0,1.733,0.6628,8.871,27.68,2.957,0,0,2.498,0.2039,0.05098,3.62,1.733,0.7138
1212,39.61,45.63,2.131,24.69,4.447,0.4169,1.807,0,0,5.142,33.86,5.976,10.01,18.85,4.586,44.7,6.254,13.48,9.218,8.57
1218,11.98,11.6,1.11,11.37,0.7213,0.8322,4.993,0,0,3.606,31.24,4.993,0.8877,28.18,3.662,23.75,2.552,6.269,2.164,1.775
1307,21.55,18.59,1.553,12.63,0.6013,2.606,1.754,2.806,1.153,0,4.059,6.264,0.7016,11.53,4.911,26.11,2.305,18.19,13.38,9.421
1503,37.62,49.91,2.627,21.2,12.1,3.19,7.365,12.9,15.2,4.691,0,12.48,5.958,18.3,6.849,46.07,1.22,28.24,14.64,15.95
1517,21.03,11.7,4.068,16.14,28.84,2.331,6.674,2.103,3.702,6.079,20.25,0,2.925,12.75,5.988,16.36,2.605,50.74,44.93,23.72
2112,0.3844,0.8969,0,0.2136,0.9824,0,0.2563,16.96,9.396,48.99,63,43.48,0,1.025,1.11,1.409,18.79,0.4271,0.08542,0.2136
2209,1.091,0.923,0.04195,0.2937,0.1678,0.04195,0.2098,7.971,7.426,67.88,147.1,54.5,1.384,0,2.307,27.94,25.67,1.301,0.4615,0.1678
2410,1.398,2.014,0.08221,0.04111,18.09,0.4933,4.398,18.54,12.41,27.01,52.53,13.2,1.973,1.809,0,2.179,0.1233,15.33,7.276,2.795
3615,3.838,8.037,0,0.5998,3.159,0.2799,2.679,163.7,40.14,144.6,144.7,123.3,1.719,42.46,2.439,0,18.35,5.838,3.119,0.5198
3709,1.922,1.031,0,0.2812,2.578,0.2812,1.406,61.26,30.8,45.75,30.09,43.54,13.73,44.9,2.391,31.45,0,1.969,0.375,0.5625
3907,8.428,7.487,0.1129,4.44,8.127,1.919,15.31,34.54,19.15,57.87,145.1,96.74,0.07525,3.424,2.935,1.016,0.7149,0,5.38,7.487
3919,0.6739,0.9222,0.4611,0.9931,2.944,0.1419,5.036,5.32,3.299,8.654,25.11,23.87,0,0.1419,0.1773,0.03547,0.07094,5.498,0,4.469
4010,2.942,2.039,0.7355,0.468,3.744,0.5683,4.58,15.95,7.722,28.55,53.66,45.3,0.06686,2.775,1.504,0.1672,0.03343,15.51,19.12,0
