,"boardings 2022 (legs, May 2022)",boardings 2025 (all),journeys 2025 (non-transfer),Metronit 2025 (all),ratio 2025 / 2022 (legs)
3207,405.75,308.31,304.90,0.00,0.76
3208,21.50,36.31,36.21,0.00,1.69
3209,66.25,57.38,57.17,0.00,0.87
3210,37.25,33.00,32.95,0.00,0.89
3211,7.50,6.62,6.38,0.00,0.88
3212,5.00,10.95,10.88,0.00,2.19
3213,436.00,281.26,274.52,0.00,0.65
3214,0.00,0.17,0.17,0.00,
3215,142.50,98.67,97.10,0.00,0.69
3216,82.50,56.19,55.36,0.00,0.68
3301,4.25,1.83,1.83,0.00,0.43
3302,7.00,4.05,3.98,0.00,0.58
3303,14.00,2.50,2.50,0.00,0.18
3304,12.25,12.38,12.19,0.00,1.01
3305,24.25,17.29,17.19,0.00,0.71
3306,0.00,0.05,0.05,0.00,
3307,6.25,9.55,9.52,0.00,1.53
3308,19.75,9.69,9.57,0.00,0.49
3309,61.00,83.57,82.50,0.00,1.37
3310,51.00,90.21,89.38,0.00,1.77
3311,200.25,197.50,194.79,0.00,0.99
3312,40.25,79.45,76.62,0.00,1.97
3313,212.25,375.40,371.24,0.00,1.77
3314,713.00,607.19,594.40,0.00,0.85
3315,211.00,333.55,329.12,0.00,1.58
3316,166.25,276.93,273.95,0.00,1.67
3317,163.50,161.21,160.79,0.00,0.99
3318,0.00,39.12,38.60,0.00,
3319,116.00,42.38,42.02,0.00,0.37
3320,32.25,4.21,4.21,0.00,0.13
3321,3.75,5.50,5.45,0.00,1.47
3322,40.00,32.69,32.62,0.00,0.82
3401,20.00,6.05,5.90,0.00,0.30
3402,17.50,10.05,10.05,0.00,0.57
3403,6.00,4.90,4.88,0.00,0.82
3404,81.50,79.88,79.88,0.00,0.98
3405,16.50,16.81,16.62,0.00,1.02
3406,13.50,5.79,5.76,0.00,0.43
3407,5.75,5.93,5.93,0.00,1.03
3408,28.50,26.83,26.64,0.00,0.94
3409,4.00,5.17,5.17,0.00,1.29
3410,0.75,0.00,0.00,0.00,0.00
3411,10.25,17.33,16.81,0.00,1.69
3412,185.00,118.79,118.33,0.00,0.64
3413,17.50,26.17,25.52,0.00,1.50
3414,46.00,86.55,85.90,0.00,1.88
3415,151.00,171.38,170.02,0.00,1.13
3416,168.50,275.50,271.81,0.00,1.64
3417,46.75,61.40,60.52,0.00,1.31
3418,10.75,15.31,14.76,0.00,1.42
3419,1.00,7.62,7.60,0.00,7.62
3420,0.50,0.05,0.05,0.00,0.10
3421,30.25,40.12,39.79,0.00,1.33
3422,19.25,14.36,14.31,0.00,0.75
3423,16.00,46.33,46.12,0.00,2.90
3424,68.25,43.29,43.14,0.00,0.63
3425,9.25,3.17,3.14,0.00,0.34
3426,55.50,40.17,40.07,0.00,0.72
3427,0.00,0.26,0.24,0.00,
3428,18.75,6.67,6.67,0.00,0.36
3429,1.00,1.02,1.02,0.00,1.02
3430,0.00,0.79,0.79,0.00,
3501,14.25,10.14,10.10,0.00,0.71
3502,92.25,55.48,55.17,0.00,0.60
3503,10.00,49.17,49.07,0.00,4.92
3504,4.25,7.71,7.64,0.00,1.82
3505,25.50,18.62,18.62,0.00,0.73
3506,213.75,202.43,201.64,0.00,0.95
3507,34.00,67.62,67.43,0.00,1.99
3508,188.00,161.33,161.00,0.00,0.86
3509,42.50,45.95,45.86,0.00,1.08
3510,24.00,31.48,31.40,0.00,1.31
3511,114.75,72.26,71.50,0.00,0.63
3512,80.25,88.50,88.05,0.00,1.10
3513,33.75,38.14,37.86,0.00,1.13
3514,415.25,201.76,200.40,0.00,0.49
3515,735.00,807.21,802.90,0.00,1.10
3516,1168.00,661.00,630.43,0.00,0.57
3517,560.25,366.31,362.93,0.00,0.65
3518,272.00,165.40,164.81,0.00,0.61
3519,538.50,214.98,212.48,0.00,0.40
3520,1022.75,849.19,841.74,0.00,0.83
3521,800.50,491.71,485.71,0.00,0.61
3522,86.75,35.48,34.50,0.00,0.41
3523,106.25,76.02,74.69,0.00,0.72
3524,61.75,33.88,33.10,0.00,0.55
3525,2.25,3.62,3.45,0.00,1.61
3526,45.75,54.64,54.45,0.00,1.19
3527,97.00,71.93,71.17,0.00,0.74
3528,78.50,72.45,72.21,0.00,0.92
3529,8.50,8.93,8.93,0.00,1.05
3530,53.00,41.19,39.81,0.00,0.78
3531,34.50,30.50,30.33,0.00,0.88
3532,65.50,49.60,49.38,0.00,0.76
3601,28.50,28.05,27.64,0.00,0.98
3602,21.75,28.10,28.07,0.00,1.29
3603,28.00,24.93,24.76,0.00,0.89
3604,52.50,35.33,35.21,0.00,0.67
3605,21.50,12.55,12.55,0.00,0.58
3606,19.00,15.14,15.05,0.00,0.80
3607,1.75,1.12,1.12,0.00,0.64
3608,8.50,17.50,17.45,0.00,2.06
3609,1012.75,976.24,969.62,0.00,0.96
3610,83.50,72.12,69.29,0.00,0.86
3611,63.75,13.00,12.93,0.00,0.20
3612,899.50,1011.55,1001.31,0.00,1.12
3613,223.25,156.10,150.52,0.00,0.70
3614,466.75,394.95,392.24,0.00,0.85
3615,1773.00,722.48,701.05,0.00,0.41
3616,32.00,23.62,22.10,0.00,0.74
3617,1186.50,739.17,712.55,0.33,0.62
3618,336.50,309.00,307.31,0.00,0.92
3619,139.25,166.43,165.79,0.00,1.20
3620,47.50,32.57,32.52,0.00,0.69
3621,30.75,9.00,8.17,0.00,0.29
3622,18.25,16.69,16.64,0.00,0.91
3623,62.75,47.57,47.43,0.00,0.76
3624,15.00,8.76,8.74,0.00,0.58
3625,4.25,3.24,3.17,0.00,0.76
3626,12.25,8.00,8.00,0.00,0.65
3627,58.00,11.19,11.19,0.00,0.19
3628,20.75,21.69,21.69,0.00,1.05
3701,7.50,7.62,7.60,0.00,1.02
3703,5.00,7.10,7.10,0.00,1.42
3704,339.75,187.10,182.88,0.00,0.55
3705,31.00,2.19,2.17,0.00,0.07
3706,62.25,39.19,39.10,0.00,0.63
3707,163.25,142.55,141.36,0.00,0.87
3708,277.00,203.05,202.33,0.00,0.73
3709,288.25,34.24,34.12,0.00,0.12
3710,22.00,20.67,20.62,0.00,0.94
3711,6.25,4.62,4.62,0.00,0.74
3712,5.00,2.69,2.69,0.00,0.54
3713,3.25,1.76,1.76,0.00,0.54
3801,35.50,34.60,34.55,0.00,0.97
3802,26.00,24.57,24.52,0.00,0.95
3803,69.00,44.40,43.90,0.00,0.64
3804,74.75,94.52,93.74,0.00,1.26
3805,644.50,404.07,359.29,0.00,0.63
3806,142.25,87.14,85.29,0.00,0.61
3807,107.75,59.71,59.60,0.00,0.55
3808,0.00,13.29,13.26,0.00,
3809,127.00,79.40,78.74,0.00,0.63
3810,58.50,35.24,34.29,0.00,0.60
3811,129.50,62.81,62.31,0.00,0.49
3812,78.75,56.45,55.71,0.00,0.72
3813,1.00,0.00,0.00,0.00,0.00
3814,19.75,16.86,16.86,0.00,0.85
3815,30.75,53.90,53.50,0.00,1.75
3816,132.50,158.48,140.93,0.00,1.20
3817,4.00,5.52,5.31,0.00,1.38
3818,74.75,48.36,47.00,0.00,0.65
3819,32.50,37.19,32.17,0.00,1.14
3820,92.75,93.17,89.29,0.00,1.00
3821,9.25,7.19,7.19,0.00,0.78
3822,157.75,192.98,192.50,0.00,1.22
3823,16.25,39.83,39.48,0.00,2.45
3824,10.00,1.93,1.93,0.00,0.19
3825,230.25,449.21,439.90,0.00,1.95
3826,306.00,384.17,379.95,0.00,1.26
3827,75.75,116.24,115.50,0.00,1.53
3828,185.50,272.98,270.10,0.00,1.47
3829,0.00,2.74,2.74,0.00,
3830,8.25,39.14,38.93,0.00,4.74
3831,2.50,1.10,1.10,0.00,0.44
3901,6.75,10.60,10.60,0.00,1.57
3902,2.25,1.33,1.33,0.00,0.59
3903,96.00,85.14,85.10,0.00,0.89
3904,79.75,90.67,87.45,0.00,1.14
3905,11.00,4.14,3.98,0.00,0.38
3906,87.00,92.76,91.05,0.00,1.07
3907,2675.50,273.83,252.07,0.00,0.10
3908,33.50,20.88,20.14,0.00,0.62
3909,413.75,262.95,262.67,0.00,0.64
3910,219.25,180.93,179.17,0.00,0.83
3911,559.75,403.62,394.00,0.00,0.72
3912,222.75,259.86,255.98,0.00,1.17
3913,7.75,10.67,10.55,0.00,1.38
3914,46.75,55.10,54.79,0.00,1.18
3915,4.25,3.57,3.57,0.00,0.84
3916,157.75,174.50,171.21,0.00,1.11
3917,310.50,283.21,265.71,0.00,0.91
3918,416.50,474.38,471.19,0.00,1.14
3919,1576.50,399.10,382.26,0.00,0.25
3920,0.50,0.00,0.00,0.00,0.00
3921,93.00,50.31,45.95,0.00,0.54
3922,4.25,0.98,0.95,0.00,0.23
4001,154.00,101.36,97.38,0.00,0.66
4002,80.75,89.05,81.33,0.00,1.10
4003,103.25,47.02,46.10,0.00,0.46
4004,673.25,567.88,560.33,0.00,0.84
4005,155.00,139.86,139.19,0.00,0.90
4006,0.75,0.60,0.55,0.00,0.79
4007,250.00,209.52,202.40,0.00,0.84
4008,89.00,52.57,44.93,0.00,0.59
4010,2838.25,685.52,672.43,0.00,0.24
4011,496.50,388.02,379.86,0.00,0.78
4012,621.75,729.60,724.62,0.00,1.17
4013,113.25,51.17,50.95,0.00,0.45
4014,1005.75,834.50,784.86,0.00,0.83
4015,1813.25,1517.76,1420.07,0.00,0.84
4016,1018.50,693.29,686.76,0.00,0.68
4017,91.50,79.19,78.81,0.00,0.87
4018,36.50,25.31,24.71,0.00,0.69
4019,72.50,73.90,71.71,0.00,1.02
4020,56.25,23.50,22.71,0.00,0.42
4021,76.25,80.67,77.12,0.00,1.06
4022,8.75,7.21,7.21,0.00,0.82
