StopCode,Lat,Long,TAZ
51113,32.727787,35.335136,2012.000000
41965,32.766365,34.969494,2404.000000
41075,32.797920,34.986832,1612.000000
47051,32.715034,35.121479,2204.000000
58529,33.212299,35.568237,3207.000000
40341,32.571785,34.952248,2503.000000
42353,32.767456,35.036385,1805.000000
50702,32.908672,35.293736,327.000000
41266,32.795612,35.016872,1703.000000
17016,32.819729,35.000694,1307.000000
47464,32.843685,35.089375,602.000000
55521,32.668892,35.108368,2210.000000
17022,32.692989,34.940483,2410.000000
41459,32.710751,34.948257,2410.000000
53559,32.946400,35.544552,3216.000000
54172,32.701019,35.206913,2102.000000
51533,32.681042,35.204113,2112.000000
55320,32.628658,35.290001,2107.000000
58235,33.010426,35.288071,3415.000000
40322,32.752281,35.071514,1105.000000
43265,32.724537,35.098457,2207.000000
17112,32.621910,35.295284,3615.000000
17113,32.647072,35.209728,2112.000000
53063,32.952862,35.707752,3108.000000
17014,33.004555,35.098743,106.000000
50015,32.990387,35.090813,117.000000
17012,32.928329,35.082855,216.000000
57838,33.226536,35.647160,3202.000000
53444,32.646351,35.091839,2214.000000
17026,32.485180,34.953892,3919.000000
42951,32.823215,34.992313,1302.000000
41559,32.800529,34.994938,1631.000000
41869,32.817856,34.959057,1512.000000
41600,32.807873,35.112228,906.000000
42342,32.773094,35.030342,1805.000000
51087,32.966766,35.495285,3314.000000
47463,32.835770,35.084480,605.000000
57001,32.787415,35.537235,3516.000000
41935,32.790272,34.963268,1518.000000
41662,32.817294,34.978258,1601.000000
52184,32.700323,35.317344,2010.000000
42001,32.831612,34.984688,1502.000000
56924,32.690788,35.230991,2112.000000
54029,32.707947,35.332077,2003.000000
41748,32.782623,35.018360,1712.000000
55487,32.705063,35.306156,1909.000000
57126,32.799015,35.517838,3514.000000
54180,32.721253,35.336512,2005.000000
55686,32.711075,35.292240,1924.000000
51430,32.989754,35.560876,3215.000000
53816,32.695312,35.281784,2103.000000
41061,32.818516,34.965591,1513.000000
47489,32.793308,35.035580,1219.000000
59696,32.659611,35.105572,2210.000000
17117,32.834152,35.071789,609.000000
41182,32.775597,35.008224,1715.000000
47488,32.792896,35.034004,1219.000000
46152,32.505498,35.057190,3820.000000
52082,32.851208,35.206604,413.000000
40979,32.787033,34.985664,1615.000000
40986,32.788837,34.986469,1616.000000
40990,32.794384,34.985355,1611.000000
41235,32.795677,35.008560,1704.000000
42362,32.789608,34.962090,1517.000000
17024,32.514256,34.950176,3907.000000
41484,32.836399,35.084869,605.000000
41566,32.812931,34.988354,1403.000000
