orig_station,1.7e+04,1.7e+04,1.7e+04,1.701e+04,1.701e+04,1.701e+04,1.701e+04,1.702e+04,1.702e+04,1.702e+04,1.702e+04,1.702e+04,1.703e+04,1.703e+04,1.703e+04,1.703e+04,1.703e+04,1.704e+04,1.704e+04,1.704e+04,1.704e+04,1.704e+04,1.705e+04,1.705e+04,1.705e+04,1.705e+04,1.705e+04,1.706e+04,1.706e+04,1.706e+04,1.706e+04,1.706e+04,1.707e+04,1.707e+04,1.707e+04,1.707e+04,1.707e+04,1.708e+04,1.708e+04,1.708e+04,1.709e+04,1.709e+04,1.709e+04,1.709e+04,1.709e+04,1.71e+04,1.71e+04,1.71e+04,1.71e+04,1.71e+04,1.711e+04,1.711e+04,1.711e+04,1.711e+04,1.711e+04,1.711e+04,1.711e+04,1.711e+04,1.712e+04,1.712e+04,1.712e+04,1.712e+04,1.712e+04,1.712e+04,1.712e+04,1.712e+04,1.712e+04
17004,0.1129,0.9406,0,21.86,3.048,8.654,8.014,37.1,84.2,32.43,1.768,6.246,4.553,1.58,4.026,1.204,2.37,11.02,20.88,0.3762,2.107,0.1129,24.57,0.1129,0.1505,0.1505,0.4891,0.07525,0.5644,0.3386,0.03762,0.2634,0.03762,0,0.1881,0.07525,0.1505,0,0,0,0,0,5.267,0.07525,0.07525,0.6772,0,0,1.392,7.713,0,0,0,0.6772,0.03762,2.182,0,2.295,7.299,0.4139,1.204,2.069,0.03762,0,0.03762,0,5.757
17008,0.6948,0.9728,0.4169,0,1.807,45.63,39.61,5.142,33.86,5.976,4.586,13.48,9.218,8.57,8.616,2.687,33.58,45.3,105.5,2.085,6.3,0.5095,75.83,0.4169,0.2779,1.251,0.3243,0.7412,7.597,3.104,0.4169,2.455,0.2316,0,1.158,0.4632,0.5559,1.436,0.5559,0,0,0.1853,15.52,1.019,3.521,1.714,0.09265,0.8338,3.845,26.54,0.04632,0,0.04632,18.85,6.254,44.7,10.01,5.049,24.69,2.131,4.447,10.38,0,0.3243,3.798,2.223,0
17010,0.8157,1.071,0.102,1.733,0,4.232,9.585,8.871,27.68,2.957,2.498,3.62,1.733,0.7138,1.835,0.3059,2.651,27.94,58.12,2.09,1.326,0.102,60.11,0.3569,0.9177,0.5098,0.3059,0,1.071,0.6628,0,1.02,0.05098,0,0.3059,0.102,0.102,0.102,0.05098,0,0,0,7.036,0.102,0.1529,0.2039,0.102,0,3.059,11.47,0.05098,0,0,0,0.05098,0.2039,0,4.588,4.588,0.3059,0.1529,6.373,0,0.05098,0.05098,0,0.6628
17012,0.8724,0.8724,8.506,244,55.69,0,75.03,142.5,184.7,100.3,0.8724,6.325,1.927,4.035,4.289,0.5816,21.08,29.3,40.89,0.6179,2.181,1.054,30.75,0.03635,0.836,1.781,0.0727,0.03635,7.052,2.254,0.109,2.326,0.03635,0,0.4362,0,0,0,0,0,0,0,7.343,0.9087,0.727,0.1817,0,0.9814,1.236,15.67,0,0,0,5.38,0.3998,4.762,1.672,2.799,0.2181,0,47.22,3.38,0.109,0.3271,1.418,0.7997,36.97
17014,1.058,0.9069,41.83,568,116,114.5,0,267.5,257.3,217.7,3.099,17.72,4.837,4.459,8.314,2.305,39.49,44.18,64.51,1.587,6.009,1.134,65.98,0.7936,0.9825,0.718,0.1134,0.3023,10.05,4.157,0.07558,2.57,0.1512,0,0.6802,0.03779,0,0,0,0,0,0,12.21,1.663,2.003,0.6046,0,0.3023,1.814,20.52,0,0,0,13.57,1.738,7.52,2.078,4.913,6.689,0.2645,176.2,4.006,0.1512,1.398,1.549,1.625,130.4
17016,1.553,2.155,2.606,2.806,1.754,18.59,21.55,0,4.059,6.264,4.911,18.19,13.38,9.421,12.03,2.405,52.07,67.75,140.2,2.957,5.512,2.556,137.7,0.2004,1.804,0.6515,0.7517,0.1503,7.667,1.052,0.1002,4.259,0.05011,0,1.203,0.9521,0.6013,1.002,0.7016,0,0,0.1002,25.46,2.205,6.464,0.8018,0.9521,1.604,1.654,35.08,0,0,0.05011,11.53,2.305,26.11,0.7016,14.78,12.63,1.553,0.6013,14.18,0.05011,0.2506,1.403,2.506,1.153
17018,0.8444,2.533,3.19,12.9,7.365,49.91,37.62,4.691,0,12.48,6.849,28.24,14.64,15.95,10.79,1.736,69.57,90.58,137.3,1.501,4.785,1.83,141.7,0.1876,1.689,0.4691,0.2815,0.3284,3.753,1.126,0.09382,4.738,0.516,0,0.9382,0.6098,0.1407,0.2346,0.9382,0.2815,0,0.1876,16.09,2.533,2.111,0.7506,0.1407,1.36,2.392,32.56,0,0,0.04691,18.3,1.22,46.07,5.958,16.84,21.2,2.627,12.1,17.4,0.09382,0.3284,2.392,4.222,15.2
17020,6.079,6.674,2.331,2.103,6.674,11.7,21.03,6.079,20.25,0,5.988,50.74,44.93,23.72,20.07,8.959,286.6,322.6,586.9,16.82,36.29,6.811,676.6,2.285,4.845,4.388,3.474,1.92,27.79,11.79,0.4571,23.81,3.245,0.32,3.52,1.554,2.057,6.902,6.034,3.108,0,1.006,64.27,9.782,3.565,6.171,1.6,3.245,23.13,107.6,0.5485,0.1371,0.2743,12.75,2.605,16.36,2.925,73.27,16.14,4.068,28.84,60.98,1.417,3.977,5.257,12.62,3.702
17022,1.398,1.726,0.4933,18.54,4.398,2.014,1.398,27.01,52.53,13.2,0,15.33,7.276,2.795,2.754,0.781,11.8,59.36,69.02,1.274,1.028,0.37,74.49,0.04111,0.4522,0.4933,0.2466,0,0.9044,1.069,0.1644,4.111,0.04111,0,0.6166,1.726,0,0.08221,0.3289,1.151,0,0.04111,8.55,0.1644,0.3289,2.055,0,0.2877,3.33,12.13,0,0,0.1233,1.809,0.1233,2.179,1.973,6.166,0.04111,0.08221,18.09,10.36,0.37,0.2466,0.2877,0.4522,12.41
17024,10.61,13.81,1.919,34.54,15.31,7.487,8.428,57.87,145.1,96.74,2.935,0,5.38,7.487,42.63,12.98,158.8,467.6,847.9,15.35,22.88,5.456,762,3.687,19.94,8.165,4.477,3.612,18.32,6.622,3.085,27.09,3.01,0.2258,3.8,4.44,1.392,3.574,5.079,4.44,0,2.333,85.52,7.262,6.472,9.068,0.301,2.86,21.86,133.6,2.333,1.054,0.6773,3.424,0.7149,1.016,0.07525,102.8,4.44,0.1129,8.127,75.89,1.43,2.822,7.977,6.321,19.15
17026,1.738,1.49,0.1419,5.32,5.036,0.9222,0.6739,8.654,25.11,23.87,0.1773,5.498,0,4.469,58.95,16.49,174.5,193.5,370.2,6.491,10.29,1.277,325.9,0.9576,0.9576,2.164,0.9222,2.199,14.65,0.7448,1.809,21.46,1.88,0.4966,1.029,1.206,0.3192,1.206,0.9576,0.4256,0,0.1064,9.789,6.774,3.192,3.086,1.064,2.376,13.44,62.92,0.1419,0,0.07094,0.1419,0.07094,0.03547,0,131.5,0.9931,0.4611,2.944,15.53,0.2128,1.632,6.1,7.838,3.299
17028,2.574,3.51,0.5683,15.95,4.58,2.039,2.942,28.55,53.66,45.3,1.504,15.51,19.12,0,67.83,13.14,207.9,316.2,795.5,13.37,18.62,2.541,666.9,2.206,4.179,5.249,1.137,2.908,22.2,3.176,4.379,21.3,2.808,0.234,3.544,2.808,1.203,3.477,6.251,1.237,0,0.9695,37.04,5.282,4.446,4.346,0.6686,3.443,13.1,115.9,0.4012,0.1003,0.5349,2.775,0.03343,0.1672,0.06686,241.2,0.468,0.7355,3.744,33.1,1.036,2.741,9.394,9.16,7.722
17110,0.2517,0.6293,0.04195,7.971,0.2098,0.923,1.091,67.88,147.1,54.5,2.307,1.301,0.4615,0.1678,0.6293,0.1678,4.489,16.03,28.07,0.5034,1.342,0.6293,30.42,0.04195,0.04195,0.1259,0,0.04195,0.1259,0.1678,0,0.7132,0,0,0.04195,0,0,0,0,0,0,0,2.643,0.04195,0,0.1678,0,0.04195,0.0839,6.419,0,0,0,0,25.67,27.94,1.384,0.3356,0.2937,0.04195,0.1678,0.9649,0,0.04195,0.1259,0.0839,7.426
17111,0,0,0.2812,61.26,1.406,1.031,1.922,45.75,30.09,43.54,2.391,1.969,0.375,0.5625,0.7968,0.3281,2.156,8.156,13.87,0.1875,0.4687,0,14.44,0.04687,0.09375,0,0,0,0,0,0,0,0,0,0.04687,0,0,0,0,0,0,0,2.062,0.04687,0.04687,0,0,0.09375,0,2.672,0,0,0,44.9,0,31.45,13.73,1.875,0.2812,0,2.578,0,0,0,0.1875,0.09375,30.8
17112,0.2399,0.9196,0.2799,163.7,2.679,8.037,3.838,144.6,144.7,123.3,2.439,5.838,3.119,0.5198,1.08,0.03998,8.876,26.75,44.14,0.4398,0.7597,0.1599,49.82,0.07997,0.4398,0.2799,0.07997,0,1.04,0.4398,0,1.12,0,0,0,0,0,0,0,0,0,0,4.598,0.07997,0.5998,0.12,0,0.12,0.5998,8.636,0,0,0,42.46,18.35,0,1.719,0.8796,0.5998,0,3.159,0.7197,0.03998,0.4398,0.12,0.12,40.14
17113,0.1708,0.3844,0,16.96,0.2563,0.8969,0.3844,48.99,63,43.48,1.11,0.4271,0.08542,0.2136,0.1708,0.1281,5.552,9.268,20.93,0.598,0.5125,0.6834,22,0,0.1281,0.5552,0,0,0.3844,0,0,1.239,0,0,0,0,0,0,0,0,0,0,2.136,0.1708,0.1708,0.04271,0,0.04271,0.1708,7.261,0,0,0,1.025,18.79,1.409,0,0.3417,0.2136,0,0.9824,0.3844,0,0.1281,0.04271,0.3844,9.396
