bin,pairs,car,transit,transit share,mid
"(-10, 0]",5,1749.019,29.78,0.0167,-5.0
"(0, 5]",24,4614.543,1439.105,0.2377,2.5
"(5, 10]",48,12168.196,3337.739,0.2153,7.5
"(10, 15]",57,8901.699,1676.468,0.1585,12.5
"(15, 20]",74,8413.506,1965.809,0.1894,17.5
"(20, 30]",152,13292.244,3125.861,0.1904,25.0
"(30, 45]",159,6056.654,1595.834,0.2085,37.5
"(45, 90]",47,855.343,595.899,0.4106,67.5
