fit,pairs,trips,lambda (per gen-min),se,rho2 vs constant-only,observed transit share
constant + λ,597,70168,-0.0096,0.0004,0.0020,0.2012
distance-band constants + λ,597,70168,0.0084,0.0004,0.0270,0.2012
