o,d,o_name,d_name,car_2022,transit_2022,gc_car,gc_bus,gc_brt,gc_lrt_ug,gc_lrt_ground,P_lrt_of_transit_ug,lrt_trips_ug,lrt_from_bus_ug,lrt_from_car_ug,P_lrt_of_transit_ground,lrt_trips_ground,lrt_legs_ug,lrt_status_ug
201,202,TiratCarmel,Matam-NeotPeres,1924.92,219.46,12.27,35.32,,48.34,53.04,0.31,81.48,68.92,12.55,0.26,64.28,directLRT,derived
201,203,TiratCarmel,HofCarmel-NeveDavid,0.0,12.77,17.08,46.52,,54.17,62.04,0.39,4.95,4.95,0.0,0.28,3.61,directLRT,derived
201,204,TiratCarmel,Hecht-Shprintzak,0.0,38.86,19.39,43.66,,56.89,66.29,0.31,12.1,12.1,0.0,0.2,7.95,directLRT,derived
201,205,TiratCarmel,EinHayam,204.34,6.93,27.94,42.51,,61.2,72.3,0.25,1.95,1.7,0.24,0.14,1.07,directLRT,derived
201,206,TiratCarmel,BatGalim-KiryatEliezer,452.45,147.84,21.73,49.73,,66.37,80.82,0.27,44.73,39.82,4.91,0.13,20.93,directLRT,derived
201,207,TiratCarmel,Hamoshava,0.0,21.53,19.98,51.61,,61.66,77.9,0.35,7.61,7.61,0.0,0.17,3.69,directLRT,derived
201,208,TiratCarmel,LowerCity,265.8,42.28,21.02,56.02,,68.46,86.4,0.32,16.04,13.6,2.43,0.14,6.27,directLRT,derived
201,209,TiratCarmel,Namal-Giborim,177.28,24.55,24.48,75.01,,79.14,99.48,0.44,13.78,10.76,3.02,0.19,5.03,directLRT,derived
201,210,TiratCarmel,Hamifrats,414.05,8.15,21.85,80.34,,91.21,114.94,0.34,3.42,2.79,0.63,0.11,0.96,directLRT,derived
201,211,TiratCarmel,Bazan-Hutsot,0.0,5.64,24.62,78.35,,81.22,85.92,0.46,2.58,2.58,0.0,0.39,2.19,directLRT→bus,derived_feeder
201,212,TiratCarmel,TsometKiryatAta,573.86,4.81,25.46,65.94,,74.81,79.51,0.37,2.24,1.78,0.45,0.31,1.77,directLRT→bus,derived_feeder
201,213,TiratCarmel,KiryatAta North,0.0,0.77,32.97,76.81,,99.83,104.53,0.2,0.15,0.15,0.0,0.16,0.12,directLRT→bus,assumed
201,214,TiratCarmel,KiryatAta North-East,0.0,0.31,37.73,94.59,,117.6,122.3,0.2,0.06,0.06,0.0,0.16,0.05,directLRT→bus,assumed
201,215,TiratCarmel,Shefaram,0.0,0.0,43.27,91.85,,113.63,119.56,0.0,0.0,0.0,0.0,0.0,0.0,directLRT→bus,derived_feeder
201,216,TiratCarmel,Hamovil,0.0,0.0,54.2,110.17,,133.13,137.88,0.0,0.0,0.0,0.0,0.0,0.0,directLRT→bus,derived_feeder
201,217,TiratCarmel,Nazareth,0.0,1.67,67.17,106.42,,123.09,134.14,0.27,0.45,0.45,0.0,0.16,0.27,directLRT→bus,derived_feeder
201,101,TiratCarmel,TsurShalom,0.0,0.57,36.3,79.91,,85.05,89.75,0.42,0.24,0.24,0.0,0.36,0.2,directLRT→bus,derived_feeder
201,102,TiratCarmel,Kiryon,0.0,2.99,34.9,75.8,,80.8,85.5,0.43,1.27,1.27,0.0,0.36,1.07,directLRT→bus,derived_feeder
201,103,TiratCarmel,KiryatBialik Center,0.0,2.65,32.2,75.45,,79.77,84.47,0.44,1.15,1.15,0.0,0.37,0.97,directLRT→bus,derived_feeder
201,104,TiratCarmel,KiryatHaim,0.0,3.18,29.48,72.05,,77.11,81.81,0.42,1.35,1.35,0.0,0.36,1.14,directLRT→bus,derived_feeder
201,301,TiratCarmel,SavyoneyYam,0.0,0.17,34.38,85.3,,108.31,113.01,0.2,0.03,0.03,0.0,0.16,0.03,directLRT→bus,assumed
201,302,TiratCarmel,KiryatYam A,0.0,1.1,32.43,83.93,,106.94,111.64,0.2,0.22,0.22,0.0,0.16,0.18,directLRT→bus,assumed
201,303,TiratCarmel,KiryatYam B+C,0.0,5.3,30.32,76.86,,98.25,104.57,0.22,1.15,1.15,0.0,0.16,0.84,directLRT→bus,derived_feeder
201,304,TiratCarmel,KiryatHaim West,0.0,1.38,28.13,71.58,,94.59,99.29,0.2,0.28,0.28,0.0,0.16,0.22,directLRT→bus,assumed
202,201,Matam-NeotPeres,TiratCarmel,102.07,16.41,11.12,22.6,,49.42,54.12,0.17,2.96,2.73,0.22,0.13,2.28,directLRT,derived
202,203,Matam-NeotPeres,HofCarmel-NeveDavid,112.26,5.7,11.5,23.3,26.81,37.49,40.66,0.3,2.01,1.7,0.31,0.26,1.71,directLRT,derived
202,204,Matam-NeotPeres,Hecht-Shprintzak,0.0,17.33,13.48,20.45,23.99,40.21,44.91,0.23,4.06,4.06,0.0,0.19,3.25,directLRT,derived
202,205,Matam-NeotPeres,EinHayam,142.51,3.09,22.69,18.34,22.21,44.52,50.92,0.17,0.58,0.53,0.05,0.12,0.41,directLRT,derived
202,206,Matam-NeotPeres,BatGalim-KiryatEliezer,24.99,66.65,16.47,28.99,27.3,49.69,59.44,0.22,15.63,14.94,0.69,0.14,9.49,directLRT,derived
202,207,Matam-NeotPeres,Hamoshava,27.04,16.25,15.33,34.9,30.94,44.98,56.53,0.35,6.64,5.74,0.9,0.21,3.78,directLRT,derived
202,208,Matam-NeotPeres,LowerCity,182.8,32.09,17.0,38.4,34.78,51.78,65.02,0.31,11.59,9.93,1.66,0.17,5.84,directLRT,derived
202,209,Matam-NeotPeres,Namal-Giborim,0.0,20.06,16.55,48.1,42.16,62.46,78.11,0.3,5.96,5.96,0.0,0.14,2.84,directLRT,derived
202,210,Matam-NeotPeres,Hamifrats,0.0,12.1,20.06,54.59,36.24,74.53,93.57,0.23,2.81,2.81,0.0,0.09,1.06,directLRT,derived
202,211,Matam-NeotPeres,Bazan-Hutsot,44.17,8.37,22.51,42.9,42.9,80.76,89.08,0.09,0.82,0.78,0.03,0.06,0.51,directLRT→bus,derived_feeder
202,212,Matam-NeotPeres,TsometKiryatAta,0.0,7.86,25.86,36.49,36.49,74.34,84.05,0.09,0.73,0.73,0.0,0.05,0.43,directLRT→bus,derived_feeder
